BCF-ch U14,Rhyl,1969.??.??,?,"Speelman, Jonathan S","Fletcher, John",,,C57,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Bc4', 'Nc6'], ['Ng5', 'd5'], ['exd5', 'Nxd5'], ['Nxf7', 'Kxf7'], ['Qf3+', 'Ke6'], ['Nc3', 'Nb4\n'], ['d4', 'c6'], ['Qe4', 'Kf7'], ['a3', 'Qa5'], ['axb4', 'Qxa1'], ['Nxd5', 'Qxc1+'], ['Ke2', 'Qxh1'], ['Nc7+', 'Ke7\n'], ['Qxe5+', 'Kd7'], ['Nxa8', 'Qxg2'], ['Qc7+', '']]",1-0
Lloyds Bank op,London,1994.??.??,7,"Petursson, Margeir","Speelman, Jonathan S",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e4', 'Nf6'], ['e5', 'Nd5'], ['Bxc4', 'Nb6'], ['Bb3', 'Nc6'], ['Ne2', 'Bf5'], ['Nbc3', 'e6\n'], ['O-O', 'Qd7'], ['a3', 'O-O-O'], ['Be3', 'Kb8'], ['Ba2', 'Be7'], ['b4', 'h5'], ['Rc1', 'h4'], ['Bb3', 'f6\n'], ['exf6', 'gxf6'], ['Na4', 'Rhg8'], ['Nf4', 'Nd5'], ['Bxd5', 'exd5'], ['Kh1', 'Bd6'], ['f3', 'Rde8'], ['Qd2', 'Qg7\n'], ['Nxd5', 'Ne7'], ['Nac3', 'Bd3'], ['Rfe1', 'Nf5'], ['Bf4', 'Ng3+'], ['Bxg3', 'Rxe1+'], ['Rxe1', 'Bxg3\n'], ['hxg3', 'hxg3'], ['Qxd3', 'Qh6+'], ['Kg1', 'Qh2+'], ['Kf1', 'Qh1+'], ['Ke2', 'Re8+'], ['Ne3', 'Qxg2+\n'], ['Kd1', 'Qxf3+'], ['Kd2', 'a6'], ['Qe2', 'Qc6'], ['Qg4', 'f5']]",1-0
Lloyds Bank op,London,1994.??.??,8,"Speelman, Jonathan S","De la Villa Garcia, Jesus Maria",,,D02,"[['Nf3', 'd5'], ['g3', 'Bg4'], ['Bg2', 'Nd7'], ['O-O', 'Ngf6'], ['d4', 'e6'], ['Nbd2', 'c6'], ['Re1', 'Be7'], ['e4', 'O-O\n'], ['c3', 'b5'], ['a4', 'a6'], ['h3', 'Bh5'], ['Qe2', 'Qb6'], ['a5', 'Qd8'], ['e5', 'Ne8'], ['b4', 'Nc7'], ['Nf1', 'Bxf3\n'], ['Bxf3', 'f6'], ['Bg2', 'fxe5'], ['dxe5', 'c5'], ['Bd2', 'Nb8'], ['bxc5', 'Bxc5'], ['Be3', 'Qe7'], ['Nd2', 'Nd7\n'], ['Nb3', 'Bxe3'], ['Qxe3', 'Rfc8'], ['Nd4', 'Ne8'], ['f4', 'g6'], ['g4', 'Kh8'], ['f5', 'gxf5'], ['gxf5', 'exf5\n'], ['Bxd5', 'Ra7'], ['Nc6', 'Qg7+'], ['Kh1', 'Rac7'], ['Rg1', 'Qf8'], ['e6', 'f4'], ['e7', '']]",1-0
Lloyds Bank op,London,1994.??.??,9,"Speelman, Jonathan S","Adianto, Utut",,,B38,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'c5'], ['d4', 'cxd4'], ['Nxd4', 'd6'], ['Be2', 'O-O'], ['Be3', 'Nc6\n'], ['O-O', 'Bd7'], ['Nb3', 'a5'], ['Nd2', 'Nb4'], ['a3', 'Na6'], ['Rc1', 'Bc6'], ['b3', 'Nd7'], ['Qc2', 'Ndc5\n'], ['Qb1', 'Nc7'], ['b4', 'axb4'], ['axb4', 'Na4'], ['Nxa4', 'Bxa4'], ['Nf3', 'Ne6'], ['c5', 'dxc5'], ['bxc5', 'Qc8\n'], ['Bc4', 'Nd8'], ['h3', 'Nc6'], ['Bf4', 'Nd4'], ['Nxd4', 'Bxd4'], ['Bd5', 'Bc6'], ['Bh6', 'Rd8'], ['Qd3', 'Bg7\n'], ['Bxg7', 'Kxg7'], ['Qe3', 'Bxd5'], ['Qd4+', 'e5'], ['Qxe5+', 'f6'], ['Qe7+', 'Bf7'], ['e5', 'fxe5'], ['Qxe5+', 'Kg8\n'], ['Rfd1', 'Re8'], ['Qf4', 'Ra2'], ['Rd6', 'Qf5'], ['Qxf5', 'gxf5'], ['Rd4', 'Ree2'], ['Rf4', 'Be6'], ['c6', 'b5\n'], ['Rc5', 'Rab2'], ['c7', 'Rec2'], ['Re5', 'Kf7'], ['Rh4', 'Kf6'], ['Re3', 'Bf7'], ['Rxh7', 'Rxc7'], ['Rh6+', 'Kg7\n'], ['Rb6', 'f4'], ['Re4', 'Rc1+'], ['Kh2', 'Rxf2'], ['h4', 'Bd5']]",0-1
Lloyds Bank op,London,1994.??.??,10,"McNab, Colin Anderson","Speelman, Jonathan S",,,A14,"[['c4', 'e6'], ['Nf3', 'd5'], ['b3', 'Nf6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'b6'], ['Bb2', 'Bb7'], ['d3', 'Nbd7']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,?,"Bareev, Evgeny","Speelman, Jonathan S",,,B09,"[['d4', 'd6'], ['e4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'c5'], ['dxc5', 'Qa5'], ['Bb5+', 'Bd7'], ['Qe2', 'Nxe4\n'], ['Bxd7+', 'Nxd7'], ['Qxe4', 'Bxc3+'], ['bxc3', 'Qxc3+'], ['Kf2', 'Qxa1'], ['Qxb7', 'Rb8'], ['Qc7', 'Qb1\n'], ['cxd6', 'Qb6+'], ['Qxb6', 'Rxb6'], ['dxe7', 'f6'], ['Ba3', 'Ra6'], ['Bb4', 'Rxa2'], ['Nd4', 'Kf7'], ['Re1', 'Nb6\n'], ['Kf3', 'Re8'], ['Nb5', 'Nc8'], ['Nc7', 'Rxc2'], ['Nxe8', 'Kxe8'], ['Rd1', 'Nxe7'], ['Bxe7', 'Kxe7'], ['Ra1', 'Rc7\n'], ['f5', 'gxf5'], ['Kf4', 'Kf7'], ['Ra5', 'Kg6'], ['h3', 'h5'], ['g3', 'Rc4+'], ['Kf3', 'Rc3+'], ['Kf4', 'h4\n'], ['gxh4', 'Rxh3'], ['Rxa7', 'Rxh4+'], ['Kf3', 'Rh1'], ['Ra8', 'Rf1+'], ['Kg2', 'Rb1'], ['Kf3', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,?,"Van der Sterren, Paul","Speelman, Jonathan S",,,B07,"[['d4', 'd6'], ['e4', 'Nf6'], ['f3', 'd5'], ['e5', 'Ng8'], ['c4', 'e6'], ['Nc3', 'dxc4'], ['Be3', 'Nd7'], ['Qa4', 'Ne7\n'], ['Bxc4', 'Nf5'], ['Bf2', 'c6'], ['Bd3', 'Nb6'], ['Qa5', 'Nxd4'], ['Rd1', 'c5'], ['Nge2', 'Nc6'], ['Bb5', 'Qc7\n'], ['Bxc6+', 'Qxc6'], ['Nb5', 'Nd5'], ['Rxd5', 'b6'], ['Qa4', 'exd5'], ['Nc7+', 'Kd7'], ['Qxc6+', 'Kxc6\n'], ['Nxa8', 'Be7'], ['Nf4', 'Be6'], ['Nxb6', 'axb6'], ['Nxe6', 'fxe6'], ['Kd2', 'Ra8'], ['a3', 'd4'], ['Re1', 'Kd5\n'], ['Re4', 'Rf8'], ['Kc2', 'b5'], ['h3', 'Rf5'], ['b4', 'Rxe5'], ['Rxe5+', 'Kxe5'], ['bxc5', 'Bxc5'], ['Kd3', 'Kd5\n'], ['f4', 'g6'], ['Bg1', 'Bd6'], ['g3', 'g5'], ['Bxd4', 'gxf4'], ['gxf4', 'Bxf4'], ['Bb2', 'Bd6'], ['Bc1', 'Bc5\n'], ['Kc3', 'e5'], ['Kb3', 'e4'], ['a4', 'bxa4+'], ['Kxa4', 'Kc4'], ['Bh6', 'e3']]",0-1
Moscow ol (Men),Moscow,1994.??.??,3,"Speelman, Jonathan S","McNab, Colin Anderson",,,A41,"[['d4', 'd6'], ['e4', 'g6'], ['c4', 'Nd7'], ['Nc3', 'e5'], ['d5', 'a5'], ['Nf3', 'Bg7'], ['Be2', 'Ngf6'], ['Be3', 'Ng4\n'], ['Bg5', 'f6'], ['Bc1', 'Nc5'], ['h3', 'Nh6'], ['h4', 'f5'], ['exf5', 'gxf5'], ['Bg5', 'Qd7'], ['Be3', 'Qe7\n'], ['Ng5', 'O-O'], ['Qc2', 'Nf7'], ['O-O-O', 'h6'], ['Nxf7', 'Qxf7'], ['f3', 'Bd7'], ['g4', 'Rae8'], ['Bxc5', 'dxc5\n'], ['gxf5', 'Bxf5'], ['Ne4', 'Bxe4'], ['fxe4', 'Qf2'], ['Bh5', 'Qxc2+'], ['Kxc2', 'Rf2+'], ['Rd2', 'Ref8\n'], ['Rh2', 'Rxd2+'], ['Kxd2', 'Rf4'], ['Bg6', 'Bf6'], ['h5', 'Bg5'], ['Kc2', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,4,"Handoko, Edhi","Speelman, Jonathan S",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Bc4', 'b6'], ['Qd2', 'Qg6\n'], ['f3', 'Ne5'], ['Bf1', 'd5'], ['b4', 'Bd6'], ['f4', 'Ng4'], ['e5', 'Bxe5'], ['fxe5', 'Qe4'], ['Nc2', 'Nxe3\n'], ['Nxe3', 'Nf5'], ['Bb5+', 'Kf8'], ['Kf2', 'Qf4+'], ['Ke2', 'd4'], ['Nxf5', 'Qxe5+'], ['Kd1', 'Bxf5'], ['Qe2', 'Qd6\n'], ['Kc1', 'c6'], ['Qf3', 'Qh6+'], ['Kb2', 'dxc3+'], ['Kb3', 'Be6+'], ['Kxc3', 'Bd5'], ['Qf5', 'Bxg2'], ['Bc4', 'Qg6\n'], ['Qxg6', 'hxg6'], ['Nd2', 'Bxh1'], ['Rxh1', 'Rh3+'], ['Kc2', 'Rd8'], ['Rf1', 'Rxh2'], ['Bd3', 'c5'], ['bxc5', 'bxc5\n'], ['Rf4', 'Rd4'], ['Rxd4', 'cxd4'], ['Bb5', 'f5'], ['Kd3', 'Ke7'], ['a4', 'Kf6'], ['a5', 'g5'], ['a6', 'g4\n'], ['Bc6', 'g5']]",0-1
Moscow ol (Men),Moscow,1994.??.??,5,"Weemaes, Ronald","Speelman, Jonathan S",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Bc4', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['c3', 'Qc7'], ['Qf3', 'e6\n'], ['Ne2', 'b6'], ['Bf4', 'Bd6'], ['Qg3', 'Bxf4'], ['Nxf4', 'Bb7'], ['Nh5', 'O-O-O'], ['Qxc7+', 'Kxc7'], ['Nxf6', 'gxf6\n'], ['f3', 'Rhg8'], ['Kf2', 'c5'], ['Rad1', 'cxd4'], ['Rxd4', 'Rxd4'], ['cxd4', 'Kd6'], ['Bd3', 'Rc8'], ['Ke3', 'h6\n'], ['Rf1', 'Bd5'], ['a3', 'a5'], ['Re1', 'f5'], ['g4', 'fxg4'], ['fxg4', 'Ke7'], ['h4', 'f6'], ['Kf4', 'Kd6\n'], ['Ke3', 'Rg8'], ['Rg1', 'Bc6'], ['Be2', 'Bd7'], ['Bd3', 'Be8'], ['Be2', 'Bd7'], ['Bd3', 'e5'], ['dxe5+', 'Kxe5\n'], ['Kf3', 'h5'], ['g5', 'Bg4+'], ['Ke3', 'fxg5'], ['hxg5', 'Rxg5'], ['b4', 'axb4'], ['axb4', 'Rg8'], ['Be2', 'Rg7\n'], ['Bf3', 'Rg6'], ['Rg2', 'Rg7'], ['Rg1', 'Kf6'], ['Bc6', 'Bf5'], ['Ra1', 'Bd7'], ['b5', 'Bxc6'], ['bxc6', 'Rc7\n'], ['Rc1', 'Ke6'], ['Rh1', 'Kd5'], ['Rxh5+', 'Kxc6'], ['Kd4', 'Kb7'], ['Rh1', 'b5'], ['Rh6', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,6,"Speelman, Jonathan S","Nielsen, Peter Heine",,,E54,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Bd3', 'd5'], ['Nf3', 'c5'], ['O-O', 'dxc4'], ['Bxc4', 'b6\n'], ['Qe2', 'cxd4'], ['Rd1', 'Bb7'], ['Rxd4', 'Qe7'], ['Bd2', 'Nc6'], ['Rh4', 'Rfd8'], ['a3', 'Bd6'], ['Nb5', 'Bb8\n'], ['Rc1', 'h6'], ['Nbd4', 'Ne5'], ['Ba6', 'Nxf3+'], ['Nxf3', 'Ne4'], ['Bxb7', 'Qxb7'], ['Be1', 'Bd6'], ['Nd2', 'Nxd2\n'], ['Bxd2', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,7,"Ribli, Zoltan","Speelman, Jonathan S",,,E05,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bf4', 'Nc6'], ['Rd1', 'Nb4'], ['Qc1', 'Rc8'], ['Nc3', 'Nbd5'], ['Nxd5', 'Nxd5'], ['Bg5', 'c5\n'], ['dxc5', 'Qe8'], ['Bxe7', 'Qxe7'], ['Ne5', 'Rxc5'], ['Qd2', 'Nc3'], ['Nd3', 'Nxd1'], ['Nxc5', 'Qxc5\n'], ['Rxd1', 'Bxg2'], ['Kxg2', 'h6'], ['Rc1', 'Qe7'], ['Qf4', 'Qd7'], ['b3', 'Rc8'], ['Rxc8+', 'Qxc8'], ['Qd6', 'Qc2\n'], ['Qxa6', 'Qe4+'], ['Kg1', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,8,"Speelman, Jonathan S","Alterman, Boris",,,D94,"[['Nf3', 'c5'], ['c4', 'g6'], ['e3', 'Bg7'], ['d4', 'Nf6'], ['Nc3', 'O-O'], ['Be2', 'd5'], ['O-O', 'cxd4'], ['exd4', 'Nc6\n'], ['Re1', 'Bg4'], ['cxd5', 'Nxd5'], ['h3', 'Be6'], ['Bf1', 'Rc8'], ['Bg5', 'h6'], ['Be3', 'Kh7'], ['Rc1', 'Nxc3\n'], ['bxc3', 'Na5'], ['h4', 'Bxa2'], ['Nd2', 'Nc4'], ['Ra1', 'Nxd2'], ['Bxd2', 'Bd5'], ['Rxa7', 'h5'], ['Bg5', 'Qb6\n'], ['Ra3', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,9,"Kurajica, Bojan","Speelman, Jonathan S",,,A40,"[['d4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'c5'], ['c3', 'Qa5'], ['Bd2', 'Nf6'], ['Bg2', 'Ne4'], ['Be3', 'cxd4'], ['Nxd4', 'Nd6\n'], ['Qb3', 'Nc6'], ['O-O', 'O-O'], ['Na3', 'Nxd4'], ['Bxd4', 'Bxd4'], ['cxd4', 'Rb8'], ['Rac1', 'b5'], ['Rc5', 'Bb7\n'], ['Bxb7', 'Rxb7'], ['Qe3', 'Re8'], ['Rfc1', 'Qb6'], ['h4', 'a6'], ['h5', 'Nf5'], ['Qe4', 'Rbb8'], ['Nc2', 'Qf6\n'], ['e3', 'Nd6'], ['Qd5', 'Nc4'], ['Qxd7', 'e5'], ['Nb4', 'Rbd8'], ['Nd5', 'Qg5'], ['Qc6', 'Re6'], ['Qc7', 'gxh5\n'], ['b3', 'h4'], ['bxc4', 'hxg3'], ['f3', 'Qh4'], ['Rc2', 'Kh8']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,10,"Kveinys, Aloyzas","Speelman, Jonathan S",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Bc4', 'Bg7'], ['Qe2', 'Nc6'], ['e5', 'Nd7'], ['Nf3', 'Nb6'], ['Bb3', 'O-O\n'], ['h3', 'Na5'], ['O-O', 'h6'], ['Ne4', 'Nxb3'], ['axb3', 'f6'], ['c4', 'fxe5'], ['dxe5', 'Nd7'], ['Bd2', 'b6\n'], ['e6', 'Nf6'], ['Nxf6+', 'Rxf6'], ['Nd4', 'Bb7'], ['Bc3', 'a6'], ['f4', 'Qf8'], ['Nc2', 'c5'], ['Bxf6', 'Qxf6\n'], ['Rab1', 'Rf8'], ['b4', 'Qf5'], ['Kh2', 'Qe4'], ['Rbe1', 'Rxf4'], ['Qxe4', 'Rxe4'], ['bxc5', 'Rxc4'], ['Ne3', 'Rxc5\n'], ['b4', 'Re5'], ['Nc4', 'Rg5'], ['Re2', 'Bd5'], ['Rf4', 'b5'], ['Nb6', 'Bb3'], ['Nd7', 'Rf5'], ['Rxf5', 'gxf5\n'], ['Kg3', 'Bc4'], ['Re3', 'Bd4'], ['Ra3', 'Bxe6'], ['Nb8', 'Be5+'], ['Kf2', 'Kf7'], ['Nc6', 'Bb2'], ['Rxa6', 'Bd5\n'], ['Na7', 'Bc3'], ['Nxb5', 'Bxb4'], ['Ra1', 'f4'], ['Rc1', 'Bc5+'], ['Kf1', 'e5'], ['Nc3', 'Bc6'], ['Ra1', 'Ke6\n'], ['Rb1', 'Ba7'], ['Ra1', 'Bd4'], ['Ra3', 'e4'], ['Ne2', 'Bc5'], ['Rb3', 'Ke5'], ['Rb8', 'f3'], ['gxf3', 'exf3\n'], ['Ng3', 'Bd7'], ['h4', 'Bh3+'], ['Ke1', 'f2+'], ['Ke2', 'Kf4'], ['Rg8', 'Bg4+'], ['Rxg4+', 'Kxg4'], ['Ne4', 'Kh3\n'], ['Kf1', 'h5'], ['Nf6', 'Kxh4'], ['Ne4', 'Kh3'], ['Nf6', 'h4'], ['Ne4', 'Kh2'], ['Nf6', 'Kg3'], ['Ne4+', 'Kf4\n'], ['Nxd6', 'h3']]",0-1
Moscow ol (Men),Moscow,1994.??.??,11,"Speelman, Jonathan S","Drasko, Milan",,,C04,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nc6'], ['Ngf3', 'Nf6'], ['e5', 'Nd7'], ['Be2', 'Be7'], ['Nf1', 'O-O'], ['Ne3', 'f6\n'], ['exf6', 'Nxf6'], ['O-O', 'Bd6'], ['c4', 'b6'], ['a3', 'a5'], ['Qc2', 'Bb7'], ['Rd1', 'Qe8'], ['Bd2', 'Qh5\n'], ['Be1', 'Bf4'], ['Nf1', 'Ne4'], ['Ng3', 'Qg6'], ['Bd3', 'Ne7'], ['Ne5', 'Qh6'], ['cxd5', 'Nxg3'], ['hxg3', 'Bxe5\n'], ['dxe5', 'Nxd5'], ['Qe2', 'g6'], ['Rac1', 'Qg7'], ['Bd2', 'c5'], ['Re1', 'a4'], ['Bc4', 'Bc6'], ['Bg5', 'Nc7\n'], ['Bf6', 'Qf7'], ['g4', 'b5'], ['Ba2', 'c4'], ['g5', 'Nd5'], ['Qg4', 'Ra7'], ['Bb1', 'Rd7'], ['Rcd1', 'Rc8\n'], ['Rd4', 'c3'], ['bxc3', 'Nxc3'], ['Bxg6', 'Qxg6'], ['Qxe6+', 'Qf7'], ['Qh3', 'Rxd4'], ['Qxc8+', 'Qe8\n'], ['Qc7', 'Qd7'], ['Qb8+', 'Qe8'], ['Qc7', 'Qd7'], ['Qb8+', '']]",1/2-1/2
Moscow ol (Men),Moscow,1994.??.??,14,"Speelman, Jonathan S","Rublevsky, Sergei",,,D02,"[['Nf3', 'd5'], ['g3', 'Bg4'], ['Bg2', 'Nd7'], ['O-O', 'c6'], ['d4', 'Ngf6'], ['Nbd2', 'e6'], ['Re1', 'Be7'], ['e4', 'O-O\n'], ['c3', 'c5'], ['exd5', 'Nxd5'], ['Nc4', 'Rc8'], ['Ne3', 'Nxe3'], ['Bxe3', 'Nf6'], ['Qb3', 'Bxf3'], ['Bxf3', 'b6\n'], ['Rad1', 'c4'], ['Qa4', 'Rc7'], ['Bg5', 'Qd7'], ['Qxd7', 'Rxd7'], ['a4', 'h6'], ['Bxf6', 'Bxf6'], ['d5', 'exd5\n'], ['Rxd5', 'Rc7'], ['Re4', 'g6'], ['Be2', 'Rfc8'], ['a5', 'bxa5'], ['Rxa5', 'Kg7'], ['Kf1', 'Bg5'], ['Ra1', 'h5\n'], ['h4', 'Bf6'], ['Ra4', 'Kf8'], ['Ra6', 'Be7'], ['Rf4', 'Kg7'], ['Ra4', 'Rb8'], ['Bxc4', 'Bf6'], ['Ra2', 'Rcb7\n'], ['Ra6', 'Rb6'], ['Rxa7', 'R8b7'], ['Rxb7', 'Rxb7'], ['Bd5', 'Rxb2'], ['c4', 'Rc2'], ['Rf3', 'Rc3'], ['Rxc3', 'Bxc3\n'], ['c5', 'Kf6'], ['c6', 'Ba5'], ['f3', 'Ke7'], ['Kg2', 'Bd8'], ['f4', 'Bb6'], ['Kf3', 'Bc7'], ['Bb3', 'Ba5\n'], ['Ke4', 'Bb6'], ['Kd5', 'Bf2'], ['Ba4', 'Bb6'], ['Bb5', 'Ba5'], ['Kc5', 'Kd8'], ['Bc4', 'Be1'], ['Kb6', '']]",1-0
PCA-op playoff,New York,1994.??.??,?,"Speelman, Jonathan S","Smirin, Ilia",,,B52,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Bd7'], ['Qe2', 'Nc6'], ['c3', 'e5'], ['O-O', 'Nf6'], ['d4', 'cxd4'], ['cxd4', 'Nxd4\n'], ['Nxd4', 'exd4'], ['Rd1', 'Qb6'], ['Na3', 'Be7'], ['Bxd7+', 'Nxd7'], ['Nc4', 'Qa6'], ['Rxd4', 'O-O'], ['Bf4', 'Rac8\n'], ['Bxd6', 'Bf6'], ['e5', 'Bxe5'], ['Bxe5', 'Nxe5'], ['Qxe5', 'Rxc4'], ['Rd6', 'Rc6'], ['Rxc6', 'Qxc6\n'], ['Re1', 'h6']]",1/2-1/2
PCA-op playoff,New York,1994.??.??,?,"Speelman, Jonathan S","Adams, Michael",,,E43,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'b6'], ['Bd3', 'Bxc3+'], ['bxc3', 'O-O'], ['Nf3', 'c5'], ['O-O', 'Nc6\n'], ['Ne1', 'e5'], ['d5', 'Na5']]",1/2-1/2
PCA-op playoff,New York,1994.??.??,?,"Nikolic, Predrag","Speelman, Jonathan S",,,A21,"[['d4', 'd6'], ['c4', 'e5'], ['Nf3', 'e4'], ['Ng5', 'f5'], ['Nc3', 'c6'], ['d5', 'Be7'], ['Nh3', 'Bf6'], ['g3', 'Na6'], ['Bg2', 'Ne7\n'], ['O-O', 'O-O'], ['Be3', 'Nc7'], ['Bd4', 'Bxd4'], ['Qxd4', 'c5'], ['Qd2', 'Ng6'], ['f3', 'exf3'], ['exf3', 'Bd7\n'], ['f4', 'h6'], ['Nf2', 'b5'], ['b3', 'Qf6'], ['Rab1', 'b4'], ['Ne2', 'a5'], ['a3', 'Rfe8'], ['Ra1', 'Qe7'], ['Nc1', 'Qe3\n'], ['Qxe3', 'Rxe3'], ['Nfd3', 'Nh8'], ['Kf2', 'Nf7'], ['Re1', 'Ree8'], ['Re2', 'g5'], ['Rea2', 'Kg7'], ['axb4', 'axb4\n'], ['Ra7', 'Rac8'], ['Rb7', 'Nd8'], ['Rb6', 'Nf7'], ['Ra7', 'Re7'], ['Rbb7', 'Be8'], ['fxg5', 'hxg5'], ['h4', 'Kf6\n'], ['Ne2', 'Ra8'], ['hxg5+', 'Nxg5'], ['Rxa8', 'Nxa8'], ['Rb8', 'Nc7'], ['Rb6', 'Nf7'], ['Nxc5', 'Na8'], ['Ra6', 'Nc7\n'], ['Rb6', 'Na8'], ['Rb8', 'dxc5'], ['Rxa8', 'Nd6'], ['Nf4', 'Ke5'], ['Ne2', 'Bh5'], ['Nf4', 'Be8'], ['Ne6', 'Bh5\n'], ['Nxc5', 'Bd1'], ['Ra1', 'Bh5'], ['Re1+', 'Kf6'], ['Rxe7', 'Kxe7'], ['Nd3', 'Bd1']]",1-0
PCA-op playoff,New York,1994.??.??,?,"Kamsky, Gata","Speelman, Jonathan S",,,E55,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'Bb4'], ['Bd3', 'dxc4'], ['Bxc4', 'O-O\n'], ['O-O', 'b6'], ['Bg5', 'Bb7'], ['Qd3', 'Nbd7'], ['Rac1', 'Rc8'], ['Ba6', 'Bxa6'], ['Qxa6', 'Bxc3'], ['bxc3', 'Qc7\n'], ['c4', 'Ne4'], ['Be3', 'e5'], ['dxe5', 'Nxe5'], ['Nd4', 'Rfe8'], ['f4', '']]",1-0
PCA-op,New York,1994.??.??,4,"Speelman, Jonathan S","Orlov, Georgi",,,E40,"[['d4', 'Nf6'], ['c4', 'Nc6'], ['Nf3', 'e6'], ['Nc3', 'Bb4'], ['e3', 'd6'], ['Bd2', 'O-O'], ['Qc2', 'a5'], ['a3', 'Bxc3\n'], ['Bxc3', 'Qe7'], ['Be2', 'e5'], ['dxe5', 'dxe5'], ['h3', 'Nd7'], ['O-O', 'a4'], ['Nd2', 'f5'], ['Rfd1', 'e4\n'], ['b4', 'axb3'], ['Nxb3', 'Nde5'], ['Nd4', 'Rxa3'], ['Rxa3', 'Qxa3'], ['c5', 'Qxc5'], ['Qb3+', 'Kh8'], ['Nxc6', 'Nxc6\n'], ['Bb2', 'Qb4'], ['Qa2', 'Be6'], ['Bxg7+', 'Kxg7'], ['Qxe6', 'Rd8'], ['Rxd8', 'Nxd8'], ['Qe5+', 'Kg8\n'], ['Qxc7', 'Qe1+'], ['Bf1', 'Qd1'], ['Qe5', 'Nf7'], ['Qxf5', 'Nd6'], ['Qc5', 'Kf8'], ['Kh2', 'Ke7'], ['Bc4', 'Kd7\n'], ['Bg8', 'h5'], ['Bh7', 'Qd2'], ['Bg6', 'h4'], ['Bh5', 'Qxf2'], ['Bg4+', 'Ke8'], ['Qxd6', 'Qxe3'], ['Bh5+', '']]",1-0
PCA-op,New York,1994.??.??,6,"Speelman, Jonathan S","Hjartarson, Johann",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['g3', 'b5'], ['Bg2', 'Bb7'], ['O-O', 'c5'], ['Na3', 'Qb6'], ['c4', 'b4'], ['Nc2', 'cxd4\n'], ['Ncxd4', 'Na6'], ['Nb3', 'Be7'], ['Be3', 'Qc7'], ['Rc1', 'd6'], ['Bh3', 'O-O'], ['Nfd4', 'Nc5'], ['Qd2', 'a5\n'], ['Nb5', 'Qc6'], ['f3', 'Nxb3'], ['axb3', 'e5'], ['Bg5', 'd5'], ['e3', 'dxc4'], ['bxc4', 'Ne4'], ['fxe4', 'Bxg5\n'], ['Bg2', 'Qc5'], ['Rce1', 'Rad8'], ['Qe2', 'a4'], ['h4', 'Be7'], ['Ra1', 'Ra8'], ['Kh2', 'a3'], ['bxa3', 'bxa3\n'], ['Rfb1', 'Bc8'], ['Nc3', 'Be6'], ['Nd5', 'Rfb8'], ['Rb5', 'Rxb5'], ['cxb5', 'Rb8'], ['Rb1', 'Bf8'], ['Qd3', 'h5\n'], ['Bf1', 'f5'], ['Bh3', 'a2'], ['Ra1', 'Rxb5'], ['Rxa2', 'Bxd5'], ['Qxd5+', 'Qxd5']]",1/2-1/2
