WchT U26,Dresden,1969.??.??,?,"Aijala, Jouko","Ljubojevic, Ljubomir",,,B79,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'Bd7'], ['Bb3', 'g6'], ['f3', 'Bg7\n'], ['Be3', 'Qa5'], ['Qd2', 'O-O'], ['O-O-O', 'Rfc8'], ['h4', 'Ne5'], ['g4', 'b5'], ['h5', 'Nc4'], ['Bxc4', 'bxc4\n'], ['hxg6', 'fxg6'], ['Qh2', 'Rab8'], ['Nd5', 'c3'], ['Nxf6+', 'exf6'], ['Qxh7+', 'Kf7'], ['Nf5', 'gxf5\n'], ['Rxd6', 'cxb2+'], ['Kb1', 'Qa4'], ['Rd2', 'Rh8']]",0-1
Tilburg,Tilburg,1989.??.??,2,"Ljubojevic, Ljubomir","Kasparov, Gary",,,B50,"[['e4', 'c5'], ['Nc3', 'd6'], ['Nf3', 'Nf6'], ['e5', 'dxe5'], ['Nxe5', 'e6'], ['Bb5+', 'Nbd7'], ['d4', 'cxd4'], ['Qxd4', 'a6\n'], ['Bxd7+', 'Nxd7'], ['Be3', 'Qf6'], ['f4', 'Bc5'], ['Qd2', 'Bxe3'], ['Qxe3', 'Nxe5'], ['fxe5', 'Qh4+'], ['g3', 'Qh5\n'], ['Qc5', 'f6'], ['Ne4', 'Qxe5'], ['Qxe5', 'fxe5'], ['O-O-O', 'Ke7'], ['Rhf1', 'b5'], ['Ng5', 'h6'], ['Nf7', 'Rf8\n'], ['Nxe5', 'Rxf1'], ['Rxf1', 'Kd6'], ['Nf7+', 'Ke7'], ['Ne5', 'Kd6'], ['Nf7+', '']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,3,"Piket, Jeroen","Ljubojevic, Ljubomir",,,D46,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nbd7'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['b3', 'b6\n'], ['Bb2', 'Bb7'], ['Qc2', 'Rc8'], ['Rac1', 'g6'], ['Rfd1', 'Qc7'], ['e4', 'dxe4'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Rfd8\n'], ['Qe2', 'Re8'], ['Ne5', 'Rcd8']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,4,"Hjartarson, Johann","Ljubojevic, Ljubomir",,,D35,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['Bg5', 'Nbd7'], ['cxd5', 'exd5'], ['e3', 'c6'], ['Bd3', 'Bd6'], ['Nf3', 'Nf8\n'], ['Ne5', 'Qb6'], ['O-O', 'Bxe5'], ['dxe5', 'Ng4'], ['Qa4', 'Qxb2'], ['Rac1', 'a5'], ['Nb5', 'Ne6'], ['Nd6+', 'Kf8\n'], ['Qxg4', 'Qxe5'], ['Nxc8', 'h5'], ['Nb6', 'hxg4'], ['Nd7+', 'Ke8'], ['Nxe5', 'Nxg5'], ['Rb1', 'Ne6'], ['Rxb7', 'Rh5\n'], ['Nxf7', 'Nc5'], ['Bg6', '']]",1-0
Tilburg,Tilburg,1989.??.??,5,"Ljubojevic, Ljubomir","Sax, Gyula",,,A34,"[['c4', 'c5'], ['Nc3', 'g6'], ['d4', 'cxd4'], ['Qxd4', 'Nf6'], ['Bf4', 'Nc6'], ['Qd2', 'd6'], ['e4', 'Bg7'], ['Nf3', 'Bg4\n'], ['Be2', 'Rc8'], ['Rd1', 'Qa5'], ['O-O', 'Bxf3'], ['Bxf3', 'Ne5'], ['Bxe5', 'Qxe5'], ['b3', 'h5']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,6,"Ljubojevic, Ljubomir","Ivanchuk, Vassily",,,B96,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Nc6'], ['e5', 'h6\n'], ['Bh4', 'dxe5'], ['Nxc6', 'Qxd1+'], ['Rxd1', 'bxc6'], ['fxe5', 'Nd5'], ['Ne4', 'Be7'], ['Bf2', 'Rb8'], ['Bd4', 'Nb4\n'], ['Rd2', 'Nxa2'], ['c3', 'Nc1'], ['Bc4', 'Nb3'], ['Bxb3', 'Rxb3'], ['Bc5', 'a5'], ['Nd6+', 'Bxd6'], ['Bxd6', 'Ba6\n'], ['Kf2', 'f5'], ['Ra1', 'Kf7'], ['Rxa5', 'Bc4'], ['Ra7+', 'Kg6'], ['Ke3', 'Rb5'], ['b4', 'h5'], ['Rd4', '']]",1-0
Tilburg,Tilburg,1989.??.??,7,"Kortschnoj, Viktor","Ljubojevic, Ljubomir",,,E32,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['a3', 'Bxc3+'], ['Qxc3', 'b6'], ['Bg5', 'Bb7'], ['Nf3', 'd6\n'], ['Nd2', 'h6'], ['Bh4', 'Nbd7'], ['f3', 'c5'], ['e4', 'Re8'], ['Bf2', 'Rc8'], ['dxc5', 'bxc5'], ['Bd3', 'd5\n'], ['cxd5', 'exd5'], ['O-O', 'dxe4'], ['fxe4', 'Bxe4'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Rxe4'], ['Rad1', 'Qc7\n'], ['Bg3', 'Qb7'], ['Qf3', 'Nf8'], ['Rde1', 'Re7'], ['Qg4', 'Rce8'], ['Rxe7', 'Rxe7'], ['Qc4', 'Ne6'], ['Be5', 'Rd7\n'], ['Bc3', 'Rd5'], ['Qa4', 'Qd7'], ['Qxd7', 'Rxd7'], ['Re1', 'Kf8'], ['Re4', 'Rd6'], ['Kf2', 'a6'], ['b4', 'Rd5\n'], ['Ke2', 'Kg8']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,8,"Ljubojevic, Ljubomir","Agdestein, Simen",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['a4', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Na5'], ['Ba2', 'c5'], ['d3', 'Rb8'], ['axb5', 'axb5'], ['Bg5', 'b4\n'], ['Bxf6', 'Bxf6'], ['Bd5', 'Bg5'], ['Qd1', 'Qb6'], ['Ra2', 'Nc6'], ['Nd2', 'Bxd2'], ['Qxd2', 'Ne7'], ['Bc4', 'Kh8\n'], ['Ra6', 'Qc7'], ['Rea1', 'bxc3'], ['bxc3', 'Nc8'], ['Qa2', 'f5'], ['Rb1', 'Rxb1+'], ['Qxb1', 'fxe4'], ['dxe4', 'Rd8\n'], ['Qb5', 'h6'], ['Be6', 'Ne7'], ['Rb6', 'd5'], ['exd5', 'Nxd5'], ['Rc6', 'Nxc3'], ['Qxc5', 'Ne2+'], ['Kh2', 'Qb7\n'], ['Bf5', 'Nd4'], ['Rc7', 'Qb8'], ['Bg4', 'Nb5'], ['Re7', 'e4+'], ['g3', 'Qd6'], ['Qxd6', 'Nxd6'], ['Bh5', 'Rf8\n'], ['Kg2', 'Rf5'], ['Bg4', 'Rd5'], ['h4', 'h5'], ['Be2', 'Kh7'], ['Kf1', 'Kg6'], ['Rd7', 'Kh6'], ['Ke1', 'Rd4\n'], ['Bf1', 'g5'], ['Bg2', 'gxh4'], ['gxh4', 'Kg6'], ['Rd8', 'Kf6'], ['Rd7', 'Nf5'], ['Rxd4', 'Nxd4'], ['Bxe4', 'Ke5\n'], ['f3', 'Nxf3+']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,9,"Kasparov, Gary","Ljubojevic, Ljubomir",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Qxd2', 'O-O'], ['g3', 'd5'], ['Bg2', 'Qe7'], ['O-O', 'Rd8\n'], ['Qc2', 'Na6'], ['a3', 'dxc4'], ['Qxc4', 'c5'], ['dxc5', 'Qxc5'], ['Nbd2', 'Bd7'], ['b4', 'Qxc4'], ['Nxc4', 'Bb5\n'], ['Rfc1', 'Rac8'], ['Nfe5', 'b6'], ['Bb7', 'Rc7'], ['a4', 'Nxb4'], ['axb5', 'Rxb7'], ['Nd6', 'Re7'], ['Nc8', 'Ree8\n'], ['Nxa7', 'Nbd5'], ['Nac6', 'Ra8'], ['Nc4', 'Ne4'], ['Kf1', 'Rxa1'], ['Rxa1', 'Nc7'], ['Na7', 'Rd8'], ['Nxb6', 'Nc3\n'], ['Ra5', 'Rd1+'], ['Kg2', 'Rb1'], ['Nd7', 'f6'], ['b6', 'N7d5'], ['Nc8', 'Nxe2'], ['b7', 'Rg1+'], ['Kh3', 'Nef4+\n'], ['Kg4', 'h5+'], ['Kf3', '']]",1-0
Tilburg,Tilburg,1989.??.??,10,"Ljubojevic, Ljubomir","Piket, Jeroen",,,E87,"[['c4', 'g6'], ['d4', 'Nf6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['d5', 'Nh5'], ['Nge2', 'f5'], ['Qd2', 'Nd7\n'], ['Nc1', 'Ndf6'], ['Nd3', 'fxe4'], ['Nxe4', 'Nxe4'], ['fxe4', 'c5'], ['Nf2', 'Bd7'], ['g3', 'Qf6'], ['Qe2', 'a6\n'], ['Bh3', 'Bxh3'], ['Nxh3', 'b5'], ['cxb5', 'axb5'], ['Rf1', 'Qe7'], ['Qxb5', 'Rfb8'], ['Qe2', 'Qb7'], ['Bc1', 'Qb4+\n'], ['Kf2', 'Nf6'], ['Re1', 'Qd4+'], ['Kf1', 'Rb4'], ['Nf2', 'h5'], ['Rd1', 'Qc4'], ['Qxc4', 'Rxc4'], ['b3', 'Rc3\n'], ['Bd2', 'Rc2'], ['a4', 'Rf8'], ['Ke1', 'Rb8'], ['Rdb1', 'Ng4'], ['Nxg4', 'hxg4'], ['Kd1', 'Rxd2+'], ['Kxd2', 'Rb4\n'], ['a5', 'Rxe4'], ['a6', 'Bh6+'], ['Kd1', 'Rd4+'], ['Ke2', 'Rd2+'], ['Ke1', 'Rxh2'], ['a7', '']]",1-0
Tilburg,Tilburg,1989.??.??,11,"Ljubojevic, Ljubomir","Hjartarson, Johann",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['b4', 'Bb6'], ['d3', 'd6'], ['Nbd2', 'Ne7'], ['Bb3', 'c6\n'], ['O-O', 'Ng6'], ['a4', 'O-O'], ['a5', 'Bc7'], ['Re1', 'd5'], ['Nf1', 'Be6'], ['g3', 'h6'], ['Qc2', 'Rc8'], ['Kg2', 'Qd7\n'], ['Ng1', 'Bd6'], ['Ne3', 'Rfd8'], ['Rd1', 'Bf8'], ['Rb1', 'b5'], ['axb6', 'axb6'], ['f3', 'b5'], ['Ne2', 'Qa7\n'], ['Qb2', 'Ra8'], ['Bc2', 'Qb6'], ['Ra1', 'Rxa1'], ['Qxa1', 'Qb7'], ['Qb1', 'Ra8'], ['Bb3', 'Qa7'], ['exd5', 'cxd5\n'], ['d4', 'e4'], ['fxe4', 'Nxe4'], ['Nxd5', 'Re8'], ['Ne3', 'Ng5'], ['Bxe6', 'Rxe6'], ['h4', 'Ne4'], ['Qd3', 'Qd7\n'], ['h5', 'Nxg3'], ['hxg6', 'Nxe2'], ['Qxe2', 'Rxg6+'], ['Kf2', 'Qc7'], ['Qxb5', 'Qh2+'], ['Kf3', 'Rg5\n'], ['Qd7', 'f5'], ['Nxf5', 'Qh3+'], ['Ke4', 'Qg2+'], ['Kd3', 'Qh3+'], ['Ke4', 'Qg2+'], ['Kd3', 'Qh3+'], ['Be3', 'Rxf5\n'], ['Qe6+', 'Kh8'], ['Rg1', 'Qh5'], ['Qg6', 'Qf3'], ['Qg2', 'Qh5'], ['Qg4', 'Qf7'], ['Qg6', 'Qd5'], ['c4', 'Qd7\n'], ['b5', 'Rf6'], ['Qg2', 'Qa7'], ['Qb2', 'Rf3'], ['b6', 'Qb7'], ['Rg4', '']]",1-0
Tilburg,Tilburg,1989.??.??,12,"Sax, Gyula","Ljubojevic, Ljubomir",,,B93,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'Nc6'], ['Be2', 'Bd7'], ['Be3', 'g6\n'], ['O-O', 'Bg7'], ['a4', 'O-O'], ['Nb3', 'Be6'], ['Nd4', 'Bd7'], ['Nb3', '']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,13,"Ivanchuk, Vassily","Ljubojevic, Ljubomir",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'c6'], ['Bc3', 'd5\n'], ['Nbd2', 'Nbd7'], ['O-O', 'O-O'], ['Re1', 'Bb7'], ['e4', 'dxe4'], ['Nxe4', 'c5'], ['Nfg5', 'cxd4'], ['Bxd4', 'Qc7\n'], ['Nxf6+', 'Bxf6'], ['Bxb7', 'Qxb7'], ['Ne4', 'Be7'], ['Qf3', 'Rab8'], ['Qh5', 'e5'], ['Bb2', 'f6'], ['Rad1', '']]",1/2-1/2
Tilburg,Tilburg,1989.??.??,14,"Ljubojevic, Ljubomir","Kortschnoj, Viktor",,,D86,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'c5'], ['Ne2', 'O-O\n'], ['Be3', 'cxd4'], ['cxd4', 'Nc6'], ['Qd2', 'Qa5'], ['Rd1', 'Qxd2+'], ['Rxd2', 'Na5'], ['Bd3', 'e6'], ['O-O', 'Bd7\n'], ['Rc1', 'Rfc8'], ['Rdc2', 'Rxc2'], ['Rxc2', 'Rc8'], ['Rxc8+', 'Bxc8'], ['d5', '']]",1/2-1/2
Linares,Linares,1990.??.??,1,"Portisch, Lajos","Ljubojevic, Ljubomir",,,A34,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['g3', 'd5'], ['cxd5', 'Nxd5'], ['Bg2', 'Nc7'], ['d3', 'Rb8'], ['Bf4', 'e6\n'], ['Rc1', 'Bd7'], ['Ne4', 'Na6'], ['Bxb8', 'Qxb8'], ['O-O', 'e5'], ['e3', 'Be7'], ['Nc3', 'f5'], ['Nd5', 'Bd8\n'], ['a3', 'Qd6'], ['Nc3', 'Nc7'], ['Qc2', 'Be7'], ['Rfd1', 'Qf6'], ['Ne2', 'g5'], ['d4', 'e4'], ['Nxg5', 'cxd4\n'], ['exd4', 'Qxg5'], ['d5', 'Bf6'], ['dxc6', 'Bxc6'], ['Qb3', 'Be5'], ['Rc2', 'Qg8'], ['Qxg8+', 'Rxg8'], ['Nd4', 'Bxd4\n'], ['Rxd4', 'Ke7'], ['Rc1', 'Ne6'], ['Rdd1', 'h5'], ['h4', 'Kf6'], ['Kh2', 'Ke5'], ['Bf1', 'Rg7'], ['b4', 'Ba4\n'], ['Rd2', 'b6'], ['f4+', 'exf3'], ['Re1+', 'Kf6'], ['Bc4', 'Bd7'], ['Rxd7', 'Rxd7'], ['Rxe6+', 'Kg7'], ['Re3', 'Rd2+\n'], ['Kh3', 'Rc2'], ['Ba6', 'Rf2'], ['Bb7', '']]",1-0
Linares,Linares,1990.??.??,2,"Ljubojevic, Ljubomir","Spassky, Boris V",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Nd7'], ['d4', 'Nb6'], ['Nbd2', 'Bf6'], ['Nf1', 'Re8'], ['Bc2', 'exd4'], ['cxd4', 'Nb4'], ['Bb1', 'c5\n'], ['Ng3', 'cxd4'], ['Nxd4', 'Nc4'], ['a3', 'Qb6'], ['e5', 'Rxe5'], ['Nf3', 'Nc6'], ['Nxe5', 'Bxe5'], ['Bf4', 'Be6\n'], ['Bxe5', 'dxe5'], ['b3', 'N4a5'], ['b4', 'Nc4'], ['Bf5', 'Nd4'], ['Bxe6', 'Nxe6'], ['Qg4', 'g6'], ['Nf5', 'h5\n'], ['Qg3', 'Nf4'], ['Rad1', 'Qe6'], ['Qf3', 'Rc8'], ['Qxf4', 'Qxf5'], ['Qxf5', 'gxf5'], ['Rd5', 'Kg7'], ['Rc1', 'Kf6\n'], ['a4', 'Rb8'], ['axb5', 'axb5'], ['Ra1', 'f4'], ['Ra7', 'Kg6'], ['Rc7', 'Ra8'], ['Kf1', 'e4'], ['Rxb5', 'Ra1+\n'], ['Ke2', 'Ra2+'], ['Ke1', 'Ra1+'], ['Ke2', 'Ra2+']]",1/2-1/2
Linares,Linares,1990.??.??,3,"Jussupow, Artur","Ljubojevic, Ljubomir",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['Nbd2', 'Bb7'], ['Bg2', 'c5'], ['O-O', 'cxd4'], ['Nb3', 'Be7\n'], ['Nbxd4', 'O-O'], ['b3', 'd6'], ['Bb2', 'a6'], ['Rc1', 'Nbd7'], ['b4', 'Qb8'], ['a3', 'Rc8'], ['Qb3', 'Bf8\n'], ['Rfd1', 'd5'], ['Ng5', 'dxc4'], ['Rxc4', 'Rxc4'], ['Qxc4', 'b5'], ['Qb3', 'Bxg2'], ['Ndxe6', 'Qb7'], ['Nf4', 'Nc5\n'], ['bxc5', 'Bc6'], ['Bxf6', 'gxf6'], ['Nf3', 'Bxc5'], ['Nh5', 'Bxf3'], ['exf3', 'Qc6'], ['Kg2', 'Bxf2\n'], ['Qb2', 'Bc5'], ['Nxf6+', 'Kf8'], ['Nxh7+', 'Kg8'], ['Nf6+', 'Kf8'], ['Rc1', 'Rd8'], ['Ne4', '']]",1-0
Linares,Linares,1990.??.??,4,"Gulko, Boris F","Ljubojevic, Ljubomir",,,E04,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'a5'], ['Bg2', 'd5'], ['Nf3', 'dxc4'], ['Qc2', 'b5'], ['a4', 'c6\n'], ['axb5', 'Bxd2+'], ['Nfxd2', 'Qxd4'], ['Qxc4', 'Qb6'], ['Nc3', 'Bb7'], ['Na4', 'Qc7'], ['b6', 'Qe7'], ['Nb3', 'Nd5\n'], ['Nbc5', 'O-O'], ['O-O', 'Ba6'], ['Qd4', 'Rd8'], ['b7', 'Bxb7'], ['Nxb7', 'Qxb7'], ['e4', 'Qb4'], ['Rfd1', 'Nd7\n'], ['exd5', 'Qxd4'], ['Rxd4', 'cxd5'], ['Rc1', 'Rdc8'], ['Rxc8+', 'Rxc8'], ['Bxd5', 'exd5'], ['Rxd5', 'Nf8\n'], ['Rxa5', 'Rb8'], ['Ra6', 'Rb4'], ['Kf1', 'g5'], ['Ke2', 'Ne6'], ['Kd2', 'g4'], ['Ra5', 'Rb3'], ['Kc1', 'Rf3\n'], ['Rd5', 'Rxf2'], ['Rd2', 'Rf5'], ['Kc2', 'Rb5'], ['Kc3', 'h5'], ['b4', 'h4'], ['Kc4', 'Re5'], ['Nc5', 'hxg3\n'], ['hxg3', 'f5'], ['Nxe6', 'Rxe6'], ['b5', 'Kf7'], ['Rb2', 'f4'], ['b6', 'fxg3'], ['b7', 'g2'], ['b8=Q', 'g1=Q\n'], ['Rb7+', 'Kg6'], ['Qg8+', 'Kf5'], ['Qf7+', 'Kg5'], ['Rb5+', 'Kh4'], ['Qxe6', 'Qf1+'], ['Kc5', 'Qf8+\n'], ['Kc6', 'Qa8+'], ['Kc7', 'Qa7+'], ['Kc8', 'Qa8+'], ['Kc7', 'Qa7+'], ['Kc8', 'Qa8+'], ['Rb8', 'Qa3'], ['Rb3', 'Qa8+\n'], ['Kd7', 'Qa7+'], ['Ke8', 'Qa4+'], ['Ke7', 'Qa7+'], ['Kf8', 'Qc5+'], ['Ke8', 'Qa5'], ['Qe7+', 'Kh5'], ['Qe4', 'Kh4\n'], ['Rb4', 'Qh5+'], ['Kd7', 'Qf7+'], ['Kc6', 'Qf6+'], ['Kb5', 'Qf1+'], ['Rc4', 'Qd1'], ['Qe7+', 'Kh3'], ['Qh7+', 'Kg3\n'], ['Rc3+', 'Kg2'], ['Rc2+', '']]",1-0
Linares,Linares,1990.??.??,5,"Ljubojevic, Ljubomir","Ivanchuk, Vassily",,,B10,"[['e4', 'c6'], ['d3', 'e5'], ['Nf3', 'Nf6'], ['Be2', 'd6'], ['O-O', 'Nbd7'], ['Re1', 'g6'], ['a4', 'Bg7'], ['Nc3', 'O-O\n'], ['d4', 'exd4'], ['Nxd4', 'Re8'], ['Bf1', 'Nc5'], ['f3', 'd5'], ['e5', 'Nh5'], ['g4', 'Rxe5'], ['Rxe5', 'Bxe5\n'], ['gxh5', 'Qh4'], ['f4', 'Qg4+'], ['Bg2', 'Qxd1+'], ['Nxd1', 'Bxd4+'], ['Be3', 'Bxe3+'], ['Nxe3', 'd4\n'], ['b4', 'Ne6'], ['Nc4', 'Nxf4'], ['Nd6', 'Nxg2'], ['Kxg2', 'Bf5'], ['Rd1', 'Bxc2'], ['Rxd4', 'Rd8'], ['a5', 'Kf8\n'], ['Nb5', 'Rxd4'], ['Nxd4', 'Ba4'], ['Kf3', 'Ke7'], ['Kf4', 'f6'], ['hxg6', 'hxg6'], ['h4', 'Kd6'], ['Ne2', 'Bc2\n'], ['Nc3', 'Ke6'], ['Kf3', 'Kf5'], ['Ke3', 'Kg4'], ['b5', 'cxb5'], ['Nxb5', 'Ba4'], ['Nxa7', 'Bd7'], ['Kd4', 'f5\n'], ['Kc5', 'f4'], ['Kd6', 'Ba4']]",0-1
Linares,Linares,1990.??.??,6,"Kasparov, Gary","Ljubojevic, Ljubomir",,,E20,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['f3', 'd5'], ['a3', 'Be7'], ['e4', 'dxc4'], ['Bxc4', 'c5'], ['dxc5', 'Qxd1+\n'], ['Kxd1', 'Bxc5'], ['Nb5', 'Bb6'], ['e5', 'Nd5'], ['Nd6+', 'Ke7'], ['f4', 'Nc6'], ['Nf3', 'Ne3+'], ['Bxe3', 'Bxe3\n'], ['g3', 'Rd8'], ['b4', 'f6'], ['Ke2', 'Bd4'], ['b5', 'Bxa1'], ['bxc6', 'fxe5'], ['Nxc8+', 'Raxc8'], ['Rxa1', 'exf4\n'], ['Rb1', 'Rxc6'], ['Rxb7+', 'Kf6'], ['Rb4', 'fxg3'], ['hxg3', 'h5'], ['Ke3', 'e5']]",1/2-1/2
Linares,Linares,1990.??.??,7,"Ljubojevic, Ljubomir","Salov, Valery",,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'h5'], ['Bg5+', 'Be7'], ['Rad1+', 'Ke8'], ['Ne2', 'Nh6'], ['h3', 'Bf5'], ['Rd2', 'Rd8'], ['Rfd1', 'Bxg5\n'], ['Nxg5', 'Ke7'], ['Nd4', 'Bc8'], ['c4', 'f6'], ['exf6+', 'Kxf6'], ['h4', 'Rhe8'], ['f3', 'Nf5'], ['Nxf5', 'Rxd2\n'], ['Rxd2', 'Bxf5'], ['Kf2', 'c5'], ['Kg3', 'Bb1'], ['a3', 'b6'], ['Kf4', 'Re7'], ['Rd5', 'g6'], ['Ne4+', 'Kg7\n'], ['Nd2', 'Bc2'], ['Re5', 'Rd7'], ['Ke3', 'a5'], ['Rd5', 'Re7+'], ['Ne4', 'Ba4'], ['Rd8', 'Be8'], ['Kd3', 'Bd7\n'], ['Nc3', 'Bf5+'], ['Kd2', 'Be6'], ['Nd5', 'Bxd5'], ['Rxd5', 'Kf6'], ['a4', 'Rh7'], ['Ke3', 'Re7+'], ['Kf2', 'Rh7\n'], ['b3', 'Re7'], ['Rd3', 'Kf5'], ['Rd8', 'Kf6'], ['Rd5', 'Kg7'], ['g4', 'hxg4'], ['fxg4', 'Re4'], ['Rd7+', 'Kf6\n'], ['Kf3', 'Rd4'], ['Rxc7', 'Rd3+'], ['Ke4', 'Rd4+'], ['Kf3', 'Rd3+'], ['Kf4', 'Rd4+']]",1/2-1/2
Linares,Linares,1990.??.??,8,"Beliavsky, Alexander G","Ljubojevic, Ljubomir",,,E27,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['f3', 'd5'], ['a3', 'Bxc3+'], ['bxc3', 'O-O'], ['cxd5', 'exd5'], ['e3', 'b6\n'], ['Bd3', 'Ba6'], ['Ne2', 'Qc8'], ['e4', 'Bxd3'], ['Qxd3', 'Qa6'], ['Qe3', 'dxe4'], ['fxe4', 'Nbd7'], ['O-O', 'Rae8\n'], ['e5', 'Nd5'], ['Qf3', 'Qc4'], ['Ng3', 'f6'], ['Bh6', 'gxh6'], ['Qg4+', 'Kh8'], ['Qxd7', 'Rd8'], ['Qe6', 'Rde8\n'], ['Qd7', 'Rd8'], ['Qe6', 'Rde8'], ['Qd7', '']]",1/2-1/2
Linares,Linares,1990.??.??,9,"Ljubojevic, Ljubomir","Illescas Cordoba, Miguel",,,D34,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c5'], ['cxd5', 'exd5'], ['Nf3', 'Nc6'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O\n'], ['dxc5', 'Bxc5'], ['Bg5', 'd4'], ['Bxf6', 'Qxf6'], ['Nd5', 'Qd8'], ['Nd2', 'Re8'], ['Rc1', 'Bb6'], ['Re1', 'Bg4\n'], ['Nxb6', 'axb6'], ['h3', 'Be6'], ['a3', 'Rc8'], ['Qa4', 'h6'], ['Nc4', 'Na5'], ['Nxa5', 'bxa5'], ['Bxb7', 'Rb8\n'], ['Bf3', 'Rxb2'], ['Red1', 'Bb3'], ['Qxd4', 'Qxd4'], ['Rxd4', 'Ra2'], ['a4', 'Rxa4'], ['Rxa4', 'Bxa4\n'], ['Rc5', 'Bd1'], ['Rxa5', 'Bxe2'], ['Bd5', 'Re7'], ['Kg2', '']]",1/2-1/2
