URS-ch U18,Alma-Ata,1991.??.??,?,"Kasimdzhanov, Rustam","Appolonov, Sergei",,,B40,"[['e4', 'e6'], ['d3', 'c5'], ['Nf3', 'Nc6'], ['Nbd2', 'd6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'Rb8'], ['c3', 'b5'], ['a4', 'a6\n'], ['Re1', 'Nge7'], ['Nf1', 'O-O'], ['Bg5', 'b4'], ['Qc2', 'h6'], ['Be3', 'Bd7'], ['e5', 'Qc7'], ['exd6', 'Qxd6\n'], ['N1d2', 'Nd5'], ['Nc4', 'Nxe3'], ['Rxe3', 'Qc7'], ['Rae1', 'Ne7'], ['Nfe5', 'b3'], ['Qe2', 'Bxa4'], ['Nxf7', 'Rxf7\n'], ['Rxe6', 'Rd8'], ['Rxe7', 'Qxe7'], ['Qxe7', 'Rxe7'], ['Rxe7', 'Rxd3'], ['Be4', 'Rd1+'], ['Kg2', 'Bb5\n'], ['Ne3', 'Rd6'], ['Bd5+', 'Rxd5'], ['Nxd5', 'Bc6'], ['c4', 'Bxb2'], ['Kf1', 'Bd4'], ['Re1', 'Bd7'], ['Ke2', 'a5\n'], ['Kd2', 'a4'], ['Nb6', 'a3'], ['Nxd7', 'a2'], ['Nxc5', 'Bxc5'], ['Kc3', 'Bb4+'], ['Kxb3', 'Bxe1'], ['Kxa2', 'Bxf2\n'], ['Kb3', 'Kf7'], ['Kc3', 'Ke6'], ['Kd3', 'Ke5'], ['Ke2', 'Bc5'], ['Kf3', 'Kf5'], ['h3', 'Bd6'], ['g4+', 'Ke5\n'], ['h4', 'Bc5'], ['h5', '']]",0-1
World Blitz,Moscow RUS,2007.11.22,30,"Kasimdzhanov,R","Kamsky,G",,,B43,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'b5'], ['Bd3', 'Qb6'], ['Nf3', 'Nc6'], ['O-O', 'Nge7\n'], ['Re1', 'Ng6'], ['a4', 'b4'], ['a5', 'Qb8'], ['Na4', 'Bd6'], ['Nb6', 'Ra7'], ['Be3', 'Rc7'], ['Nxc8', 'Qxc8\n'], ['Bb6', 'O-O'], ['Bf1', 'Be7'], ['Qd2', 'Nb8'], ['Bxc7', 'Qxc7'], ['c3', 'Nc6'], ['Red1', 'Rd8'], ['cxb4', 'Bxb4\n'], ['Qd3', 'Bxa5'], ['Qxa6', 'Bb6'], ['Rac1', 'h6'], ['Bb5', 'Rb8'], ['Bxc6', 'dxc6'], ['Qc4', 'Ne5'], ['Nxe5', 'Qxe5\n'], ['Rc2', 'c5'], ['g3', 'g5'], ['Kg2', 'Kg7'], ['Rd7', 'h5'], ['Qe2', 'g4'], ['Qd3', 'Ba5'], ['Qe3', 'Bb4'], ['Rc1', 'Ra8\n'], ['Rcd1', 'Qxb2'], ['Qg5+', '']]",1-0
World Blitz,Moscow RUS,2007.11.22,31,"Kramnik,V","Kasimdzhanov,R",,,D43,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['Nc3', 'e6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['g3', 'Nd7'], ['Bg2', 'dxc4\n'], ['O-O', 'Be7'], ['Ne4', 'Qf5'], ['Ned2', 'Nb6'], ['Ne5', 'O-O'], ['e3', 'c5'], ['Be4', 'Qh3'], ['dxc5', 'Bxc5\n'], ['Ndxc4', 'Nxc4'], ['Nxc4', 'Be7'], ['Nd6', 'e5'], ['Nxb7', 'Rb8'], ['Na5', 'Rxb2'], ['Nc6', 'Bg5'], ['Bg2', 'Qe6\n'], ['Qd5', 'Qxd5'], ['Bxd5', 'Bb7'], ['Rfb1', 'Bxc6'], ['Bxc6', 'Rfb8'], ['Rxb2', 'Rxb2'], ['Bd5', 'Rd2\n'], ['Bb3', 'g6'], ['Rc1', 'Rd7'], ['Rc5', 'Bf6'], ['Kg2', 'Kg7'], ['Kf3', 'h5'], ['h4', 'Kf8'], ['Ra5', 'Rc7\n'], ['Ke4', 'Rd7'], ['Bd5', 'Rc7'], ['Kd3', 'Be7'], ['Bb3', 'Bd6'], ['Ke4', 'Ke7'], ['Kd5', 'Bb4'], ['Rb5', 'Be1\n'], ['Kxe5', 'Bxf2'], ['Kf4', 'Be1'], ['g4', 'Bxh4'], ['gxh5', 'gxh5'], ['Rxh5', 'Bf6'], ['Rh7', 'Kf8'], ['e4', 'Re7\n'], ['Rh5', 'Bd4'], ['e5', 'Kg7'], ['Ke4', 'Bc3'], ['Rf5', 'Bb2'], ['Kd5', 'Bc3'], ['a4', 'a5'], ['Ke4', '']]",1/2-1/2
World Blitz,Moscow RUS,2007.11.22,32,"Kasimdzhanov,R","Rublevsky,S",,,B43,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nc3', 'Qc7'], ['Bd3', 'Nf6'], ['Qe2', 'Bd6'], ['Ndb5', 'axb5\n'], ['Nxb5', 'Qa5+'], ['Bd2', 'Bb4'], ['Bxb4', 'Qxb4+'], ['c3', 'Qc5'], ['e5', 'Nd5'], ['Nd6+', 'Kf8'], ['Qh5', 'g6\n'], ['Qh6+', 'Kg8'], ['h4', 'Nc6'], ['h5', 'Nxe5']]",0-1
World Blitz,Moscow RUS,2007.11.22,33,"Bacrot,E","Kasimdzhanov,R",,,E14,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['e3', 'Be7'], ['b3', 'O-O'], ['Bd3', 'b6'], ['O-O', 'Bb7'], ['Bb2', 'Nbd7\n'], ['Nc3', 'c5'], ['Qe2', 'dxc4'], ['bxc4', 'Re8'], ['Rad1', 'cxd4'], ['exd4', 'Bf8'], ['Rfe1', 'Rc8'], ['Ne5', 'g6\n'], ['f4', 'Bg7'], ['Kh1', 'a6'], ['a4', 'Nb8'], ['Bb1', 'Nc6'], ['d5', 'exd5'], ['cxd5', 'Na5'], ['d6', 'Nd7\n'], ['Ne4', 'Bxe5'], ['fxe5', 'Nc4'], ['Qf2', 'Nxb2'], ['Qxb2', 'Rxe5'], ['Ng3', 'Rxe1+'], ['Rxe1', 'Qf6\n'], ['Qd2', 'Rd8'], ['Be4', 'Nc5'], ['Bxb7', 'Nxb7'], ['d7', 'Nc5'], ['Re8+', 'Kg7']]",0-1
World Blitz,Moscow RUS,2007.11.22,34,"Kasimdzhanov,R","Ponomariov,R",,,C18,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'Nc6'], ['Qg4', 'g6'], ['Bd2', 'Bd7\n'], ['h4', 'h6'], ['Bd3', 'Qe7'], ['Nh3', 'c4'], ['Be2', 'O-O-O'], ['O-O', 'Kb8'], ['a4', 'Be8'], ['a5', 'Ka8\n'], ['Nf4', 'Rc8'], ['Nxd5', 'Qd8'], ['Ne3', 'Nxa5'], ['d5', 'exd5'], ['Rxa5', 'Bd7'], ['Rxa7+', 'Kxa7'], ['Qd4+', 'Kb8\n'], ['e6', '']]",1-0
World Blitz,Moscow RUS,2007.11.22,35,"Karpov,Ana","Kasimdzhanov,R",,,E71,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['h3', 'O-O'], ['Be3', 'e5'], ['d5', 'a5'], ['g4', 'Na6'], ['Be2', 'Nc5\n'], ['Qc2', 'Bd7'], ['O-O-O', 'Kh8'], ['g5', 'Ng8'], ['h4', 'f6'], ['Nf3', 'Bg4'], ['Nd2', 'Bxe2'], ['Nxe2', 'Nd7\n'], ['h5', 'fxg5'], ['hxg6', 'h6'], ['Rdg1', 'Rf4'], ['f3', 'Nf8'], ['c5', 'Nxg6'], ['Nxf4', 'exf4'], ['Bf2', 'a4\n'], ['a3', 'Qf6'], ['Kb1', 'Ra5'], ['Ka2', 'Rb5'], ['Rb1', 'N8e7'], ['cxd6', 'cxd6'], ['Nc4', 'Rb3'], ['Nd2', 'Rb5\n'], ['Nc4', 'Rb3'], ['Nd2', 'Rb5']]",1/2-1/2
World Blitz,Moscow RUS,2007.11.22,36,"Kasimdzhanov,R","Mamedyarov,S",,,E60,"[['d4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'd6'], ['Bg2', 'Nf6'], ['b3', 'O-O'], ['Bb2', 'c5'], ['c4', 'Ne4'], ['O-O', 'Nc6\n'], ['Nbd2', 'Bf5'], ['Nh4', 'Nxd2'], ['Qxd2', 'Nxd4'], ['Nxf5', 'Nxf5'], ['Bxg7', 'Nxg7'], ['Bxb7', 'Rb8\n'], ['Bf3', 'a5'], ['Qc3', 'Qc7'], ['h4', 'h5'], ['e3', 'a4'], ['Rfb1', 'Qa7'], ['Bc6', 'a3'], ['Rd1', 'Qb6'], ['Bf3', 'Ne8\n'], ['Rd2', 'Nf6'], ['Rad1', 'Qb4'], ['Qa1', 'Rfd8'], ['Kg2', 'Kg7'], ['e4', 'Qa5'], ['Rd3', 'Qc7'], ['Qc1', 'Qa5\n'], ['e5', 'dxe5'], ['Qe3', 'Rxd3'], ['Rxd3', 'Qc7'], ['Rd1', 'Rb6'], ['Qc3', 'Re6'], ['Bd5', 'Ra6'], ['Bf3', 'Nd7\n'], ['Qc1', 'Qa7'], ['Bxh5', 'gxh5'], ['Qg5+', 'Kf8'], ['Qxh5', 'Ke8'], ['Qh8+', 'Nf8'], ['Qxe5', 'Re6'], ['Qf5', 'Qc7\n'], ['Rd5', 'Qc6'], ['Kh2', 'Rf6'], ['Qc2', 'Ne6'], ['f4', 'Nc7'], ['Re5', 'Rd6'], ['Qe2', 'Ne6'], ['Qe3', 'Rd1\n'], ['Re4', 'f5']]",0-1
World Blitz,Moscow RUS,2007.11.22,37,"Gelfand,B","Kasimdzhanov,R",,,D08,"[['d4', 'd5'], ['c4', 'e5'], ['dxe5', 'd4'], ['Nf3', 'Nc6'], ['a3', 'Nge7'], ['b4', 'Ng6'], ['Bb2', 'a5'], ['b5', 'Ncxe5\n'], ['Nxe5', 'Nxe5'], ['Bxd4', 'Nxc4'], ['e3', 'Be6'], ['Qc2', 'Nd6'], ['Bd3', 'Qg5'], ['O-O', 'Nxb5'], ['Nc3', 'Nxd4\n'], ['exd4', 'Bd6'], ['Rab1', 'Qh6'], ['g3', 'O-O'], ['Rxb7', 'Bxa3'], ['Nb5', 'Bb4'], ['Rxc7', 'Rac8'], ['Be4', 'Rxc7\n'], ['Nxc7', 'Bh3'], ['Rb1', 'Rc8'], ['Bb7', 'Rb8'], ['Be4', 'Qd6'], ['Nd5', 'g6'], ['Nxb4', 'Rxb4'], ['Rxb4', 'Qxb4\n'], ['Qd1', 'a4'], ['Bg2', 'Bxg2'], ['Kxg2', 'a3'], ['d5', 'a2'], ['d6', 'Qb7+'], ['Kh3', 'Qb1'], ['Qa4', 'a1=Q\n'], ['Qe8+', 'Kg7'], ['d7', 'Qf5+'], ['Kg2', 'Qd5+'], ['Kh3', 'Qad4']]",0-1
World Blitz,Moscow RUS,2007.11.22,38,"Kasimdzhanov,R","Korotylev,A",,,B56,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['f3', 'e5'], ['Nb3', 'Be7'], ['Be3', 'O-O\n'], ['Qd2', 'a5'], ['Bb5', 'Be6'], ['O-O', 'Na7'], ['Be2', 'Nc8'], ['Rad1', 'Nb6'], ['Kh1', 'Nc4'], ['Bxc4', 'Bxc4\n'], ['Rfe1', 'h6'], ['Nc1', 'Qc7'], ['b3', 'Ba6'], ['Na4', 'b5'], ['Nb6', 'Rab8'], ['Qxa5', 'Bb7'], ['Qxb5', 'Qxc2\n'], ['Qe2', 'Qc7'], ['Nd3', 'Ba6'], ['Rc1', 'Qd8'], ['Nc4', 'd5'], ['exd5', 'Qxd5'], ['Ndxe5', 'Bb4'], ['Bd2', 'Bc5\n'], ['Bc3', 'Rfe8'], ['Rcd1', 'Qa8'], ['Qc2', 'Nd5'], ['Bb2', 'Bb7'], ['Qf5', 'f6'], ['Ng4', 'Rxe1+'], ['Rxe1', 'Re8\n'], ['Rd1', 'Qxa2'], ['h4', 'Qa8'], ['Rxd5', 'Bxd5'], ['Nxf6+', 'gxf6'], ['Qg6+', 'Kf8'], ['Qxf6+', 'Bf7\n'], ['Qxh6+', 'Ke7'], ['Qg5+', 'Kd7'], ['Qxc5', 'Re1+'], ['Kh2', 'Bxc4'], ['Qxc4', 'Qb8+'], ['f4', 'Qb6\n'], ['Qd4+', 'Qxd4'], ['Bxd4', 'Ke6'], ['h5', 'Kf5'], ['h6', 'Kg6'], ['Bg7', 'Rb1'], ['Kg3', 'Rxb3+'], ['Kg4', 'Rb4\n'], ['Kf3', 'Rb3+'], ['Ke4', 'Rb4+'], ['Kf3', 'Rb3+'], ['Kg4', 'Rb4'], ['g3', 'Ra4'], ['Bf8', 'Rc4'], ['Kh4', 'Rd4\n'], ['Kg4', 'Rc4'], ['Bg7', 'Ra4'], ['Kf3', 'Ra3+'], ['Kg2', 'Ra2+'], ['Kf3', 'Ra3+'], ['Kf2', 'Ra2+'], ['Kf1', 'Ra1+\n'], ['Bxa1', '']]",1-0
World Cup,Khanty-Mansiysk RUS,2007.11.24,1.1,"Gopal,G","Kasimdzhanov,R",,,C78,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Bc5'], ['c3', 'd6'], ['a4', 'Rb8\n'], ['d4', 'Bb6'], ['Na3', 'O-O'], ['axb5', 'axb5'], ['Nxb5', 'Bg4'], ['Bc2', 'Bxf3'], ['gxf3', 'Nh5'], ['f4', 'Qh4\n'], ['fxe5', 'dxe5'], ['d5', 'Ne7'], ['Qf3', 'Ng6'], ['Kh1', 'Ngf4'], ['c4', 'Nh3'], ['Be3', 'Bxe3'], ['fxe3', 'f5\n'], ['exf5', 'Ng5'], ['Qg2', 'Qxc4'], ['Ba4', 'h6'], ['b3', 'Qc5'], ['Rac1', 'Qxe3'], ['Rc3', 'Qb6'], ['Rxc7', 'Nf4\n'], ['Qc2', 'Qa5'], ['d6', 'Rxb5'], ['Bxb5', 'Qxb5'], ['Rd1', 'Nf7'], ['f6', 'Rd8'], ['Qc4', 'Qxc4'], ['bxc4', 'gxf6\n'], ['c5', 'Ne6'], ['Rb1', 'e4'], ['Kg1', 'Ne5'], ['c6', 'e3'], ['Re7', 'Nxc6'], ['Rxe6', 'Kf7'], ['Rxe3', 'Rxd6\n'], ['Rb7+', 'Kg6'], ['Rb6', 'Rd1+'], ['Kf2', 'Nd4'], ['Rg3+', 'Kf5'], ['Rh3', 'Kg5'], ['Rb8', 'Kf4'], ['Rd8', 'f5\n'], ['Rh4+', 'Ke5'], ['Re8+', 'Kf6'], ['Rxh6+', 'Kg5'], ['Rhh8', 'Kf4'], ['Rh4+', 'Kg5'], ['Reh8', 'f4'], ['R4h5+', 'Kg6\n'], ['R5h6+', 'Kf5'], ['Re8', 'Rd2+'], ['Kf1', 'Kg4'], ['Rg8+', 'Kf5'], ['Rf8+', 'Ke4'], ['Re8+', 'Kf3'], ['Rh3+', 'Kg4\n'], ['Rhh8', 'Kf3'], ['Rh3+', 'Kg4'], ['Rh7', 'Kf3'], ['Rh3+', '']]",1/2-1/2
World Cup,Khanty-Mansiysk RUS,2007.11.25,1.2,"Kasimdzhanov,R","Gopal,G",,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e5'], ['Nf3', 'Be7'], ['Bc4', 'O-O\n'], ['O-O', 'Nc6'], ['Qe2', 'Na5'], ['Bd5', 'Be6'], ['Rad1', 'Qc7'], ['Bxe6', 'fxe6'], ['Ng5', 'Qc8'], ['Na4', 'Nc4\n'], ['b3', 'b5'], ['bxc4', 'bxa4'], ['c5', 'd5'], ['exd5', 'exd5'], ['Rfe1', 'h6'], ['Nf3', 'e4'], ['Nd2', 'Bxc5\n'], ['Bxc5', 'Qxc5'], ['c4', 'dxc4'], ['Nxc4', 'Nd5'], ['Rxd5', 'Qxd5'], ['Nb6', 'Qc6'], ['Nxa8', 'Rxa8\n'], ['Qxe4', 'Rc8'], ['g3', 'Qd7'], ['Kg2', 'Kh8'], ['Re3', 'Rf8'], ['h4', 'Qb5'], ['a3', 'Qb2'], ['Rf3', 'Rxf3\n'], ['Qxf3', 'Qb3'], ['h5', 'Kg8'], ['g4', 'Qc4'], ['Kg3', 'Qb3'], ['Kg2', 'Qc4'], ['Qf5', 'Qc6+'], ['f3', 'Qc4\n'], ['Kg3', 'Qd4'], ['Qc8+', 'Kf7'], ['Qf5+', 'Kg8'], ['Qe6+', 'Kf8'], ['Qe4', 'Qg1+'], ['Kf4', 'Qc1+'], ['Qe3', 'Qc7+\n'], ['Ke4', 'Qc6+'], ['Kd3', 'Qd5+'], ['Ke2', 'Qa2+'], ['Kf1', 'Qc2'], ['Qf4+', 'Kg8'], ['Qd6', 'Kh7'], ['Qe7', 'Qb3\n'], ['Kg2', 'Qb2+'], ['Kg3', 'Qb8+'], ['Kh3', 'Qb3'], ['Qf8', 'Qd1'], ['Kg2', 'Qe2+'], ['Kg3', 'Qd1'], ['Qc5', 'Kg8\n'], ['Qe5', 'Qb3'], ['Qe8+', 'Kh7'], ['Qf8', 'Qd1'], ['Qb4', 'Qb3'], ['Qd6', 'Qe3'], ['Qb4', 'Qb3'], ['Qc5', 'Qd1\n'], ['Kf4', 'Qd2+'], ['Ke4', 'Qe2+'], ['Qe3', 'Qc4+'], ['Qd4', 'Qb3'], ['Qd3', 'a5'], ['Qd6', 'Qc4+'], ['Ke3', 'Qb3+\n'], ['Kf2', 'Kg8'], ['Kg3', 'Kh7'], ['Qc5', 'Qb8+'], ['Kg2', 'Qb2+'], ['Kf1', 'Qb3'], ['Ke2', 'Kg8'], ['Kf2', 'Kh7\n'], ['Qd6', 'Kg8'], ['Kg3', 'Kh7'], ['Kf2', 'Kg8'], ['Kg2', 'Kh7'], ['Kg3', 'Kg8'], ['Kg2', 'Kh7'], ['Kf2', 'Kg8\n'], ['Kg3', 'Kh7'], ['Qe7', 'Qb8+'], ['Kh3', 'Qb3'], ['Qf8', 'Qd1'], ['Kg2', '']]",1/2-1/2
World Cup,Khanty-Mansiysk RUS,2007.11.26,1.4,"Gopal,G","Kasimdzhanov,R",,,C87,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'd6'], ['Bxc6+', 'bxc6'], ['d4', 'exd4\n'], ['Nxd4', 'Bd7'], ['Nc3', 'O-O'], ['Qf3', 'Re8'], ['h3', 'Rb8'], ['b3', 'Rb4'], ['Be3', 'g6'], ['e5', 'dxe5\n'], ['Nxc6', 'Bxc6'], ['Qxc6', 'Qd6'], ['Qxd6', 'Bxd6'], ['Rad1', 'Re6'], ['Nd5', 'Nxd5'], ['Rxd5', 'Rb5\n'], ['Red1', 'f6'], ['c4', 'Rxd5'], ['Rxd5', 'Kf7'], ['Kf1', 'Ke8'], ['Ke2', 'Bb4'], ['Bd2', 'c6'], ['Rd3', 'e4\n'], ['Re3', 'Bc5'], ['Rc3', 'f5'], ['Be3', 'Bb4'], ['Rc1', 'Rd6'], ['a3', 'Ba5'], ['b4', 'Bd8'], ['a4', 'Kd7']]",1/2-1/2
World Cup,Khanty-Mansiysk RUS,2007.11.26,1.3,"Kasimdzhanov,R","Gopal,G",,,A33,"[['c4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e6'], ['a3', 'd5'], ['cxd5', 'exd5'], ['g3', 'Bc5\n'], ['Be3', 'Bb6'], ['Bg2', 'O-O'], ['O-O', 'Re8'], ['Nxc6', 'bxc6'], ['Bd4', 'Ba6'], ['Rc1', 'Bxd4'], ['Qxd4', 'Qb6\n'], ['Qd2', 'Qb3'], ['Rfe1', 'Rad8'], ['Qd4', 'Qb6'], ['Qxb6', 'axb6'], ['e3', 'c5'], ['Bf1', 'Bxf1'], ['Kxf1', 'Ne4\n'], ['Red1', 'Nxc3'], ['Rxc3', 'Rd6'], ['b4', 'Rc8'], ['bxc5', 'bxc5'], ['Rb3', 'g6'], ['Ke2', 'Kg7'], ['Rb5', 'd4\n'], ['exd4', 'cxd4'], ['Rb3', 'Rc2+'], ['Rd2', 'Rc1'], ['a4', 'Ra1'], ['Rb4', 'Re6+'], ['Kd3', 'Ra6'], ['Rxd4', 'Kf8\n'], ['Ke4', '']]",1/2-1/2
World Cup,Khanty-Mansiysk RUS,2007.11.26,1.5,"Gopal,G","Kasimdzhanov,R",,,C88,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['h3', 'Bb7\n'], ['d3', 'd6'], ['a3', 'Na5'], ['Ba2', 'c5'], ['Nbd2', 'Nc6'], ['Nf1', 'Bc8'], ['Ne3', 'Be6'], ['Nd5', 'Bxd5\n'], ['exd5', 'Nd4'], ['Nd2', 'Nf5'], ['Ne4', 'Nd7'], ['b4', 'cxb4'], ['axb4', 'a5'], ['bxa5', 'Qxa5'], ['Bd2', 'Qc7\n'], ['c3', 'Nh4'], ['g3', 'Ng6'], ['h4', 'f5'], ['Ng5', 'Bxg5'], ['hxg5', 'Nc5'], ['Qc2', 'e4'], ['dxe4', 'fxe4\n'], ['Be3', 'Ne5'], ['Kg2', 'Ncd3'], ['Re2', 'Qf7'], ['Bd4', 'Qf3+'], ['Kg1', 'Qh5'], ['Kg2', 'Nf4+'], ['gxf4', 'Qg4+\n'], ['Kf1', 'Qh3+'], ['Ke1', 'Nf3+']]",0-1
World Cup,Khanty-Mansiysk RUS,2007.11.26,1.6,"Kasimdzhanov,R","Gopal,G",,,A30,"[['c4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'f5'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['e3', 'Nh6'], ['Bg2', 'Nf7\n'], ['O-O', 'O-O'], ['Nde2', 'b6'], ['b3', 'Bb7'], ['Bb2', 'a6'], ['Qd2', 'e6'], ['Rfd1', 'd6'], ['Rac1', 'Qe7\n'], ['f4', 'Rfd8'], ['Na4', 'Bxb2'], ['Nxb2', 'Rac8'], ['Nc3', 'Na7'], ['e4', 'fxe4'], ['Nxe4', 'd5'], ['cxd5', 'Rxc1\n'], ['Rxc1', 'exd5'], ['Nf2', 'd4'], ['Re1', 'Qc7'], ['Bxb7', 'Qxb7'], ['Nbd3', 'Nb5'], ['Ng4', 'Nc3'], ['Nde5', 'Kg7\n'], ['f5', 'Re8'], ['Qxd4', 'Nb5'], ['Qa1', 'Nxe5'], ['Rxe5', 'Rxe5'], ['Qxe5+', 'Kf8'], ['Qh8+', '']]",1-0
World Cup,Khanty-Mansiysk RUS,2007.11.27,2.1,"Kasimdzhanov,R","Georgiev,Ki",,,D17,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['Nf3', 'dxc4'], ['a4', 'Bf5'], ['Ne5', 'Nbd7'], ['Nxc4', 'Nb6'], ['Ne5', 'a5\n'], ['Bg5', 'h6'], ['Bh4', 'e6'], ['e3', 'Be7'], ['Bd3', 'Bxd3'], ['Nxd3', 'Nbd5'], ['O-O', 'O-O'], ['Qe2', 'Re8\n'], ['Rfd1', 'Qb6'], ['Bg3', 'Qb3'], ['Rdc1', 'Red8'], ['Be5', 'Qb6'], ['h3', 'Nb4'], ['Bxf6', 'Bxf6'], ['Ne4', 'Nxd3\n'], ['Nxf6+', 'gxf6'], ['Qxd3', 'c5'], ['Rc4', 'cxd4'], ['exd4', 'Rac8'], ['Rac1', 'Rxc4'], ['Rxc4', 'Qxb2\n'], ['Qg3+', 'Kf8'], ['Qf4', 'Kg7']]",1/2-1/2
World Cup,Khanty-Mansiysk RUS,2007.11.28,2.2,"Georgiev,Ki","Kasimdzhanov,R",,,D45,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['e3', 'Nbd7'], ['Qc2', 'Bd6'], ['b3', 'O-O'], ['Be2', 'b6\n'], ['O-O', 'Bb7'], ['Bb2', 'Qe7'], ['Rad1', 'Rad8'], ['Rfe1', 'Rfe8'], ['Bd3', 'e5'], ['cxd5', 'cxd5'], ['e4', 'dxe4\n'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Bxe4'], ['Qxe4', 'Nf6'], ['Qf5', 'e4'], ['d5', 'Bb4'], ['Re2', 'Nxd5'], ['Rd4', 'Nc3\n'], ['Bxc3', 'Bxc3'], ['Rxd8', 'Qxd8'], ['Ne1', 'Bxe1'], ['Rxe1', 'Qd2'], ['Kf1', 'Qxa2'], ['Qd7', 'Rf8\n'], ['g3', 'Qxb3'], ['Qxa7', 'Qc4+'], ['Kg1', 'Qc6'], ['Rb1', 'b5'], ['Qa5', 'Rb8'], ['Qb4', 'h6'], ['Rb3', 'Qd5\n'], ['h4', 'Rb6'], ['Re3', 'Re6'], ['Qa5', 'Kh7'], ['Kg2', 'f5'], ['Qc7', 'Rc6'], ['Qe7', 'Rc1'], ['Qf8', 'h5\n'], ['Kh2', 'b4'], ['Qe8', 'Kh6'], ['Qe7', 'Kh7'], ['Qe8', 'Rc6'], ['Qxh5+', 'Rh6'], ['Qe8', 'b3'], ['Qb8', 'f4\n'], ['Rxb3', 'e3'], ['Rb2', 'Qd4'], ['Qb5', 'Qe4'], ['Qe2', 'Re6'], ['Qh5+', 'Rh6'], ['Qe2', 'Re6'], ['Qh5+', 'Rh6\n'], ['Qe2', '']]",1/2-1/2
World Cup,Khanty-Mansiysk RUS,2007.11.29,2.7,"Georgiev,Ki","Kasimdzhanov,R",,,A11,"[['Nf3', 'Nf6'], ['c4', 'c6'], ['g3', 'd5'], ['Bg2', 'Bf5'], ['cxd5', 'cxd5'], ['Qb3', 'Qb6'], ['Nc3', 'Qxb3'], ['axb3', 'Nc6\n'], ['d3', 'e6'], ['Be3', 'a6'], ['Nd4', 'Nxd4'], ['Bxd4', 'Nd7'], ['e4', 'dxe4'], ['dxe4', 'Bg6'], ['O-O', 'Bc5\n'], ['Bxg7', 'Rg8'], ['Bh6', 'Ne5'], ['Na4', 'Ba7'], ['h3', 'Nd3'], ['Rad1', 'O-O-O'], ['Rd2', 'Rd7'], ['Kh2', 'b5\n'], ['Nc3', 'Nc5'], ['Rxd7', 'Nxd7'], ['f4', 'f6'], ['Ra1', 'Nb8'], ['Nxb5', 'Bb6'], ['Nd6+', 'Kc7'], ['e5', 'fxe5\n'], ['fxe5', 'Bd4'], ['Rc1+', 'Kd7'], ['Rd1', '']]",1-0
