Staffordshire op,Staffordshire,1975.??.??,5,"Short, Nigel D","Evans, JS.",,,B02,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Be3', 'e5'], ['dxe5', 'Qxe5'], ['c3', 'Bd6\n'], ['Nf3', 'Bg4'], ['Nxe5', 'Bxd1'], ['Nxc6', 'Ba4'], ['Nd4', 'Bd7'], ['Nb5', 'Be5'], ['f4', 'a6'], ['Nd4', 'Bd6\n'], ['O-O-O', 'O-O'], ['Bd3', 'Rae8'], ['Rhe1', 'Bg4'], ['Be2', 'Rxe3'], ['Bxg4', 'Rxe1'], ['Rxe1', 'Bxf4+\n'], ['Kc2', 'Bxh2'], ['Bf3', 'c5'], ['Nf5', 'b6'], ['Ne7+', 'Kh8'], ['Nd5', 'b5'], ['Re7', 'f5'], ['Ra7', 'g5\n'], ['Rxa6', 'g4'], ['Be2', 'Rd8'], ['Rh6', 'Bg1'], ['Rh1', 'Bf2'], ['Rd1', 'c4'], ['b3', 'Ra8'], ['Kb2', 'Re8\n'], ['Bf1', 'Re4'], ['bxc4', 'bxc4'], ['Nf6', 'Re6'], ['Nh5', 'Rb6+'], ['Kc2', 'h6'], ['Bxc4', 'Kh7'], ['Nf4', 'Kg7\n'], ['Rd7+', 'Kh8'], ['a4', 'Rc6'], ['Bd5', 'Rf6'], ['Kb3', 'Be3'], ['Rd8+', 'Kh7'], ['Bg8+', 'Kh8'], ['Nh5', 'Bb6\n'], ['Rc8', 'Rd6'], ['Be6+', 'Bd8'], ['Bxf5', 'Kg8'], ['Nf6+', 'Kf7'], ['Nxg4', 'Bb6'], ['Kb4', 'h5'], ['Nh2', 'Rd2\n'], ['Be4', 'Rb2+'], ['Kc4', 'Ke7'], ['Rh8', 'Ra2'], ['Kb3', 'Re2'], ['Bf3', 'Re3'], ['Nf1', 'Re1'], ['Nd2', 'Bc7\n'], ['Rxh5', 'Bf4'], ['Ne4', 'Rb1+'], ['Ka2', 'Rb8'], ['a5', 'Bc1'], ['g4', 'Rb2+'], ['Ka1', 'Rb3'], ['Bd1', 'Ra3+\n'], ['Kb1', 'Be3'], ['Kb2', '']]",1-0
FIDE WCh KO,New Delhi IND,2000.12.02,2.5,"Short,N","Nataf,IA",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb3', 'Bb4+'], ['Bd2', 'Qh4'], ['Qe2', 'Nf6'], ['Bxb4', 'Nxb4\n'], ['Nc3', 'O-O'], ['a3', 'Nc6'], ['O-O-O', 'd6'], ['g3', 'Qh6+'], ['Kb1', 'Bg4'], ['f3', 'Be6'], ['Rxd6', 'Bxb3\n'], ['cxb3', 'Nd4'], ['Qg2', 'Qe3'], ['Bc4', 'Rad8'], ['Rxd8', 'Rxd8'], ['Rd1', 'Rd7'], ['Rd3', 'Qe1+'], ['Ka2', 'h6\n'], ['f4', 'b5'], ['Nxb5', 'Ne2'], ['Rxd7', 'Nc1+'], ['Kb1', 'Nxb3+'], ['Ka2', 'Nc1+'], ['Kb1', 'Nb3+'], ['Ka2', 'Nc1+\n'], ['Kb1', 'Nb3+']]",1/2-1/2
FIDE WCh KO,New Delhi IND,2000.12.02,2.6,"Nataf,IA","Short,N",,,C10,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nc6'], ['Nf3', 'Nf6'], ['Bg5', 'Be7'], ['Bd3', 'dxe4'], ['Nxe4', 'Nxe4'], ['Bxe7', 'Nxf2\n'], ['Bxd8', 'Nxd1'], ['Bxc7', 'Nxb2'], ['Be2', 'Na4'], ['Kd2', 'Kd7'], ['Bg3', 'Ke7'], ['c4', 'Rd8'], ['Ke3', 'Nb6\n'], ['Rhc1', 'f6'], ['Rab1', 'Nd7'], ['Bc7', 'Re8'], ['Nd2', 'e5'], ['d5', 'Nd4'], ['c5', 'Nxe2'], ['Kxe2', 'Nf8\n'], ['Nc4', 'b6'], ['c6', 'Ba6'], ['Kf2', 'Rac8'], ['Bd6+', 'Kf7'], ['Ne3', 'Ng6'], ['Ba3', 'Nf4'], ['d6', 'Nd3+\n'], ['Kg1', 'Nxc1'], ['Rxc1', 'Red8'], ['d7', 'Rc7'], ['Nd5', 'Rdxd7'], ['cxd7', 'Rxd7'], ['Nb4', 'Bb7'], ['Rc2', 'Ke6\n'], ['Kf2', 'g5'], ['Nc6', 'a5'], ['Na7', 'Be4'], ['Re2', 'f5'], ['Nb5', 'Bd3'], ['Rb2', 'Bxb5'], ['Rxb5', 'Rd2+\n'], ['Ke3', 'Rxa2'], ['Rxb6+', 'Kd5'], ['Rb5+', 'Ke6'], ['Bb2', 'e4'], ['g4', 'fxg4'], ['Kxe4', 'a4'], ['Rb6+', 'Kd7\n'], ['Be5', 'h5'], ['Kf5', 'Re2'], ['Rd6+', 'Kc8'], ['Ra6', 'h4'], ['Rxa4', 'g3'], ['hxg3', 'hxg3'], ['Bxg3', 'Kd7\n'], ['Rc4', 'g4'], ['Rc7+', 'Kd8'], ['Rg7', 'Kc8'], ['Be5', 'g3'], ['Bxg3', 'Rd2'], ['Ke6', 'Rd7'], ['Rg8+', 'Rd8\n'], ['Rg7', 'Rd7'], ['Rg5', 'Rh7'], ['Bd6', 'Rh6+'], ['Kd5', 'Kd7'], ['Rg7+', 'Ke8'], ['Kc6', 'Re6'], ['Kd5', 'Rh6\n'], ['Re7+', 'Kd8'], ['Kc6', 'Rh1'], ['Rf7', 'Re1'], ['Rf8+', 'Re8'], ['Rf2', 'Re1'], ['Bb4', 'Re6+'], ['Kd5', 'Re3\n'], ['Rf8+', 'Kd7'], ['Rf7+', 'Ke8'], ['Ra7', 'Re2'], ['Bc3', 'Re7'], ['Ra8+', 'Kf7'], ['Be5', 'Rb7'], ['Ke4', 'Rb1\n'], ['Kf5', 'Rf1+'], ['Bf4', 'Ke7'], ['Ra7+', 'Kd8'], ['Ke5', 'Kc8'], ['Rf7', 'Rd1'], ['Ke6', 'Rd7'], ['Rf5', 'Rd1\n'], ['Rb5', 'Re1+'], ['Be5', '']]",1-0
FIDE WCh KO,New Delhi IND,2000.12.02,2.3,"Nataf,IA","Short,N",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Nxc6', 'Qf6'], ['Qd2', 'bxc6'], ['Nc3', 'Nh6'], ['h3', 'O-O\n'], ['Bd3', 'd6'], ['O-O', 'Qg6'], ['Qg5', 'a5'], ['Na4', 'Bd4'], ['c3', 'Ba7'], ['b3', 'f5'], ['Qxg6', 'hxg6\n'], ['Bb2', 'fxe4'], ['Bxe4', 'd5'], ['Bd3', 'Bf5'], ['Rad1', 'Bxd3'], ['Rxd3', 'Nf5'], ['Ba3', 'Nd6'], ['Bc5', 'Rfe8\n'], ['Bxa7', 'Rxa7'], ['Rd2', 'Raa8'], ['f3', 'Re3'], ['Kf2', 'Rae8'], ['Rc1', 'Kf7'], ['Nc5', 'g5'], ['a4', 'Kg6\n'], ['Rdc2', 'R3e7'], ['Rd1', 'Rb8'], ['Re2', 'Rxe2+'], ['Kxe2', 'Nb7'], ['Na6', 'Ra8'], ['Nxc7', 'Rc8'], ['Na6', 'Ra8']]",1/2-1/2
4NCL,Birmingham ENG,2001.01.28,6,"King,D","Short,N",,,C14,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'Be7'], ['e5', 'Nfd7'], ['Bxe7', 'Qxe7'], ['f4', 'a6'], ['Nf3', 'c5\n'], ['Qd2', 'Nc6'], ['dxc5', 'Qxc5'], ['O-O-O', 'b5'], ['Ne2', 'O-O'], ['Ned4', 'Bb7'], ['h4', 'Nxd4'], ['Nxd4', 'b4\n'], ['Rh3', 'Rae8'], ['Re3', 'Qb6'], ['Kb1', 'f6'], ['Nf3', 'a5'], ['Qd4', 'fxe5'], ['Nxe5', 'Qxd4'], ['Rxd4', 'Nxe5\n'], ['Rxe5', 'Rf5'], ['a3', 'Rxe5'], ['fxe5', 'bxa3'], ['bxa3', 'Bc6'], ['g3', 'Kf7'], ['Bd3', 'g6'], ['Kc1', 'Ke7\n'], ['Kd2', 'Rb8'], ['Rf4', 'Bb5'], ['Bxb5', 'Rxb5'], ['h5', 'gxh5'], ['Rh4', 'Kf7'], ['Rxh5', 'Kg6'], ['Rh4', 'Rb7\n'], ['Rf4', 'Rf7'], ['Rxf7', 'Kxf7'], ['Ke3', 'Kg6'], ['Kf4', 'h5'], ['a4', 'Kh6']]",0-1
4NCL,Birmingham ENG,2001.03.18,8,"Short,N","Kelly,B",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'Qb6'], ['dxc5', 'Nxc5'], ['Rb1', 'Nc6\n'], ['Be3', 'Qa5'], ['Qd2', 'Na4'], ['Nb5', 'Qd8'], ['Bd3', 'Bb4'], ['c3', 'Be7'], ['b4', 'a6'], ['Nbd4', 'Nxd4\n'], ['Nxd4', 'Bd7'], ['O-O', 'Qc7'], ['Rbc1', 'Nb6'], ['f5', 'exf5'], ['Bg5', 'Qd8'], ['Bxe7', 'Qxe7'], ['Bxf5', 'O-O\n'], ['Rce1', 'Nc4'], ['Qd3', 'g6'], ['Qg3', 'Rae8'], ['h4', 'Kh8'], ['Bxd7', 'Qxd7'], ['h5', 'Qc7'], ['hxg6', 'fxg6\n'], ['Rxf8+', 'Rxf8'], ['Ne6', 'Qb6+'], ['Nc5', 'a5'], ['a3', 'Nxa3'], ['e6', 'Nc4'], ['e7', 'Re8'], ['Qf2', '']]",1-0
FIDE.COM Trophy Cup,Moscow RUS,2001.03.26,1,"Khalifman,A","Short,N",,,C76,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'd6'], ['c3', 'g6'], ['d4', 'Bd7'], ['O-O', 'Bg7'], ['d5', 'Nce7\n'], ['Bxd7+', 'Qxd7'], ['c4', 'h6'], ['Nc3', 'f5'], ['Ne1', 'Nf6'], ['f3', 'O-O'], ['Nd3', 'g5'], ['Bd2', 'Ng6\n'], ['Nf2', 'f4'], ['b4', 'Rf7'], ['c5', 'Bf8'], ['Na4', 'Re8'], ['Rc1', 'h5'], ['c6', 'Qc8'], ['cxb7', 'Qxb7\n'], ['Qe2', 'Rg7'], ['Rc6', 'Ra8'], ['Rfc1', 'Nh4'], ['h3', 'g4'], ['fxg4', 'hxg4'], ['Nxg4', 'Nxg4'], ['hxg4', 'Qb5\n'], ['Qd1', 'Be7'], ['Be1', 'Rf8'], ['Nc3', 'Qxb4'], ['Rb1', 'Qd4+'], ['Qxd4', 'exd4'], ['Ne2', 'Nxg2'], ['Kxg2', 'f3+\n'], ['Kf1', 'fxe2+'], ['Kxe2', 'Rxg4'], ['Rxc7', 'Bg5'], ['Kd3', 'Rf3+'], ['Kc4', 'Rxe4'], ['Rb8+', 'Rf8\n'], ['Rxf8+', 'Kxf8'], ['Bf2', 'Re2'], ['Bxd4', 'Rc2+'], ['Bc3', 'Rxa2'], ['Kb3', 'Re2'], ['Rc6', '']]",1/2-1/2
FIDE.COM Trophy Cup,Moscow RUS,2001.03.26,2,"Short,N","Khalifman,A",,,C48,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['Bb5', 'Nd4'], ['Nxe5', 'Qe7'], ['f4', 'Nxb5'], ['Nxb5', 'd6'], ['Nf3', 'c6\n'], ['Nc3', 'Nxe4'], ['O-O', 'Nxc3'], ['dxc3', 'Qd8'], ['Re1+', 'Be7'], ['Qe2', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'O-O\n'], ['Be3', 'Bf6'], ['g4', 'g6'], ['Rad1', 'Re8'], ['f5', 'Be5'], ['Rf1', 'Qe7'], ['Rd3', 'd5'], ['Bd4', 'Bxd4+\n'], ['cxd4', 'Qc7'], ['Re3', 'Re4'], ['fxg6', 'fxg6'], ['Rxe4', 'dxe4'], ['Qxe4', 'Qg3+'], ['Qg2', 'Qe3+\n'], ['Qf2', 'Re8'], ['Kg2', 'Qe4+'], ['Kg3', 'Qe3+'], ['Qxe3', 'Rxe3+'], ['Rf3', 'Re2'], ['Rb3', 'Rxc2'], ['Rxb7', 'Rd2\n'], ['Rxa7', 'Rxd4'], ['Rb7', 'Rd3+'], ['Kf4', 'Rxh3'], ['a4', 'Rh1'], ['a5', 'Ra1'], ['b4', 'h5'], ['Rc7', 'Ra4\n'], ['gxh5', 'gxh5'], ['Kg5', 'h4'], ['Kxh4', 'Rxb4+'], ['Kg5', 'Ra4'], ['Ra7', 'Kf8'], ['Kf6', 'Ke8'], ['Ke6', 'Kd8\n'], ['Kd6', 'Kc8'], ['Kxc6', 'Kb8'], ['Rb7+', 'Ka8'], ['Rd7', 'Rh4'], ['Kb6', 'Rh6+'], ['Kb5', 'Rh5+']]",1/2-1/2
FIDE.COM Trophy Cup,Moscow RUS,2001.03.26,3,"Khalifman,A","Short,N",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'b6'], ['c3', 'Qd7'], ['Nd2', 'c5'], ['Ndf3', 'Ba6'], ['Ne2', 'Nc6'], ['h4', 'O-O-O\n'], ['a3', 'f6'], ['b4', 'fxe5'], ['dxe5', 'Nh6'], ['Bg5', 'Re8'], ['bxc5', 'Bxc5'], ['Ned4', 'Bxf1'], ['Kxf1', 'Rhf8\n'], ['Bxh6', 'gxh6'], ['Qe2', 'Na5'], ['Nd2', 'Kb8'], ['g3', 'Rc8'], ['Kg2', 'Rfe8'], ['N4b3', 'Nxb3'], ['Nxb3', 'Qa4\n'], ['Nxc5', 'Rxc5'], ['Qe3', 'h5'], ['Rhc1', 'Rec8'], ['Qg5', 'Qe4+'], ['Kg1', 'Qg6'], ['Qe3', 'Rc4'], ['Rab1', 'Re4\n'], ['Qd2', 'Rxh4'], ['Rb4', 'Rhc4'], ['a4', 'h4'], ['Kh2', 'hxg3+'], ['fxg3', 'Rg8'], ['Rg1', 'Rxb4'], ['cxb4', 'Qh5+\n'], ['Kg2', 'Qxe5'], ['Qd3', 'Rg4'], ['Rf1', 'Qe4+'], ['Qxe4', 'Rxe4'], ['Rh1', 'Rxb4'], ['Rxh7', 'Rxa4\n'], ['Kf3', 'e5'], ['g4', 'e4+'], ['Kg3', 'Ra3+'], ['Kf4', 'Rf3+'], ['Ke5', 'Rg3'], ['Kxd5', 'Rxg4']]",0-1
Korchnoi Birthday Gp A,Zurich SUI,2001.04.28,1,"Short,N","Kasparov,G",,,B25,"[['e4', 'c5'], ['Nc3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['d3', 'Bg7'], ['f4', 'Nf6'], ['Nf3', 'O-O'], ['O-O', 'Rb8\n'], ['h3', 'b5'], ['a3', 'a5'], ['Be3', 'Nd7'], ['Rb1', 'b4'], ['axb4', 'axb4'], ['Ne2', 'Bb7'], ['g4', 'Ra8'], ['c4', 'e6\n'], ['g5', 'Re8'], ['h4', 'd5'], ['e5', 'Ne7'], ['Ng3', 'Qc7'], ['Bf2', 'Nf5'], ['Rc1', 'Nxg3'], ['Bxg3', 'Red8\n'], ['Qe2', 'Ra2'], ['Bf2', 'Bf8'], ['Nh2', 'dxc4'], ['dxc4', 'Bxg2'], ['Kxg2', 'h5'], ['gxh6', 'Bxh6'], ['Be3', 'Qb7+\n'], ['Kg3', 'f5'], ['Rcd1', 'Re8'], ['Rf2', 'Re7'], ['Nf3', 'Qe4'], ['Qd3', 'Qb7'], ['b3', 'Ra3'], ['Rfd2', 'Ra7\n'], ['Qc2', 'Qa8'], ['Rd6', 'Ra2'], ['Qd3', 'Ra7'], ['Rd2', '']]",1/2-1/2
Korchnoi Birthday Gp A,Zurich SUI,2001.04.28,2,"Unzicker,W","Short,N",,,C03,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Be7'], ['Ngf3', 'Nf6'], ['Bd3', 'c5'], ['exd5', 'Qxd5'], ['dxc5', 'Nbd7'], ['O-O', 'O-O\n'], ['Nb3', 'Nxc5'], ['Nxc5', 'Bxc5'], ['Qe2', 'b6'], ['b3', 'Bb7'], ['Bb2', 'Qh5'], ['Bxf6', 'Bxf3'], ['Qxf3', 'Qxf3\n'], ['gxf3', 'gxf6'], ['c3', 'f5'], ['Rfd1', 'a5'], ['Kf1', 'Kg7'], ['Ke2', 'Kf6'], ['Rg1', 'Ba3'], ['Rad1', 'Rfc8\n'], ['c4', 'a4'], ['Rb1', 'axb3'], ['axb3', 'Bb4'], ['Ra1', 'Bc3'], ['Rxa8', 'Rxa8'], ['Rc1', 'Bb4'], ['Rc2', 'Ke5\n'], ['c5', 'bxc5'], ['Bc4', 'Ra1'], ['Bb5', 'Rb1'], ['Bc4', 'f4'], ['Bb5', 'Rxb3'], ['Ra2', 'Bc3'], ['Bc4', 'Rb1\n'], ['Kd3', 'Bd4'], ['Ra7', 'f5'], ['Rxh7', 'Rd1+'], ['Kc2', 'Rh1'], ['Rh6', 'Bxf2'], ['Kd3', 'Kd6'], ['Rxe6+', 'Kc7\n'], ['Re7+', 'Kd6'], ['Re6+', 'Kd7'], ['Rf6', 'Rxh2']]",1/2-1/2
Korchnoi Birthday Gp A,Zurich SUI,2001.04.28,3,"Short,N","Pelletier,Y",,,C18,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Ne7'], ['a3', 'Bxc3+'], ['bxc3', 'c5'], ['Qg4', 'Nf5'], ['Bd3', 'h5\n'], ['Qf4', 'Qc7'], ['Ne2', 'Ne7'], ['dxc5', 'Nd7'], ['Qg3', 'Qxe5'], ['Bf4', 'h4'], ['Qg4', 'Qh5'], ['Qxh5', 'Rxh5\n'], ['Bd6', 'Ne5'], ['Bxe5', 'Rxe5'], ['g4', 'g5'], ['Kd2', 'Bd7'], ['Nd4', 'f6'], ['Rab1', 'O-O-O'], ['h3', 'Be8\n'], ['Rb2', 'Nc6'], ['Rhb1', 'Na5'], ['Kd1', 'Kc7'], ['Rb4', 'Bc6'], ['Bb5', 'Rb8'], ['f3', 'b6'], ['cxb6+', 'axb6\n'], ['Bxc6', 'Nxc6'], ['Nxc6', 'Kxc6'], ['Kd2', 'f5'], ['a4', 'f4'], ['a5', 'b5'], ['a6', 'Ra8'], ['Rxb5', 'Rxa6\n'], ['Rb8', 'Re3'], ['Rf1', 'Ra3'], ['Rg8', 'Kd6'], ['Rxg5', 'Raxc3'], ['Rh5', 'Rxf3'], ['Rxf3', 'Rxf3'], ['Rxh4', 'Rf2+\n'], ['Kd1', 'Rg2'], ['Ke1', 'Ke5'], ['c3', 'Ke4'], ['Rh6', 'e5'], ['Re6', 'Rg3'], ['Kf2', 'Rxh3'], ['g5', 'Rf3+\n'], ['Ke2', 'Rxc3'], ['g6', 'Rc2+'], ['Kd1', 'Rg2'], ['Rf6', 'Kd3'], ['Ke1', 'Ke3'], ['Kf1', 'f3'], ['Rf5', 'e4\n'], ['Rxd5', 'Rxg6']]",0-1
Korchnoi Birthday Gp A,Zurich SUI,2001.04.28,4,"Short,N","Piket,Je",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['Qb3', 'Qf6'], ['O-O', 'Bb6\n'], ['e5', 'Qg6'], ['cxd4', 'Na5'], ['Qa4', 'Nxc4'], ['Qxc4', 'Ne7'], ['Ba3', 'Qe6'], ['d5', 'Qxd5'], ['Qe2', 'Ng6\n'], ['Nc3', 'Nf4'], ['Qb2', 'Qd3'], ['Rae1', 'Qg6'], ['Nh4', 'Qg4'], ['g3', 'Nd3'], ['Qc2', 'Nxe1'], ['Rxe1', 'Kd8\n'], ['Nd5', 'Re8'], ['Re4', 'Qe6'], ['Nf4', 'Qc6'], ['Rc4', 'Qb5'], ['Nf3', 'd5'], ['exd6', 'Bf5'], ['dxc7+', 'Kc8\n'], ['Qc1', 'Qb1'], ['Ng5', 'Re1+']]",0-1
Korchnoi Birthday Gp A,Zurich SUI,2001.04.28,5,"Forster,R","Short,N",,,A10,"[['c4', 'b6'], ['b3', 'Bb7'], ['Bb2', 'c5'], ['e3', 'e6'], ['f4', 'Nf6'], ['Nf3', 'd5'], ['cxd5', 'exd5'], ['Bb5+', 'Nc6\n'], ['Ne5', 'Rc8'], ['g4', 'Nd7'], ['O-O', 'Ndxe5'], ['Bxe5', 'a6'], ['Bxc6+', 'Rxc6'], ['f5', 'h5'], ['Nc3', 'hxg4\n'], ['Qxg4', 'Rch6'], ['d4', 'R8h7'], ['Rf2', 'Bd6'], ['Re1', 'Bxe5'], ['dxe5', 'Rh4'], ['Qg3', 'd4'], ['exd4', 'cxd4\n'], ['f6', 'Rh3'], ['Qg5', 'dxc3'], ['e6', 'g6'], ['exf7+', 'Kxf7'], ['Qe5', 'Bf3'], ['Qe7+', 'Qxe7'], ['Rxe7+', 'Kf8\n'], ['Rxh7', 'Rxh7'], ['Rxf3', 'Rc7'], ['Rf1', 'c2'], ['Rc1', 'Kf7'], ['Kf2', 'Kxf6'], ['Ke3', 'Kg5'], ['Kd2', '']]",0-1
Korchnoi Birthday KO,Zurich SUI,2001.04.29,1.1,"Spassky,B","Short,N",,,E31,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Bg5', 'c5'], ['d5', 'h6'], ['Bh4', 'd6'], ['e3', 'Bxc3+'], ['bxc3', 'e5\n'], ['Nf3', 'Bf5'], ['Nd2', 'g5'], ['Bg3', 'Nbd7'], ['f3', 'Bg6'], ['e4', 'Qe7'], ['a4', 'Nh5'], ['Bf2', 'a5'], ['Qb1', 'b6\n'], ['g3', 'O-O'], ['Bd3', 'Ng7'], ['g4', 'h5'], ['h4', 'f6'], ['Nf1', 'Kf7'], ['Ne3', 'Rh8'], ['Kd2', 'Rh6'], ['Nf5', 'Bxf5\n'], ['gxf5', 'Rg8'], ['Be3', 'Ne8'], ['Qb5', 'Rh7'], ['Rag1', 'gxh4'], ['Qb1', 'Kf8'], ['Rxh4', 'Rxg1'], ['Qxg1', 'Qf7\n'], ['Be2', 'Ke7'], ['Bf2', 'Ng7'], ['Rh2', 'Ne8'], ['Rg2', 'Rg7'], ['Be3', 'Rxg2'], ['Qxg2', 'Qh7'], ['Ke1', 'Kf7\n'], ['Kf2', 'Ng7'], ['Qh3', 'Nf8'], ['Qh4', 'Nd7'], ['Kg1', 'Ke7'], ['Kh2', 'Kf7'], ['Qe1', 'Ke7'], ['Qb1', 'Qh8\n'], ['Qb5', 'Qh7'], ['Qb1', 'Ne8'], ['Qc1', 'Ng7'], ['Qg1', 'Kf7'], ['Kh3', 'Ne8'], ['Kh4', 'Ng7'], ['Bf1', 'Nf8\n'], ['Bh3', 'Nd7'], ['Qg6+', 'Kg8'], ['Bh6', 'Qxg6'], ['fxg6', 'Nf8'], ['Bf5', 'Nxf5+'], ['exf5', 'Nd7'], ['Kxh5', 'e4\n'], ['fxe4', 'Ne5'], ['Bf4', 'Nxc4'], ['Kh6', '']]",1-0
Korchnoi Birthday KO,Zurich SUI,2001.04.29,1.3,"Short,N","Spassky,B",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Be3', 'c6'], ['Qd2', 'd5'], ['e5', 'h5'], ['c3', 'Nh6'], ['Na3', 'c5'], ['dxc5', 'Nc6'], ['f4', 'Ng4\n'], ['Bd4', 'O-O'], ['Nf3', 'f6'], ['exf6', 'Nxf6'], ['Bxf6', 'Rxf6'], ['Bb5', 'Bh6'], ['g3', 'e5'], ['Bxc6', 'bxc6\n'], ['Nxe5', 'Bh3'], ['O-O-O', 'Rb8'], ['Qd4', 'Re6'], ['Nc2', 'Bg7'], ['Rhe1', 'Qc7'], ['Re3', 'Bf5'], ['Rde1', 'Qa5\n'], ['a3', 'Qb5'], ['Qb4', 'Bf8'], ['Qxb5', 'cxb5'], ['b4', 'Be4'], ['Nd4', 'Ree8'], ['Nd7', '']]",1-0
Korchnoi Birthday KO,Zurich SUI,2001.04.29,1.4,"Spassky,B","Short,N",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Bg4'], ['c4', 'Nf6'], ['Nc3', 'Bb4'], ['h3', 'Bh5'], ['g4', 'Bg6\n'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Ne5', 'c6'], ['Bg5', 'Nbd7'], ['Nxc4', 'Re8'], ['Qb3', 'Bxc3'], ['bxc3', 'Qc7\n'], ['Rfe1', 'Be4'], ['Bxf6', 'Nxf6'], ['Ne5', 'Bxg2'], ['Kxg2', 'Nd5'], ['Nd3', 'b5'], ['c4', 'bxc4'], ['Qxc4', 'Qd6']]",1/2-1/2
Korchnoi Birthday KO,Zurich SUI,2001.04.29,1.2,"Short,N","Spassky,B",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'g6'], ['c4', 'Bg7'], ['Nc3', 'Nh6'], ['h3', 'O-O'], ['Nf3', 'f6'], ['Be2', 'Nf7'], ['exf6', 'exf6\n'], ['O-O', 'Be6'], ['Qb3', 'Qd7'], ['Re1', 'Nd6'], ['c5', 'Nf5'], ['Bf4', 'g5'], ['Bh2', 'h5'], ['Bd3', 'g4\n'], ['hxg4', 'hxg4'], ['Bxf5', 'Bxf5'], ['Nh4', 'Bh7'], ['Bd6', 'Rf7'], ['Re2', 'Na6'], ['Rae1', 'Bf8'], ['Bxf8', 'Raxf8\n'], ['g3', 'b6'], ['cxb6', 'Qb7'], ['Qd1', 'axb6'], ['Re6', 'Rg7'], ['a3', 'Qd7'], ['R6e3', 'Nc7'], ['Qb3', 'b5\n'], ['Qb4', 'Re8'], ['a4', 'Rxe3'], ['Rxe3', 'Ne6'], ['axb5', 'c5'], ['dxc5', 'd4'], ['c6', 'Qc8'], ['Rxe6', 'Qxe6\n'], ['Qxd4', 'Re7'], ['c7', 'Kf7'], ['b6', 'Rd7'], ['Qe3', 'Qc6'], ['Qh6', 'Kg8'], ['Ng6', 'Rf7'], ['Nd5', '']]",1-0
Korchnoi Birthday KO,Zurich SUI,2001.04.29,2.1,"Kasparov,G","Short,N",,,C05,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nf6'], ['e5', 'Nfd7'], ['c3', 'b6'], ['Bb5', 'Be7'], ['O-O', 'O-O\n'], ['Re1', 'a5'], ['Nf1', 'Ba6'], ['a4', 'Bxb5'], ['axb5', 'Re8'], ['Ng3', 'Nf8'], ['Nh5', 'Nbd7'], ['g3', 'Ng6\n'], ['h4', 'Ndf8'], ['Kg2', 'Qd7'], ['Bh6', 'gxh6'], ['Qd2', 'f5'], ['exf6', 'Bd8'], ['Qxh6', 'Ra7'], ['Ng5', 'Qxb5\n'], ['f7+', 'Rxf7'], ['Nxf7', '']]",1-0
Korchnoi Birthday KO,Zurich SUI,2001.04.29,2.2,"Short,N","Kasparov,G",,,B50,"[['e4', 'c5'], ['Nf3', 'd6'], ['c3', 'Nf6'], ['Bd3', 'Nc6'], ['Bc2', 'Bg4'], ['d3', 'e6'], ['Nbd2', 'Be7'], ['Nf1', 'd5\n'], ['Qe2', 'c4'], ['exd5', 'cxd3'], ['Bxd3', 'Nxd5'], ['h3', 'Bxf3'], ['Qxf3', 'Qa5'], ['Be4', 'O-O'], ['Nd2', 'f5\n'], ['Bxd5', 'Qxd5'], ['Qxd5', 'exd5'], ['Nf3', 'Bf6'], ['O-O', 'd4'], ['c4', 'd3'], ['Rb1', 'Rad8'], ['Be3', 'Rfe8\n'], ['Rfd1', 'Re4'], ['Nd2', 'Re7'], ['Nb3', 'g5'], ['Kf1', '']]",1/2-1/2
