Bankia op,Bankia,1989.??.??,2,"Golod, Vitali","Shulman, Yuri",,,A41,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['e4', 'Nf6'], ['Nc3', 'e6'], ['Be2', 'd5'], ['Bg5', 'Be7'], ['exd5', 'exd5'], ['Ne5', 'Be6\n'], ['O-O', 'O-O'], ['Bd3', 'Nc6'], ['Nxc6', 'bxc6'], ['Na4', 'h6'], ['Bh4', 'Nd7'], ['Bxe7', 'Qxe7'], ['Re1', 'c5\n'], ['Bb5', 'cxd4'], ['Bxd7', 'Qxd7'], ['Qxd4', 'Rfe8'], ['Nc5', 'Qc6'], ['Re5', 'f6'], ['Re2', 'Bf7'], ['Rae1', 'Rxe2\n'], ['Rxe2', 'Re8'], ['Re3', 'Rxe3'], ['Qxe3', 'Qd6'], ['c3', 'Bg6'], ['b4', 'Kf7'], ['f3', 'Qe7']]",1-0
ch-USA GpB,San Diego USA,2006.03.06,4,"Shulman,Y","Shabalov,A",,,A63,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'c5'], ['d5', 'exd5'], ['cxd5', 'g6'], ['Nc3', 'd6'], ['h3', 'a6'], ['a4', 'Qe7'], ['g3', 'Bg7\n'], ['Bg2', 'O-O'], ['O-O', 'Nbd7'], ['Bf4', 'Nh5'], ['Bg5', 'f6'], ['Bd2', 'f5'], ['Ng5', 'f4'], ['Ne6', 'fxg3\n'], ['f4', 'Rf7'], ['e4', 'Bd4+'], ['Kh1', 'Ndf6'], ['f5', 'Ng7'], ['Bg5', 'Be5'], ['Qb3', 'Qe8'], ['Ne2', 'Nxe4\n'], ['Bxe4', 'gxf5'], ['Bg2', 'Nxe6'], ['dxe6', 'Bxe6'], ['Qc2', 'Rg7'], ['Bh6', 'Rg6'], ['Be3', 'Qf7'], ['Nf4', 'Bb3\n'], ['Qd2', 'Rg7'], ['Nd3', 'Re8'], ['Rae1', 'Bc4'], ['Bf4', 'Qf6'], ['Rf3', 'Ree7'], ['Nxe5', 'dxe5'], ['Bh6', 'Rg6\n'], ['Qd8+', 'Kf7'], ['Qf8+', 'Ke6'], ['Qc8+', 'Rd7'], ['Rfe3', '']]",1-0
ch-USA GpB,San Diego USA,2006.03.07,5,"Ivanov,AV USA","Shulman,Y",,,C03,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'a6'], ['Bd3', 'c5'], ['dxc5', 'Nf6'], ['exd5', 'Qxd5'], ['Ngf3', 'Bxc5'], ['Qe2', 'Nbd7\n'], ['c4', 'Qh5'], ['a3', 'a5'], ['Ne4', 'Nxe4'], ['Bxe4', 'Nf6'], ['Bc2', 'Bd7'], ['Bf4', 'Qg4'], ['Bg3', 'Bc6\n'], ['h3', 'Qh5'], ['O-O-O', 'O-O'], ['Bf4', 'Bxf3'], ['gxf3', 'Rfd8'], ['Rdg1', 'Bd4'], ['h4', 'Qc5'], ['Rg5', 'Bxb2+\n'], ['Kxb2', 'Qd4+'], ['Kb1', 'Qxf4'], ['Rhg1', 'g6'], ['h5', 'Ra6'], ['hxg6', 'Rb6+'], ['Rb5', 'Rxb5+'], ['cxb5', 'hxg6\n'], ['Qe3', 'Qc4'], ['Qe5', 'Kg7'], ['Rg4', 'Qf1+'], ['Ka2', 'Qxf2'], ['Rc4', 'Rd5'], ['Qc3', 'Rxb5'], ['f4', 'b6\n'], ['a4', 'Rb4'], ['Ka3', 'Rxc4'], ['Qxc4', 'Nd5'], ['Be4', 'Qc5+']]",0-1
ch-USA GpB,San Diego USA,2006.03.08,6,"Christiansen,L","Shulman,Y",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nc6'], ['exd5', 'exd5'], ['Bb5', 'Bd6'], ['dxc5', 'Bxc5'], ['Nb3', 'Bd6\n'], ['Qd4', 'Nf6'], ['O-O', 'O-O'], ['Bxc6', 'bxc6'], ['Bg5', 'h6'], ['Bh4', 'Bf5'], ['c3', 'Re8'], ['Rfe1', 'Be4\n'], ['Nc5', 'Bxf3'], ['gxf3', 'Bxc5'], ['Qxc5', 'Qb6'], ['Qxb6', 'axb6'], ['Bxf6', 'Rxe1+'], ['Rxe1', 'gxf6\n'], ['a3', 'Kf8'], ['Kg2', 'Ra4'], ['Kg3', 'Rc4'], ['Re3', 'Ra4'], ['f4', 'f5'], ['f3', 'Kg7'], ['Re5', 'd4'], ['cxd4', 'Rxd4\n'], ['Re3', 'Rd2']]",1/2-1/2
ch-USA GpB,San Diego USA,2006.03.09,7,"Shulman,Y","Kaidanov,G",,,D44,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['Bg5', 'dxc4'], ['e4', 'b5'], ['e5', 'h6'], ['Bh4', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Nbd7'], ['g3', 'Bb7'], ['Bg2', 'Qb6'], ['exf6', 'c5'], ['d5', 'O-O-O'], ['O-O', 'b4'], ['Rb1', 'Qa6\n'], ['dxe6', 'Bxg2'], ['e7', 'Bxf1'], ['Kxf1', 'Bxe7'], ['fxe7', 'Rdg8'], ['Ne4', 'Qc6'], ['Nd6+', 'Kb8\n'], ['Bf4', 'Ka8'], ['e8=Q+', 'Rxe8'], ['Nxe8', 'Rxe8'], ['Kg1', 'Nf6'], ['Rc1', 'Re4'], ['Qd8+', 'Kb7'], ['Qf8', 'Nd5\n'], ['Qxf7+', 'Re7'], ['Qf8', 'Re8'], ['Qf7+', 'Re7'], ['Qf8', 'Re8'], ['Qf7+', 'Ka6'], ['Bd2', 'Re2'], ['Rd1', 'c3\n'], ['bxc3', 'bxc3'], ['Bg5', 'c2'], ['Rf1', 'Re4'], ['Qf3', 'Qa4'], ['h4', 'Qc4'], ['h5', 'Rg4'], ['Qf5', 'Nc3\n'], ['h6', 'Ne2+'], ['Kg2', 'Rxg5'], ['Qxg5', 'c1=Q'], ['Rxc1', 'Nxc1'], ['Qg6+', 'Ka5'], ['h7', 'Qd5+'], ['Kh2', 'Qd4\n'], ['Qf7', 'Qe5'], ['Qxa7+', 'Kb4'], ['Qb7+', 'Kc3'], ['Qc8', '']]",1-0
ch-USA GpB,San Diego USA,2006.03.10,8,"Shulman,Y","Kamsky,G",,,D17,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bf5'], ['Ne5', 'g6'], ['e3', 'Nbd7'], ['Nxd7', 'Qxd7\n'], ['Bxc4', 'Bg7'], ['O-O', 'O-O'], ['Qe2', 'Nd5'], ['h3', 'Nb6'], ['Bb3', 'Be6'], ['Bxe6', 'Qxe6'], ['a5', 'Nc4\n'], ['Qc2', 'c5'], ['dxc5', 'Rfc8'], ['Ne4', 'Nd6'], ['Ra4', 'Nxe4'], ['Qxe4', 'Rxc5'], ['Qxb7', 'Qc8'], ['Qxc8+', 'Raxc8\n'], ['Bd2', 'Bxb2'], ['Rb1', 'Rc2'], ['Ra2', 'Rxd2'], ['Raxb2', 'Rxb2'], ['Rxb2', 'Rc5'], ['Rb7', 'Rxa5\n'], ['Rxe7', 'h5'], ['g3', 'Ra2'], ['Kg2', 'Kg7'], ['g4', 'h4'], ['g5', 'Ra5'], ['f4', 'Ra1'], ['Kf3', 'Rg1'], ['Rxa7', '']]",1/2-1/2
ch-USA GpB,San Diego USA,2006.03.11,9,"Fishbein,A","Shulman,Y",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nc6'], ['Bb5', 'Bd6'], ['dxc5', 'Bxc5'], ['O-O', 'Ne7\n'], ['Nb3', 'Bd6'], ['c3', 'Bg4'], ['Be2', 'O-O'], ['Be3', 'Re8'], ['h3', 'Bh5'], ['Re1', 'Bg6'], ['Bd3', 'Qc7\n'], ['Bxg6', 'hxg6'], ['Qd3', 'Rad8'], ['Nbd4', 'a6'], ['Nxc6', 'Nxc6'], ['Bg5', 'Be7'], ['Bxe7', 'Rxe7\n'], ['Rxe7', 'Qxe7'], ['Re1', 'Qf6'], ['h4', 'Qf5'], ['Qe3', 'Qd7'], ['Rd1', 'f6'], ['g3', 'Kf7'], ['Kg2', 'Qe6\n'], ['Qb6', 'Rd7'], ['Re1', 'Qd6'], ['Nd4', 'Ne5'], ['Qb3', 'Nc6'], ['Rd1', 'Ne5'], ['Qc2', 'Rd8'], ['h5', 'gxh5\n'], ['Qh7', 'Qf8'], ['Qxh5+', 'Ng6'], ['Re1', 'Qh8'], ['Qg4', 'Rd6'], ['Nf5', 'Rb6'], ['Nh6+', 'Qxh6'], ['Qd7+', 'Ne7\n'], ['Qxe7+', 'Kg6'], ['Qe8+', 'Kf5'], ['g4+', 'Kxg4'], ['Qe2+', 'Kf5'], ['Qd3+', 'Kg4'], ['Qf3+', 'Kg5\n'], ['Qe3+', 'Kg4'], ['Qxb6', '']]",1-0
ch-USA Final,San Diego USA,2006.03.12,1,"Onischuk,Al","Shulman,Y",,,D31,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c6'], ['e4', 'Bb4'], ['cxd5', 'exd5'], ['e5', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'Ne7\n'], ['Nf3', 'Nbc6'], ['Be2', 'O-O'], ['O-O', 'Bf5'], ['Nh4', 'cxd4'], ['cxd4', 'Be4'], ['f3', 'Ng6'], ['Nxg6', 'Bxg6\n'], ['Be3', 'Qb6'], ['f4', 'Be4'], ['Rc1', 'Na5'], ['f5', 'Rac8'], ['f6', 'Nc4'], ['Bxc4', 'Rxc4'], ['Qg4', 'Bg6\n'], ['fxg7', 'Re8'], ['h4', 'Qe6'], ['Qg5', 'Qe7'], ['Qxe7', 'Rxe7'], ['Bh6', 'Re6'], ['Rxc4', 'dxc4'], ['Rf6', 'b5\n'], ['d5', 'Rxe5'], ['Rc6', 'Bf5'], ['d6', 'Rd5'], ['Kf2', 'Bd7'], ['Ra6', 'Bc8'], ['Rc6', 'Bd7'], ['Ra6', 'Bc8\n'], ['Rxa7', 'Rxd6'], ['Bf4', 'Rc6'], ['Be5', 'c3'], ['Re7', 'f6'], ['Bf4', 'Re6'], ['Rc7', 'Re8'], ['Bh6', 'Be6\n'], ['Rxc3', 'Kf7'], ['h5', 'Bc4'], ['g4', 'Re4'], ['Kg3', 'Rd4'], ['g5', 'Rd3+'], ['Rxd3', 'Bxd3'], ['gxf6', 'Be2\n'], ['Kh4', 'Bc4'], ['Bg5', 'Be2'], ['Be3', 'Bc4'], ['Kg5', 'Bb3'], ['Kf5', 'Bd1'], ['h6', 'Bb3'], ['Ke5', 'Bc2\n'], ['Kd4', 'Bd1'], ['Kd5', 'Bb3+'], ['Kc5', 'Ba4'], ['Bd2', 'Kg8'], ['Bc3', 'Kf7'], ['Bb2', 'Kg8'], ['Bd4', 'Kf7\n'], ['Kb4', 'Kg8']]",1/2-1/2
ch-USA Final,San Diego USA,2006.03.12,2,"Shulman,Y","Onischuk,Al",,,D38,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'Bb4'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['e3', 'O-O'], ['Rc1', 'dxc4\n'], ['Bxc4', 'c5'], ['O-O', 'cxd4'], ['exd4', 'Rd8'], ['Ne4', 'Qf4'], ['Qe2', 'Nc6'], ['g3', 'Qc7'], ['Rfd1', 'Bd7\n'], ['a3', 'Bf8'], ['b4', 'a6'], ['Ba2', 'Be8'], ['Bb1', 'Qe7'], ['h4', 'g6'], ['h5', 'gxh5'], ['Nc5', 'Bg7'], ['Qe4', 'Rd6\n'], ['Qh7+', 'Kf8'], ['d5', 'Rad8'], ['Ba2', 'exd5'], ['Nh4', 'Nd4'], ['Rxd4', 'Bxd4'], ['Nf5', 'Qg5'], ['Re1', 'Qd2\n'], ['Re3', 'Rg6'], ['Nxd4', 'Qxd4'], ['Bb1', 'Rdd6'], ['Bxg6', 'Rxg6'], ['Nd3', 'Qg7'], ['Qxg7+', 'Rxg7\n'], ['Nc5', 'Bc6'], ['a4', 'Rg4'], ['b5', 'axb5'], ['axb5', 'Bxb5'], ['Nxb7', 'd4'], ['Re5', 'Rg5'], ['Rxg5', 'hxg5\n'], ['Nd6', 'Bd3'], ['Nb7', 'Ke7'], ['Nc5', 'Bc2'], ['f3', 'Kd6']]",0-1
Foxwoods Open,Ledyards USA,2006.04.12,1,"Shulman,Y","Bisguier,A",,,D43,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['Nc3', 'c6'], ['Bg5', 'h6'], ['Bh4', 'dxc4'], ['e4', 'g5'], ['Bg3', 'b5'], ['Be2', 'b4\n'], ['Na4', 'Nxe4'], ['Be5', 'Nf6'], ['Nc5', 'Bxc5'], ['dxc5', 'Qxd1+'], ['Rxd1', 'Nbd7'], ['Rxd7', 'Bxd7\n'], ['Bxf6', 'Rg8'], ['Ne5', '']]",1-0
Foxwoods Open,Ledyards USA,2006.04.13,2,"Lein,A","Shulman,Y",,,A40,"[['d4', 'e6'], ['c4', 'b5'], ['Nc3', 'Bb7'], ['Nf3', 'Bb4'], ['Bg5', 'Ne7'], ['Rc1', 'h6'], ['Bd2', 'Bxf3'], ['gxf3', 'Nf5\n'], ['e3', 'O-O'], ['f4', 'Nc6'], ['Qg4', 'Nce7'], ['d5', 'c6'], ['dxc6', 'dxc6'], ['a3', 'Bxc3'], ['Bxc3', 'Ng6\n'], ['Rd1', 'Qe7'], ['Bd3', 'Rad8'], ['Ke2', 'Nfh4'], ['Bxg6', 'fxg6'], ['Rxd8', 'Rxd8'], ['Rd1', 'Rxd1\n'], ['Kxd1', 'Kf7'], ['Ke2', 'Nf5'], ['Bb4', 'Qd7'], ['Qg2', 'c5'], ['Bc3', 'Nd6'], ['Qa8', 'Nxc4'], ['Qh8', 'e5\n'], ['fxe5', 'Qg4+'], ['Kd3', 'Nxe5+'], ['Kd2', 'Qf5']]",0-1
Foxwoods Open,Ledyards USA,2006.04.14,4,"Duncan,J","Shulman,Y",,,A08,"[['e4', 'c5'], ['Nf3', 'e6'], ['d3', 'Nc6'], ['g3', 'Nge7'], ['Bg2', 'g6'], ['O-O', 'Bg7'], ['c3', 'd5'], ['Nbd2', 'b6\n'], ['Re1', 'a5'], ['Nf1', 'h6'], ['h4', 'd4'], ['c4', 'e5'], ['N3h2', 'Be6'], ['f4', 'Qd7'], ['Qf3', 'a4'], ['Re2', 'O-O\n'], ['f5', 'gxf5'], ['exf5', 'Bxf5'], ['g4', 'Bg6'], ['Ng3', 'Nb4'], ['Ne4', 'f5'], ['gxf5', 'Nxf5'], ['Qh3', 'Qe8\n'], ['a3', 'Nc6'], ['Rf2', 'Na5'], ['h5', 'Bh7'], ['Bd2', 'Nb3'], ['Raf1', 'Qc8'], ['Ng4', 'Rb8'], ['Nxh6+', 'Nxh6\n'], ['Rxf8+', 'Bxf8'], ['Qg3+', 'Ng4'], ['Bh3', 'Nxd2'], ['Nxd2', 'Kh8'], ['Bxg4', 'Qc7'], ['Ne4', 'Bh6\n'], ['Qh4', 'Qg7'], ['Kh1', 'Bf4'], ['Bh3', 'Rf8'], ['Rg1', 'Qf7'], ['Rg6', 'Be3'], ['Bg2', 'Qf4'], ['Rg4', 'Qh6\n'], ['Qe7', 'Bf4'], ['Rh4', 'Bxe4'], ['Bxe4', 'Bg3']]",0-1
Foxwoods Open,Ledyards USA,2006.04.15,6,"Shulman,Y","Van Wely,L",,,D39,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'dxc4'], ['e4', 'Bb4'], ['Bg5', 'c5'], ['e5', 'cxd4'], ['Nxd4', 'Bxc3+\n'], ['bxc3', 'Qa5'], ['exf6', 'Qxg5'], ['fxg7', 'Qxg7'], ['Qd2', 'O-O'], ['Bxc4', 'Rd8'], ['Qe3', 'Bd7'], ['O-O', 'Nc6\n'], ['Nf3', 'Ne7'], ['Ne5', 'Ng6'], ['f4', 'Nxe5'], ['fxe5', 'Bc6'], ['g3', 'Rd7'], ['Rf4', 'Kh8'], ['Raf1', 'Rad8\n'], ['Be2', 'Qg5'], ['h4', 'Qh6'], ['Qf2', 'Rd2'], ['Rxf7', 'Rg8'], ['Rf4', 'Rxa2'], ['Qe3', 'Qg6'], ['g4', 'Qh5\n'], ['Qf2', 'Rxe2'], ['Qxe2', 'Qxh4'], ['Qh2', 'Rxg4+'], ['Rxg4', 'Qxg4+'], ['Kf2', 'Qf3+'], ['Kg1', 'Qg4+\n'], ['Kf2', 'Qf3+'], ['Kg1', 'Qe3+'], ['Qf2', 'Qg5+'], ['Kh2', 'Qxe5+'], ['Qg3', 'Qxg3+'], ['Kxg3', 'Kg7\n'], ['Kf4', 'Kf6'], ['Ke3+', 'Ke5'], ['c4', 'Kd6'], ['Rf7', 'Kc5'], ['Kd3', 'Kb4'], ['Rxh7', 'e5'], ['Rh5', 'e4+\n'], ['Kd4', 'a5'], ['Rh1', 'Kb3'], ['Rh3+', 'Kc2'], ['Rh2+', 'Kd1'], ['Rh1+', 'Ke2'], ['Rh2+', 'Ke1'], ['Rh1+', 'Kf2\n'], ['Rh2+', 'Kg1'], ['Rh8', 'a4'], ['Ke3', 'Kg2'], ['Rg8+', 'Kh3'], ['Rg1', 'Kh4'], ['Kf4', 'Kh5'], ['Rg5+', 'Kh4']]",1/2-1/2
Foxwoods Open,Ledyards USA,2006.04.15,7,"Golod,V","Shulman,Y",,,D46,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'Nf6'], ['Nc3', 'c6'], ['e3', 'Nbd7'], ['Qc2', 'Bd6'], ['Bd3', 'O-O'], ['O-O', 'dxc4\n'], ['Bxc4', 'a6'], ['Rd1', 'b5'], ['Be2', 'Qc7'], ['Ne4', 'Nxe4'], ['Qxe4', 'e5'], ['Qh4', 'Re8'], ['dxe5', 'Nxe5\n'], ['Bd2', '']]",1/2-1/2
Foxwoods Open,Ledyards USA,2006.04.16,8,"Shulman,Y","Shabalov,A",,,D15,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'a6'], ['a4', 'e6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Qb3', 'Nd7\n'], ['e4', 'dxe4'], ['Nxe4', 'Qf5'], ['Bd3', 'Qa5+'], ['Nc3', 'Be7'], ['O-O', 'O-O'], ['Rfe1', 'Rd8'], ['Qc2', 'Nf6\n'], ['c5', 'Qc7'], ['a5', 'Bd7'], ['Na4', 'Be8'], ['Nb6', 'Rab8'], ['Rad1', 'Nh5'], ['Bc4', 'Bf6'], ['Ba2', 'g6\n'], ['Nc4', 'Ng7'], ['Qc3', 'Nf5'], ['Bb1', 'Rd5'], ['Nb6', 'Rdd8'], ['Bxf5', 'exf5'], ['Ne5', 'Bg7'], ['d5', 'cxd5\n'], ['Nxd5', 'Rxd5'], ['Rxd5', 'Bc6'], ['Rd6', 'Be4'], ['f4', 'g5'], ['Qc4', 'Rc8'], ['b4', 'gxf4'], ['Red1', 'Qe7\n'], ['Nf3', 'Rc7'], ['Kh1', 'Kh7'], ['Qc1', 'Be5'], ['Rd8', 'Qe6'], ['Qd2', 'Re7'], ['Qe2', 'Kg7'], ['Qf2', 'Qf6\n'], ['Nxe5', 'Qxe5'], ['Kg1', 'Bc6'], ['R8d4', 'f3'], ['gxf3', 'Kh7'], ['f4', 'Qe6'], ['h3', 'Qb3'], ['R4d3', 'Qxb4\n'], ['Qd4', 'Re4'], ['Qxb4', 'Rxb4'], ['Rg3', 'Rxf4'], ['Rd8', 'h5'], ['Rdg8', 'h4'], ['R3g7+', 'Kh6'], ['Rxf7', 'Rf3\n'], ['Rf6+', 'Kh5'], ['Rfg6', 'Rxh3'], ['Rg5+', 'Kh6'], ['R5g6+', 'Kh7'], ['R6g7+', 'Kh6'], ['Rg6+', 'Kh5']]",1/2-1/2
Spring NAm GMA,Schaumburg USA,2006.04.18,1,"Smetankin,S","Shulman,Y",,,C06,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['c3', 'c5'], ['Bd3', 'Nc6'], ['Ngf3', 'a5'], ['a3', 'a4'], ['Nf1', 'Qa5\n'], ['Qd2', 'b6'], ['Ng3', 'cxd4'], ['cxd4', 'Nb4'], ['Bb1', 'Ba6'], ['Kd1', 'Nc6'], ['Qf4', 'h6'], ['Bd2', 'Qb5\n'], ['Bc3', 'Na5'], ['Bc2', 'Rc8'], ['Nd2', 'Be7'], ['Qe3', 'Nc4'], ['Nxc4', 'Qxc4'], ['Nh5', 'g6'], ['Nf4', 'Bg5\n'], ['h4', 'Bxf4'], ['Qxf4', 'Nc5'], ['Qe3', 'Nb3'], ['Bxb3', 'Qxb3+'], ['Ke1', 'Qc2'], ['Rc1', 'Qd3']]",1/2-1/2
Spring NAm GMA,Schaumburg USA,2006.04.18,2,"Shulman,Y","Mitkov,N",,,E46,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Ne2', 'Re8'], ['a3', 'Bf8'], ['e4', 'd5'], ['e5', 'Nfd7\n'], ['cxd5', 'exd5'], ['Be3', 'c5'], ['f4', 'Nb6'], ['dxc5', 'Nc4'], ['Bf2', 'Nxb2'], ['Qd2', 'Nc4'], ['Qxd5', 'Na5\n'], ['Nd4', 'Nbc6'], ['Nxc6', 'Nxc6'], ['Qxd8', 'Rxd8'], ['Nb5', 'b6'], ['Nd6', 'bxc5'], ['Bxc5', 'Na5'], ['Rb1', 'Be6\n'], ['Ba6', 'Nb3'], ['Bb4', 'Rab8'], ['Kf2', 'Rb6'], ['Be2', 'a5'], ['Bxa5', 'Rbxd6'], ['Rxb3', 'Bxb3'], ['exd6', 'Rxd6\n'], ['Rb1', 'Ba4'], ['Rb8', 'Re6'], ['Bb4', 'Re8'], ['Rxe8', 'Bxe8'], ['Ke3', 'g6'], ['Bxf8', 'Kxf8'], ['Kd4', 'Bc6\n'], ['Bf3', 'Bd7'], ['Kc5', 'Ke7'], ['Bc6', 'Bc8'], ['a4', 'Kd8'], ['Kb6', 'Bf5'], ['a5', 'Bd3'], ['Bb5', 'Be4\n'], ['a6', 'Bxg2'], ['a7', '']]",1-0
Spring NAm GMA,Schaumburg USA,2006.04.19,3,"Zatonskih,A","Shulman,Y",,,B22,"[['e4', 'c5'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['cxd4', 'd6'], ['Bc4', 'Nc6'], ['O-O', 'Be7\n'], ['Qe2', 'O-O'], ['Rd1', 'Bd7'], ['Bd2', 'Qb6'], ['Nc3', 'Nxc3'], ['Bxc3', 'Nb4'], ['exd6', 'Qxd6'], ['Ne5', 'Nd5\n'], ['Bd2', 'Bf6'], ['Bd3', 'Rac8'], ['h4', 'Bc6'], ['Bg5', 'Bxg5'], ['hxg5', 'Nf4'], ['Qg4', 'Nxd3'], ['Rxd3', 'Bd5\n'], ['Rh3', 'Qe7'], ['Qh5', 'h6'], ['gxh6', 'g6'], ['h7+', 'Kh8'], ['Qxg6', 'f6'], ['Nd3', 'Bc4'], ['Nf4', 'e5\n'], ['Qe4', 'Bf7'], ['Re1', 'Rc4'], ['b3', 'Rb4'], ['Nd3', 'Rb5'], ['dxe5', 'Bd5'], ['Qd4', 'Be6'], ['Nf4', 'Bf5\n'], ['Rhe3', 'Bxh7'], ['e6', 'Rd8'], ['Qb2', 'Rg5'], ['Rf3', 'Rdg8'], ['g3', 'Rd8'], ['Ng2', 'Kg7'], ['Rfe3', 'Rgd5\n'], ['Qe2', 'Rg5'], ['Rd1', 'Rxd1+'], ['Qxd1', 'Rc5'], ['Nf4', 'Bf5'], ['Qd4', 'Rc1+'], ['Kg2', 'Kf8'], ['Nd5', 'Bh3+']]",1-0
Spring NAm GMA,Schaumburg USA,2006.04.19,4,"Shulman,Y","Mikhalevski,V",,,D80,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bg5', 'Ne4'], ['Bh4', 'Nxc3'], ['bxc3', 'dxc4'], ['e3', 'Be6'], ['Qb1', 'b6\n'], ['Nh3', 'Bh6'], ['Bg5', 'Bxg5'], ['Nxg5', 'Qd5'], ['Nxe6', 'Qxe6'], ['Qb5+', 'c6'], ['Qxc4', 'Qxc4'], ['Bxc4', 'Nd7\n'], ['a4', 'Rc8'], ['Ke2', 'e6'], ['h4', 'Ke7'], ['Rhb1', 'Rc7'], ['Bd3', 'c5'], ['a5', 'Rb8'], ['axb6', 'Rxb6\n'], ['Rxb6', 'Nxb6'], ['dxc5', 'Nd7'], ['c6', 'Nc5'], ['Bb5', 'Ne4'], ['Ra3', 'Kd6'], ['f3', 'Kc5'], ['Ba4', 'Nd6\n'], ['Rb3', 'a6'], ['Kd3', 'Rc8'], ['c4', 'f5'], ['Rc3', 'e5'], ['Rc1', 'e4+'], ['Kc3', 'h5'], ['f4', 'Rb8'], ['Bb3', 'Kxc6\n'], ['Rd1', 'Nb7'], ['Ba4+', 'Kb6'], ['Rd7', 'Nc5'], ['Rd6+', 'Ka5'], ['Bc2', 'Rb6'], ['Rd1', 'Rc6'], ['Rb1', 'Rd6\n'], ['Rb8', 'Rd7'], ['Rg8', 'Rd6'], ['Rb8', 'Nd7'], ['Rb7', 'Nc5'], ['Rb8', '']]",1/2-1/2
Spring NAm GMA,Schaumburg USA,2006.04.20,5,"Finegold,B","Shulman,Y",,,D47,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nf6'], ['Nf3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'Bb7\n'], ['a3', 'a6'], ['b4', 'a5'], ['Rb1', 'axb4'], ['axb4', 'Nd5'], ['Nxd5', 'exd5'], ['O-O', 'Bd6'], ['e4', 'dxe4\n'], ['Bxe4', 'Nf6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['d5', 'cxd5'], ['Bxd5', 'Bxd5'], ['Qxd5', 'O-O'], ['Qxb5', 'Rab8\n'], ['Qc4', 'Rfc8'], ['Qe4', 'Qe6'], ['Qxe6', 'fxe6'], ['b5', 'Rc5'], ['b6', 'Rc6'], ['Nd4', 'Rcxb6'], ['Rxb6', 'Rxb6\n'], ['Nxe6', 'Bxh2+'], ['Kxh2', 'Rxe6']]",1/2-1/2
