Sopron,Sopron,1934.??.??,?,"Szabo, Laszlo","Gereben, Erno",,,A95,"[['Nf3', 'e6'], ['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'd5'], ['Nc3', 'c6'], ['b3', 'Ne4'], ['Nxe4', 'fxe4\n'], ['Ne5', 'Nd7'], ['Nxd7', 'Bxd7'], ['f3', 'exf3'], ['Bxf3', 'Bf6'], ['Bb2', 'Be8'], ['e4', 'Bg6'], ['Re1', 'dxc4\n'], ['e5', 'Bg5'], ['bxc4', 'Qa5'], ['Be4', 'Bxe4'], ['Rxe4', 'Rf5'], ['Bc1', 'Bxc1'], ['Qxc1', 'Raf8'], ['Rf4', 'Qd8\n'], ['Qe3', 'Rxf4'], ['gxf4', 'Qh4'], ['Rf1', 'Qg4+'], ['Qg3', 'Qe2'], ['d5', 'Qxc4'], ['d6', 'Qd4+'], ['Kg2', 'Qd5+\n'], ['Kg1', 'Qxa2'], ['Rd1', 'Qe2'], ['Rd3', 'Rxf4'], ['Qxf4', 'Qxd3'], ['Qg5', 'Qd1+'], ['Kf2', 'Qd4+']]",1/2-1/2
HUN-ch,Budapest,1961.??.??,?,"Kluger, Gyula","Szabo, Laszlo",,,A56,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e5'], ['Nc3', 'd6'], ['e4', 'Be7'], ['g3', 'O-O'], ['Bg2', 'Ne8'], ['Nge2', 'Nd7\n'], ['O-O', 'g6'], ['Bh6', 'Ng7'], ['Qd2', 'f5'], ['Rae1', 'Nf6'], ['f4', 'Ng4'], ['Bxg7', 'Kxg7'], ['h3', 'Nh6\n'], ['fxe5', 'dxe5'], ['Nc1', 'Nf7'], ['Nd3', 'Bd6'], ['Kh2', 'a6'], ['a3', 'Qc7'], ['Kh1', 'Bd7'], ['exf5', 'gxf5\n'], ['g4', 'fxg4'], ['hxg4', 'Qd8'], ['Ne4', 'Qh4+'], ['Kg1', 'Be7'], ['Rxf7+', 'Rxf7'], ['Nxe5', 'Bf6'], ['Nxf6', 'Rxf6\n'], ['Nxd7', 'Rf4'], ['Qc3+', 'Kg8'], ['d6', 'Qf2+'], ['Kh1', 'Qh4+'], ['Kg1', 'Qf2+'], ['Kh1', 'Qh4+'], ['Bh3', 'Rf7\n'], ['Ne5', 'Re8'], ['d7', 'Rxd7'], ['Kg2', 'Rde7']]",0-1
HUN-ch,Budapest,1961.??.??,?,"Lengyel, Levente","Szabo, Laszlo",,,A43,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'g6'], ['Nc3', 'd6'], ['e4', 'Bg7'], ['Be2', 'O-O'], ['O-O', 'Na6'], ['Nd2', 'Nc7\n'], ['a4', 'a6'], ['a5', 'Bd7'], ['Na4', 'Rb8'], ['Nb6', 'e6'], ['dxe6', 'Bxe6'], ['c3', 'Na8'], ['Nxa8', 'Rxa8\n'], ['f3', 'Qc7'], ['Nc4', 'd5'], ['Nb6', 'Rad8'], ['exd5', 'Nxd5'], ['Nxd5', 'Bxd5'], ['Qc2', 'Rd7'], ['Rd1', 'Be5\n'], ['h3', 'Re8'], ['Bh6', 'Bh2+'], ['Kh1', 'Bf4'], ['Bxf4', 'Qxf4'], ['c4', 'Bc6'], ['Rxd7', 'Bxd7'], ['Rd1', 'Bc6\n'], ['b3', 'Re3'], ['Rd8+', 'Kg7'], ['Rd3', 'Re5'], ['Qd2', 'Qf6'], ['Re3', 'Qg5'], ['Rd3', 'Qe7'], ['Qb2', 'f6\n'], ['Rd2', 'h5'], ['Kg1', 'h4'], ['Bf1', 'g5'], ['Re2', 'Rxe2'], ['Bxe2', 'Qe3+'], ['Kf1', 'Kf7'], ['Qc2', 'Ke6\n'], ['Qd3', 'Qxd3'], ['Bxd3', 'Kd6'], ['Ke2', 'Kc7'], ['Be4', 'Bd7'], ['f4', 'b6'], ['fxg5', 'fxg5'], ['axb6+', 'Kxb6\n'], ['Kd2', 'Kc7'], ['Ke3', 'Kd6'], ['Bb7', 'a5'], ['Ke4', 'g4'], ['hxg4', 'Bxg4'], ['Kf4', 'Bd1']]",0-1
HUN-ch,Budapest,1961.??.??,?,"Molnar, Imre","Szabo, Laszlo",,,A35,"[['Nf3', 'c5'], ['c4', 'Nc6'], ['Nc3', 'e5'], ['e3', 'f5'], ['d4', 'e4'], ['Nd2', 'cxd4'], ['exd4', 'Nf6'], ['d5', 'Ne5\n'], ['Be2', 'Bb4'], ['Qc2', 'O-O'], ['O-O', 'd6'], ['Nb3', 'Bd7'], ['a3', 'Bc5'], ['Nxc5', 'dxc5'], ['b3', 'Qe7\n'], ['f4', 'exf3'], ['Bxf3', 'Nxf3+'], ['Rxf3', 'Ng4'], ['h3', 'Qe1+'], ['Rf1', 'Ne3'], ['Bxe3', 'Qxe3+\n'], ['Kh1', 'Rae8'], ['Rf3', 'Qe5'], ['Rd1', 'f4'], ['Qd2', 'h6'], ['Rdf1', 'g5'], ['R1f2', 'Qd6'], ['Re2', 'Rxe2\n'], ['Nxe2', 'Qe5'], ['Nc1', 'Re8'], ['Nd3', 'Qd4'], ['Qf2', 'Re3'], ['Ne1', 'b5'], ['Nc2', 'Qd1+'], ['Kh2', 'Re2\n'], ['Qxc5', 'Qxc2'], ['Qg1', 'Qe4'], ['Qf1', 'Re1'], ['Qf2', 'Qb1'], ['g4', 'Qe4']]",0-1
HUN-ch,Budapest,1961.??.??,?,"Pogats, Jozsef","Szabo, Laszlo",,,B14,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['Qb3', 'dxc4'], ['Bxc4', 'O-O\n'], ['Ne5', 'e6'], ['Be3', 'Nc6'], ['Nxc6', 'bxc6'], ['O-O', 'Qc7'], ['h3', 'Nd5'], ['Rac1', 'Rb8'], ['Qc2', 'Nxe3\n'], ['fxe3', 'c5'], ['Ne2', 'cxd4'], ['Nxd4', 'Qb6'], ['b3', 'Bxd4'], ['exd4', 'Qxd4+'], ['Qf2', 'Qxf2+\n'], ['Rxf2', 'Rd8'], ['Re1', 'Rb6'], ['Re5', 'Rc6'], ['Ra5', 'Rc7'], ['g4', 'h6'], ['Kh2', 'Kg7'], ['Kg3', 'f5\n'], ['Re2', 'Kf6'], ['Rae5', 'Rc6'], ['Ra5', 'a6'], ['Rae5', 'Rd4'], ['a4', 'h5'], ['gxh5', 'gxh5'], ['Kh2', 'h4\n'], ['Ra5', 'Rcd6'], ['Rae5', 'Rd1'], ['Kg2', 'Rc1'], ['Re1', 'Rxe1'], ['Rxe1', 'e5'], ['a5', 'f4'], ['Re2', 'e4\n'], ['Rc2', 'Bb7'], ['Kf2', 'e3+'], ['Ke2', 'Be4'], ['Rb2', 'Bg6'], ['Kf3', 'Rd2']]",0-1
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Dely, Peter",,,E51,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'd5'], ['a3', 'Be7'], ['Nf3', 'O-O'], ['Bd3', 'c5'], ['O-O', 'dxc4\n'], ['Bxc4', 'a6'], ['Qe2', 'b5'], ['Bd3', 'Nbd7'], ['dxc5', 'Bxc5'], ['e4', 'e5'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6\n'], ['Nd5', 'Qd8'], ['g4', 'Kh8'], ['a4', 'bxa4'], ['Rxa4', 'Bd6'], ['Ra2', 'Nc5'], ['Bc4', 'Bxg4'], ['Ne3', 'Bxf3\n'], ['Qxf3', 'Ne6'], ['Nf5', 'Bc5'], ['Rxa6', 'Rxa6'], ['Bxa6', 'Qa8'], ['Bd3', 'Kh7'], ['h4', 'Qa2'], ['Qg3', 'Qxb2\n'], ['Bc4', 'g6'], ['Ne3', 'Nf4'], ['Qf3', 'Qc3'], ['Bd5', 'Qd3'], ['Bc4', 'Qc3'], ['Bd5', 'Qd3'], ['Bc4', '']]",1/2-1/2
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Haag, Ervin",,,B27,"[['e4', 'c5'], ['Nf3', 'g6'], ['d4', 'Bg7'], ['Nc3', 'Qa5'], ['Be3', 'Nc6'], ['Qd2', 'd6'], ['d5', 'Ne5'], ['Nxe5', 'Bxe5\n'], ['Bb5+', 'Kf8'], ['Bd3', 'Nf6'], ['Bh6+', 'Kg8'], ['f3', 'Bd7'], ['Rb1', 'Bd4'], ['Ne2', 'Qxd2+'], ['Bxd2', 'Ne8\n'], ['Nxd4', 'cxd4'], ['c3', 'dxc3'], ['Bxc3', 'f6'], ['Rc1', 'Kf7'], ['Bb4', 'Rc8'], ['Rxc8', 'Bxc8'], ['Kd2', 'Nc7\n'], ['Rc1', 'Na8'], ['f4', 'Rd8'], ['Ke3', 'Bd7'], ['Kd4', 'Rc8'], ['Re1', 'Nc7'], ['e5', 'Nb5+'], ['Ke3', 'dxe5\n'], ['fxe5', 'fxe5'], ['Kd2', 'Nd6'], ['Rxe5', 'b6'], ['b3', 'Rc7'], ['Re3', 'Bc8'], ['Rf3+', 'Kg8'], ['h4', 'Bb7\n'], ['Bxd6', 'exd6'], ['Be4', 'Kg7']]",1/2-1/2
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Honfi, Karoly",,,D97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['Qb3', 'dxc4'], ['Qxc4', 'O-O'], ['e4', 'Ne8'], ['Bg5', 'Nd6\n'], ['Qd3', 'Na6'], ['Qe3', 'Bg4'], ['Bh6', 'Nb4'], ['Rc1', 'Bxh6'], ['Qxh6', 'Bxf3'], ['gxf3', 'Kh8'], ['d5', 'e5\n'], ['a3', 'Na6'], ['Bxa6', 'bxa6'], ['Rg1', 'Qf6'], ['Rg3', 'Qf4'], ['Qxf4', 'exf4'], ['Rg1', 'f5'], ['Ke2', 'Rab8\n'], ['b4', 'a5'], ['b5', 'Rfe8'], ['Kd3', 'Nf7'], ['a4', 'Ne5+'], ['Ke2', 'Re7'], ['Nb1', 'fxe4'], ['fxe4', 'f3+\n'], ['Ke3', 'h5'], ['h3', 'Kh7'], ['Nd2', 'Rf8'], ['Nb3', 'Nf7'], ['Nd4', 'Nd6'], ['Ne6', 'Rf6'], ['e5', 'Rfxe6\n'], ['dxe6', 'Rxe6'], ['Rxc7+', 'Kh6'], ['Rc6', 'Rxe5+'], ['Kd4', '']]",1-0
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Navarovszky, Laszlo",,,B45,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e6'], ['Ndb5', 'Bb4'], ['Bg5', 'a6'], ['a3', 'axb5\n'], ['axb4', 'Rxa1'], ['Qxa1', 'Nxb4'], ['Qd1', 'Qa5'], ['Bxf6', 'gxf6'], ['Bxb5', 'b6'], ['O-O', 'Na2'], ['Nxa2', 'Qxb5\n'], ['Qd4', 'Ke7'], ['Rd1', 'Qc5'], ['Qd2', 'Rd8'], ['Nc1', 'Bb7'], ['Nb3', 'Qc4'], ['f3', 'd5'], ['Nd4', 'Ke8\n'], ['Qh6', 'Ke7'], ['e5', 'fxe5'], ['Qg5+', 'Kd7'], ['Qxe5', 'Qc7'], ['Qf6', 'Kc8'], ['Rd3', 'Kb8'], ['Rc3', 'Qd7\n'], ['Nb5', 'Ba6'], ['Rc7', '']]",1-0
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Orendy, Emil",,,B43,"[['e4', 'c5'], ['Nf3', 'a6'], ['Nc3', 'b5'], ['d4', 'cxd4'], ['Nxd4', 'Bb7'], ['Bd3', 'e6'], ['O-O', 'Qc7'], ['Be3', 'Nf6\n'], ['a3', 'd5'], ['exd5', 'Nxd5'], ['Nxd5', 'Bxd5'], ['Re1', 'Be7'], ['Qh5', 'Nd7'], ['Bg5', 'Bxg5'], ['Qxg5', 'O-O\n'], ['Re3', 'Qd8'], ['Qh5', 'g6'], ['Qh6', 'Qf6'], ['c3', 'Ne5'], ['Be2', 'Nc4'], ['Rh3', 'Qg7'], ['Qc1', 'e5\n'], ['Nf5', 'gxf5'], ['Rg3', 'f4'], ['Rxg7+', 'Kxg7'], ['Qc2', 'f5'], ['b3', 'Be4'], ['Bd3', 'Nd2'], ['Bxe4', 'Nxe4\n'], ['f3', 'Nd6'], ['Rd1', 'Rfd8'], ['c4', 'bxc4'], ['bxc4', 'Rac8'], ['c5', 'Nb5'], ['Rxd8', 'Rxd8'], ['Qxf5', 'Rd1+\n'], ['Kf2', 'Rd2+'], ['Ke1', 'Rd5'], ['c6', 'Nc3'], ['h4', 'e4'], ['Qxf4', '']]",1-0
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Portisch, Lajos",,,E54,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['Bd3', 'O-O'], ['Nf3', 'd5'], ['O-O', 'dxc4'], ['Bxc4', 'Bd7\n'], ['Qe2', 'Bc6'], ['Rd1', 'Qe7'], ['Ne5', 'Rd8'], ['a3', 'Ba5'], ['Ba2', 'Bc7'], ['Nxc6', 'Nxc6'], ['d5', 'exd5\n'], ['Bxd5', 'Nd4'], ['exd4', 'Qxe2'], ['Bxf7+', 'Kxf7'], ['Nxe2', 'cxd4'], ['Nxd4', 'Rd7'], ['Be3', 'Rad8\n'], ['Rd3', 'Ng4'], ['h3', 'Ne5'], ['Rd2', 'Bb6'], ['Rad1', 'Nc4'], ['Rc2', 'Na5'], ['Rcd2', 'Nc4'], ['Rc2', '']]",1/2-1/2
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Rethy, Pal",,,E01,"[['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Nf6'], ['d4', 'c6'], ['Nf3', 'Nbd7'], ['O-O', 'Ne4'], ['Nfd2', 'f5'], ['Nc3', 'Nxd2\n'], ['Bxd2', 'Be7'], ['e3', 'O-O'], ['Qe2', 'Nf6'], ['Rab1', 'a6'], ['c5', 'Bd7'], ['b4', 'Be8'], ['Na4', 'Bh5\n'], ['f3', 'Qc7'], ['Bc3', 'Rae8'], ['Nb2', 'g5'], ['Nd3', 'Nd7'], ['Qb2', 'Bg6'], ['f4', 'Nf6'], ['a4', 'Ne4\n'], ['Nf2', 'h5'], ['Nxe4', 'fxe4'], ['b5', 'axb5'], ['axb5', 'b6'], ['bxc6', 'bxc5'], ['Qb7', 'Qc8'], ['dxc5', 'Rf7\n'], ['Bd4', 'Bf6'], ['Bxf6', 'Rxf6'], ['fxg5', 'Rxf1+'], ['Rxf1', 'Bf5'], ['Rxf5', 'exf5'], ['g6', '']]",1-0
HUN-ch,Budapest,1961.??.??,?,"Szabo, Laszlo","Sallay, Roland",,,E70,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Bd3', 'Nc6'], ['d5', 'Nd4'], ['Nge2', 'Bg4'], ['f3', 'Bxf3\n'], ['gxf3', 'Nxf3+'], ['Kf2', 'Ne5'], ['Nf4', 'c6'], ['Kg2', 'O-O'], ['Rf1', 'Nxd3'], ['Nxd3', 'e5'], ['dxc6', 'bxc6\n'], ['Bg5', 'h6'], ['Bh4', 'g5'], ['Bg3', 'Qc8'], ['c5', 'd5'], ['Nxe5', 'Nxe4'], ['Nxe4', 'dxe4'], ['Qd6', 'Rd8\n'], ['Qxc6', 'Rd2+'], ['Kh1', 'Bxe5'], ['Qxc8+', 'Rxc8'], ['Bxe5', 'Rd5'], ['Bd6', 'f5'], ['Rad1', 'Rxd1\n'], ['Rxd1', 'e3'], ['Kg2', 'f4'], ['Kf3', 'Kf7'], ['b4', 'a6'], ['a4', 'Ke6'], ['b5', 'axb5'], ['axb5', 'Ra8\n'], ['b6', 'Ra2'], ['b7', 'Rf2+'], ['Ke4', 'e2'], ['b8=Q', '']]",1-0
HUN-ch,Budapest,1961.??.??,?,"Szollosi, Laszlo Sr","Szabo, Laszlo",,,A03,"[['f4', 'd5'], ['e3', 'g6'], ['Be2', 'Bg7'], ['d3', 'Nd7'], ['Nf3', 'e5'], ['e4', 'dxe4'], ['dxe4', 'exf4'], ['Nc3', 'Ngf6\n'], ['Bxf4', 'O-O'], ['e5', 'Ng4'], ['Bg5', 'Qe8'], ['Nd5', 'Ndxe5'], ['O-O', 'c6'], ['Nxe5', 'Qxe5'], ['Ne7+', 'Kh8\n'], ['Bxg4', 'Qd4+'], ['Kh1', 'Qxg4'], ['Nxc8', 'Qxg5'], ['Nd6', 'Rad8'], ['Ne4', 'Rxd1'], ['Nxg5', 'Rxa1\n'], ['Rxa1', 'h6'], ['Ne4', 'Bxb2'], ['Rb1', 'Bg7'], ['g4', 'b6'], ['Kg2', 'Rd8'], ['Kf3', 'Rd4'], ['Re1', 'Be5\n'], ['g5', 'hxg5'], ['Nxg5', 'Rf4+'], ['Ke3', 'Rf5'], ['Nf3', 'Bf6'], ['c4', 'Ra5'], ['Re2', 'Ra3+'], ['Kf4', 'Ra4\n'], ['Rc2', 'Kg7'], ['Ke3', 'Ra3+'], ['Ke4', 'Be7'], ['Nd4', 'f5+'], ['Kf4', 'Rd3']]",0-1
HUN-ch,Budapest,1961.??.??,?,"Varnusz, Egon","Szabo, Laszlo",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'dxc3'], ['Bc4', 'd6'], ['Nxc3', 'Be7'], ['Qb3', 'Na5'], ['Bxf7+', 'Kf8\n'], ['Qa4', 'c6'], ['Bxg8', 'Kxg8'], ['O-O', 'b5'], ['Qc2', 'Bg4'], ['Nd4', 'Bf6'], ['Be3', 'Qe8'], ['f3', 'Bd7\n'], ['Rad1', 'Nc4'], ['Bc1', 'Qe5'], ['b3', 'Nb6'], ['Nce2', 'c5'], ['f4', 'Qe7'], ['Nf3', 'Re8'], ['Ng3', 'Bc6\n'], ['e5', 'Bxf3'], ['Nf5', 'Qc7'], ['Rxf3', 'dxe5'], ['Nd6', 'Re6'], ['fxe5', 'Bxe5'], ['Qf5', 'Qe7'], ['Nc8', 'Bd4+\n'], ['Rxd4', 'Re1+'], ['Kf2', 'Re2+'], ['Kg3', 'Qc7+'], ['Rdf4', 'h6'], ['Nxb6', 'axb6'], ['Qd5+', '']]",1-0
HUN-ch playoff,Budapest,1961.??.??,1,"Szabo, Laszlo","Portisch, Lajos",,,E28,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'Nc6'], ['Ne2', 'O-O'], ['Ng3', 'b6\n'], ['e4', 'Ne8'], ['Be3', 'd6'], ['Bd3', 'Na5'], ['O-O', 'Ba6'], ['Qe2', 'Qd7'], ['a4', 'cxd4'], ['cxd4', 'Rc8\n'], ['Rac1', 'Qxa4'], ['c5', 'Bxd3'], ['Qxd3', 'd5'], ['exd5', 'exd5'], ['cxb6', 'Rxc1'], ['Bxc1', 'Nc4\n'], ['bxa7', 'Qxa7'], ['Nf5', 'Ned6']]",1/2-1/2
HUN-ch playoff,Budapest,1961.??.??,2,"Portisch, Lajos","Szabo, Laszlo",,,E69,"[['d4', 'Nf6'], ['c4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['Nf3', 'd6'], ['Nc3', 'Nbd7'], ['O-O', 'e5'], ['e4', 'c6\n'], ['Re1', 'Re8'], ['h3', 'a5'], ['Be3', 'exd4'], ['Nxd4', 'Nc5'], ['Qc2', 'a4'], ['Rad1', 'Qa5'], ['Bf4', 'Bf8\n'], ['Rb1', 'Ne6'], ['Be3', 'Bg7'], ['Nde2', 'Qb4'], ['b3', 'axb3'], ['axb3', 'Nd7'], ['Red1', 'Ndc5'], ['Bd2', 'Qb6\n'], ['b4', 'Nd7'], ['Be3', 'Qc7'], ['Rd2', 'Ne5'], ['Qb3', 'f5'], ['Rbd1', 'Bf8'], ['exf5', 'gxf5'], ['f4', 'Ng6\n'], ['Bf2', 'Qf7'], ['Na4', 'Nc7'], ['Nb6', 'Be6'], ['Nd4', 'Rad8'], ['Qc2', 'Bg7'], ['Nxe6', 'Rxe6'], ['b5', 'Ne7\n'], ['Na4', 'cxb5'], ['Nc5', 'bxc4'], ['Nxb7', 'Rb8'], ['Nxd6', 'Qf6'], ['Qxc4', 'Qc3'], ['Qxc3', 'Bxc3\n'], ['Rc2', 'Ba5'], ['Nb7', '']]",1-0
HUN-ch playoff,Budapest,1961.??.??,3,"Szabo, Laszlo","Portisch, Lajos",,,B36,"[['c4', 'c5'], ['Nf3', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['e4', 'Nf6'], ['Nc3', 'Nxd4'], ['Qxd4', 'd6'], ['c5', 'Bg7\n'], ['Bb5+', 'Bd7'], ['cxd6', 'Bxb5'], ['Nxb5', 'O-O'], ['O-O', 'exd6'], ['Nc3', 'Re8'], ['Qd3', 'Qb6'], ['Be3', 'Qxb2\n'], ['Rab1', 'Qa3'], ['Bd4', 'Rab8'], ['Rfd1', 'Qa6'], ['Qf3', 'Re6'], ['h3', 'b6'], ['Nb5', 'Qb7'], ['Bxf6', 'Rxf6\n'], ['Qd3', 'Bf8'], ['Nc3', 'Re6'], ['Nd5', 'Rc8'], ['f4', 'Bg7'], ['f5', 'Re5'], ['f6', 'Bf8'], ['Rbc1', 'Rc5\n'], ['Rc4', 'b5'], ['Rb4', 'a5'], ['Rb2', 'Qc6'], ['Rdb1', 'b4'], ['a3', 'Rc4'], ['axb4', 'Rcxe4'], ['Rd1', 'axb4\n'], ['Kh2', 'h5'], ['Nxb4', 'Qb6'], ['Qb1', 'Re2'], ['Rxe2', 'Rxe2'], ['Nd5', 'Qf2'], ['Rg1', 'Qd4'], ['Qb7', 'Rd2\n'], ['Ne7+', 'Kh7'], ['Rf1', 'Bh6'], ['Qb3', 'Bf4+'], ['Kh1', 'Qxf6'], ['Qf3', 'Qg5'], ['g3', 'Qxe7']]",0-1
EU-chT,Oberhausen,1961.??.??,1,"Pachman, Ludek","Szabo, Laszlo",,,A21,"[['c4', 'e5'], ['Nc3', 'd6'], ['g3', 'Be6'], ['Bg2', 'c6'], ['d3', 'g6'], ['Nh3', 'h6'], ['f4', 'Bg7'], ['Bd2', 'Ne7'], ['Qc1', 'Na6\n'], ['O-O', 'Qd7'], ['Nf2', 'exf4'], ['Bxf4', 'd5'], ['cxd5', 'cxd5'], ['e4', 'd4'], ['Nd5', 'Rc8'], ['Qe1', 'g5\n'], ['Bd2', 'O-O'], ['Nxe7+', 'Qxe7'], ['Qd1', 'Nb4'], ['Qa4', 'Nc2'], ['Rac1', 'b5'], ['Qa5', 'Qd7'], ['a3', 'Ne3\n'], ['Rxc8', 'Rxc8'], ['Rc1', 'g4'], ['Bf1', 'h5'], ['Be2', 'Rxc1+'], ['Bxc1', 'h4'], ['gxh4', 'Be5'], ['Bxe3', 'dxe3\n'], ['Nd1', 'Qd6'], ['Qxb5', 'Bxh2+'], ['Kh1', 'Bf4'], ['Kg2', 'Bh6'], ['Qh5', 'Qf4'], ['b4', 'Kg7'], ['Qc5', 'g3\n'], ['Qh5', 'Kf6'], ['Qf3', 'Qxf3+'], ['Kxf3', 'Ke5'], ['Kxg3', 'Kd4']]",1/2-1/2
EU-chT,Oberhausen,1961.??.??,2,"Perez Perez, Francisco Jose","Szabo, Laszlo",,,B31,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['O-O', 'Bg7'], ['c3', 'Nf6'], ['Re1', 'Qb6'], ['Na3', 'O-O'], ['h3', 'd5\n'], ['e5', 'Ne8'], ['d4', 'cxd4'], ['cxd4', 'Nc7'], ['Bxc6', 'bxc6'], ['Bg5', 'Re8'], ['Qd2', 'Ne6'], ['Be3', 'Rb8\n'], ['b3', 'Qb4'], ['Qxb4', 'Rxb4'], ['Rac1', 'Bd7'], ['Nb1', 'f6'], ['exf6', 'exf6'], ['Nc3', 'Bf8'], ['Na4', 'Kf7\n'], ['Nb2', 'Bd6'], ['Nd3', 'Rbb8'], ['Rc2', 'g5'], ['Rd1', 'Rg8'], ['g3', 'Rbe8'], ['Kh2', 'Nd8'], ['Nc5', 'Bf5\n'], ['Rc3', 'h5'], ['Rf1', 'h4'], ['b4', 'Rh8'], ['Ng1', 'hxg3+'], ['fxg3', 'Bxh3'], ['Nxh3', 'g4'], ['Bg5', 'Rxh3+\n'], ['Kg1', 'Bxg3'], ['Rxf6+', 'Kg7'], ['Rxg3', 'Rxg3+'], ['Kf2', 'Ra3'], ['Rd6', 'g3+']]",0-1
EU-chT,Oberhausen,1961.??.??,3,"Szabo, Laszlo","Unzicker, Wolfgang",,,C73,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'd6'], ['Bxc6+', 'bxc6'], ['d4', 'exd4'], ['Qxd4', 'c5\n'], ['Qd3', 'Bb7'], ['Nc3', 'Be7'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['Rfe1', 'Re8'], ['e5', 'dxe5'], ['Nxe5', 'Qxd3\n'], ['Nxd3', 'Bd6'], ['Bxf6', 'gxf6'], ['b3', 'Bc6'], ['f3', 'f5'], ['Kf2', 'Rad8'], ['Rxe8+', 'Rxe8'], ['Re1', 'Rxe1\n'], ['Kxe1', 'c4'], ['bxc4', 'Bxh2'], ['Kf2', 'Bd6'], ['Ke3', 'f6'], ['Kd4', 'Kf7'], ['c5', 'Bh2'], ['Ne2', 'h5\n'], ['Ndf4', 'h4'], ['c4', 'Bb7'], ['Ke3', 'Bc8'], ['Kd3', 'Bb7'], ['Nd5', 'c6'], ['Ndf4', 'a5'], ['Kc3', 'Ba6\n'], ['Kb3', 'Ke8'], ['Ng6', 'Bb8'], ['Nxh4', 'Ba7'], ['Nd4', 'Kd7'], ['Nhxf5', 'Bxc5'], ['Kc3', 'Bb4+'], ['Kd3', 'Bb7\n'], ['f4', 'c5'], ['Nc2', 'a4'], ['Nfe3', 'Ke6'], ['g3', 'f5'], ['Nxb4', 'cxb4'], ['Kd4', 'Be4'], ['c5', 'b3\n'], ['axb3', 'axb3'], ['Nc4', 'Bf3'], ['Kc3', 'Kd5'], ['c6', 'b2'], ['Nxb2', 'Kxc6'], ['Kd4', 'Kd6'], ['Nc4+', 'Ke6\n'], ['Kc5', 'Be4'], ['Ne5', 'Bc2'], ['Nf3', 'Bb1'], ['Nd4+', 'Kf6'], ['Kd6', 'Be4'], ['Nb5', 'Bd3'], ['Nc7', 'Kg6\n'], ['Nd5', 'Kh5'], ['Nf6+', 'Kg6'], ['Ke5', 'Bb1'], ['Nd5', 'Kh5'], ['Ne3', 'Kg6'], ['Ke6', 'Bd3'], ['Kd6', 'Kf6\n'], ['Nd5+', 'Kg6'], ['Ke6', 'Kh5'], ['Nf6+', 'Kg6'], ['Nd7', 'Kh5'], ['Kf7', 'Bc4+'], ['Kf6', 'Kg4'], ['Ne5+', 'Kxg3\n'], ['Kxf5', 'Be6+']]",1/2-1/2
