Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
Leon,Leon,1992.??.??,1,"Gulko, Boris F","De la Villa Garcia, Jesus Maria",,,D97,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd5'], ['Qb3', 'dxc4'], ['Qxc4', 'O-O'], ['e4', 'a6'], ['Be2', 'b5\n'], ['Qb3', 'c5'], ['dxc5', 'Nc6'], ['O-O', 'b4'], ['Nd5', 'Nxe4'], ['Qc4', 'Be6'], ['Rd1', 'Nd4'], ['Nxd4', 'Bxd5\n'], ['Qxb4', 'e6'], ['f3', 'Rb8'], ['Qe1', 'Nxc5'], ['Nc6', 'Nd3'], ['Nxd8', '']]",1/2-1/2
Leon,Leon,1992.??.??,2,"Franco Ocampo, Zenon","Gulko, Boris F",,,A35,"[['Nf3', 'c5'], ['c4', 'Nc6'], ['Nc3', 'Nd4'], ['Ng1', 'Nc6'], ['e3', 'g6'], ['Nf3', 'Bg7'], ['d4', 'd6'], ['d5', 'Na5\n'], ['Bd3', 'Nf6'], ['h3', 'O-O'], ['e4', 'a6'], ['Bg5', 'b5'], ['cxb5', 'c4'], ['Bc2', 'axb5'], ['Nxb5', 'Qb6\n'], ['a4', 'Nb3'], ['Ra3', 'Bd7'], ['Be3', 'Qa5+'], ['Nc3', 'Nxe4'], ['Bxe4', 'Bxc3+'], ['bxc3', 'Qxc3+\n'], ['Nd2', 'Qb4'], ['Ra2', 'f5'], ['O-O', 'f4'], ['Nxc4', 'Qxc4'], ['Qc2', 'Qb4'], ['Rb2', 'fxe3'], ['Rxb3', 'exf2+\n'], ['Kh1', 'Qd4'], ['Bf3', 'Bxa4'], ['Qc3', 'Qxc3'], ['Rxc3', 'Rfc8'], ['Rxc8+', 'Rxc8'], ['Rxf2', 'Bb3\n'], ['Rd2', 'Rc2'], ['Rd4', 'h5'], ['Rb4', 'Ba2'], ['Kh2', 'Rd2'], ['Rb5', 'Bc4'], ['Ra5', 'Ra2'], ['Rxa2', 'Bxa2\n'], ['Be4', 'h4'], ['g3', 'g5'], ['gxh4', 'gxh4'], ['Kg2', 'e6'], ['Kf3', 'Bxd5'], ['Bxd5', 'exd5'], ['Kg4', 'd4\n'], ['Kf3', 'd5'], ['Ke2', 'Kf7'], ['Kd3', 'Kf6'], ['Kxd4', 'Ke6'], ['Kd3', 'Ke5'], ['Ke3', 'd4+']]",0-1
Leon,Leon,1992.??.??,3,"Gulko, Boris F","Yudasin, Leonid",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'd5'], ['Bg2', 'Nbd7'], ['O-O', 'Bd6'], ['Bb2', 'O-O\n'], ['Nc3', 'Bb7'], ['Qc2', 'a6'], ['Rad1', 'Re8'], ['Nh4', 'Rb8'], ['e4', 'Nxe4'], ['Nxe4', 'dxe4'], ['Bxe4', 'Bxe4\n'], ['Qxe4', 'b5'], ['Qc2', 'Be7']]",1/2-1/2
Leon,Leon,1992.??.??,4,"Sion Castro, Marcelino","Gulko, Boris F",,,B57,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Qb6'], ['Nb3', 'e6'], ['Bf4', 'Ne5\n'], ['Be2', 'a6'], ['O-O', 'Qc7'], ['a4', 'Bd7'], ['Nd2', 'Be7'], ['a5', 'Rc8'], ['Be3', 'Bc6'], ['f4', 'Ned7\n'], ['Bf3', 'O-O'], ['g4', 'd5'], ['e5', 'Ne8'], ['Nb3', 'g6'], ['Bd4', 'f6'], ['exf6', 'Bxf6'], ['Bg2', 'Ng7\n'], ['Qd2', 'Rf7'], ['Rae1', 'Rcf8'], ['Be3', 'Be7'], ['Qd4', 'Bd6'], ['Qd2', 'g5'], ['f5', 'Bxh2+'], ['Kh1', 'Bg3\n'], ['Rd1', 'Ne5'], ['Nd4', 'Nc4'], ['Qc1', 'Nxe3'], ['Qxe3', 'Bf4'], ['Qh3', 'exf5'], ['Nxd5', 'fxg4'], ['Qc3', 'Qd6\n'], ['Nxf4', 'Qh6+'], ['Kg1', 'gxf4'], ['Nxc6', 'g3'], ['Rf3', 'bxc6'], ['Qc4', 'Kh8'], ['b4', 'Nf5'], ['Qxf4', 'Qh2+\n'], ['Kf1', '']]",0-1
Leon,Leon,1992.??.??,5,"Gulko, Boris F","Garcia Ilundain, David",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'b5'], ['cxb5', 'Bxb5'], ['Bg2', 'c5'], ['Ne5', 'd5\n'], ['Nc3', 'cxd4'], ['Qxd4', 'Nc6'], ['Nxc6', 'Bxc6'], ['O-O', 'Be7'], ['Bb2', 'O-O'], ['Rfd1', 'Qa5'], ['Rac1', 'Bc5\n'], ['Qd2', 'Qb6'], ['e3', 'Rfd8'], ['Ne2', 'Be7'], ['Qd4', 'Rdc8'], ['Qxb6', 'axb6'], ['a4', 'Be8'], ['Nd4', 'Rc5\n'], ['Bf1', 'Ne4'], ['Rxc5', 'bxc5'], ['Nb5', 'Bxb5'], ['Bxb5', 'Nd6'], ['Bd3', 'Rb8'], ['Ba3', 'Nb7'], ['Bb5', 'Na5\n'], ['Rb1', 'Kf8'], ['Bb2', 'Bf6'], ['Bxf6', 'gxf6'], ['b4', 'cxb4'], ['Rxb4', 'f5'], ['g4', 'fxg4'], ['Rxg4', 'Nb7\n'], ['Bd3', 'Nc5'], ['Bxh7', 'Rb2'], ['Rg8+', 'Ke7'], ['a5', 'Ra2'], ['Ra8', 'Kf6'], ['h4', 'Kg7'], ['Bg8', 'Ne4']]",1/2-1/2
Leon,Leon,1992.??.??,6,"Gulko, Boris F","Magem Badals, Jorge",,,A34,"[['c4', 'c5'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['cxd5', 'Nxd5'], ['Nc3', 'Nc7'], ['Qa4+', 'Qd7'], ['Qxd7+', 'Nxd7'], ['Nf3', 'g6\n'], ['d4', 'Bg7'], ['Be3', 'cxd4'], ['Nxd4', 'O-O'], ['O-O', 'Ne5'], ['Rad1', 'Nc4'], ['Bc1', 'Ne6'], ['Nc2', 'Rd8\n'], ['Ne3', 'Nd6'], ['Ned5', 'Kf8'], ['e4', 'Nd4'], ['e5', 'N6b5'], ['Nxb5', 'Nxb5'], ['a4', 'Bg4'], ['Rd2', 'e6\n'], ['Ne3', 'Rxd2'], ['Bxd2', 'Be2'], ['axb5', 'Bxf1'], ['Bb4+', 'Kg8'], ['Kxf1', 'Bxe5'], ['Nc4', 'Bd4\n'], ['Bxb7', 'Rb8'], ['Ba6', 'Rd8'], ['Na5', 'Bb6'], ['Nc6', 'Rd7'], ['Ke2', 'Kg7'], ['Be7', 'f6'], ['b4', 'e5\n'], ['Bc5', 'Rc7'], ['g4', 'h6'], ['h4', 'Kf7'], ['Nd8+', 'Ke8'], ['Ne6', 'Rd7'], ['Bc8', 'Rh7'], ['Bd6', 'Rh8\n'], ['Nc5', 'Kf7'], ['Be6+', 'Kg7'], ['Bd5', 'Rc8'], ['Kf3', 'Rh8'], ['Ke4', '']]",1-0
Leon,Leon,1992.??.??,7,"Tukmakov, Vladimir B","Gulko, Boris F",,,B07,"[['d4', 'd6'], ['e4', 'Nf6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['Nge2', 'Nbd7'], ['O-O', 'c5'], ['h3', 'Rb8\n'], ['Be3', 'b6'], ['Qd2', 'a6'], ['Rad1', 'cxd4'], ['Nxd4', 'Bb7'], ['Bh6', 'Nc5'], ['Bxg7', 'Kxg7'], ['Rfe1', 'Qd7\n'], ['Qe3', 'Rfe8'], ['Nb3', 'Nxb3']]",1/2-1/2
Leon,Leon,1992.??.??,8,"Gulko, Boris F","Romero Holmes, Alfonso",,,E11,"[['d4', 'e6'], ['c4', 'Bb4+'], ['Nd2', 'c5'], ['a3', 'Bxd2+'], ['Qxd2', 'cxd4'], ['Nf3', 'Nf6'], ['Nxd4', 'O-O'], ['e3', 'd5\n'], ['b4', 'a5'], ['b5', 'b6'], ['Bb2', 'Bb7'], ['Rc1', 'dxc4'], ['Bxc4', 'Bxg2'], ['Rg1', 'Be4'], ['Bxe6', 'Bg6\n'], ['Bh3', 'Ra7'], ['Nc6', 'Nxc6'], ['bxc6', 'Qe7'], ['Qd4', 'Nh5'], ['Bd7', 'Rc7'], ['Qe5', 'Qd8'], ['Qxh5', 'Qxd7\n'], ['Qxg6', '']]",1-0
Leon,Leon,1992.??.??,9,"Illescas Cordoba, Miguel","Gulko, Boris F",,,B73,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'g6'], ['O-O', 'Bg7'], ['Be3', 'O-O\n'], ['Qd2', 'Bd7'], ['f4', 'Nxd4'], ['Bxd4', 'Bc6'], ['Bf3', 'e5'], ['fxe5', 'dxe5'], ['Be3', 'Qxd2'], ['Bxd2', 'Rfd8\n'], ['Rad1', 'Rd4'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['Nd5', 'Bg5'], ['Rxd4', 'exd4'], ['Rd1', 'Rc8'], ['Rxd4', 'Bxd5\n'], ['Rxd5', 'Rxc2'], ['Rd7', 'Rxb2'], ['e5', 'Rxa2'], ['Bd5', 'Be3+'], ['Kf1', 'Rf2+'], ['Ke1', 'b5'], ['g4', 'Rf4\n'], ['Rd8+', 'Kg7'], ['Rd7', 'Kf8'], ['Rd8+', 'Ke7'], ['Rb8', 'Bb6'], ['Rb7+', 'Ke8'], ['Rb8+', 'Kd7'], ['Rb7+', 'Kc8\n'], ['Rxf7', 'Rxf7'], ['Bxf7', 'g5'], ['Be8', 'a6'], ['e6', 'Bd8'], ['e7', 'Bxe7'], ['Ke2', 'Kc7'], ['Kd3', 'Kd6\n'], ['Bg6', 'Kc5'], ['Bf5', 'Kb4'], ['Bc8', 'a5'], ['Bd7', 'Bd6'], ['Kc2', 'Bxh2'], ['Be8', 'a4'], ['Bd7', 'Be5\n'], ['Be8', 'Ka5'], ['Bc6', 'b4'], ['Kd3', 'b3'], ['Kc4', 'h5']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Kurajica, Bojan","Gulko, Boris F",,,E61,"[['d4', 'Nf6'], ['Nf3', 'd6'], ['c4', 'Nbd7'], ['Nc3', 'g6'], ['e4', 'e5'], ['d5', 'Nc5'], ['Qc2', 'a5'], ['Be3', 'b6'], ['b3', 'Bg7\n'], ['Be2', 'O-O'], ['O-O', 'Ng4'], ['Bg5', 'f6'], ['Bc1', 'f5'], ['Bg5', 'Bf6'], ['Bxf6', 'Qxf6'], ['Nd2', 'f4\n'], ['Bxg4', 'Bxg4'], ['f3', 'Bc8'], ['a3', 'h5'], ['b4', 'axb4'], ['axb4', 'Rxa1'], ['Rxa1', 'Na6'], ['Qb2', 'g5\n'], ['h3', 'Qg7'], ['Kf2', 'g4'], ['hxg4', 'hxg4'], ['Ke2', 'gxf3+'], ['gxf3', 'Qg2+'], ['Kd3', 'Kg7'], ['Ra4', 'Rh8\n'], ['Qa2', 'Rh2'], ['Ncb1', 'Qe2+'], ['Kc2', 'Qxf3'], ['Rxa6', 'Qxe4+'], ['Kc1', 'Rh1+'], ['Kb2', 'Qd4+\n'], ['Kc2', 'Bf5+'], ['Kb3', 'Bxb1'], ['Nxb1', 'Qd1+'], ['Qc2', 'Qxb1+'], ['Qxb1', 'Rxb1+'], ['Kc3', 'f3\n'], ['Ra2', 'Rd1'], ['Rf2', 'e4'], ['Kc2', 'Rd3'], ['Rh2', 'Kf6'], ['Rh6+', 'Ke5'], ['Rh7', 'Kd4'], ['Rxc7', 'f2\n'], ['Rf7', 'Rf3']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Gulko, Boris F","Djurhuus, Rune",,,E73,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nc3', 'g6'], ['e4', 'Bg7'], ['Be2', 'O-O'], ['Bg5', 'Na6'], ['Qd2', 'e5'], ['d5', 'Qe8\n'], ['Nf3', 'Nh5'], ['g3', 'f5'], ['exf5', 'gxf5'], ['Bh6', 'f4'], ['Bxg7', 'Kxg7'], ['Rg1', 'Kh8'], ['g4', 'Nf6\n'], ['g5', 'Nh5'], ['O-O-O', 'Nc5'], ['g6', 'Ng7'], ['gxh7', 'Bf5'], ['b4', 'Ne4'], ['Nxe4', 'Bxe4'], ['Ng5', 'Bf5\n'], ['Bd3', 'Qa4'], ['Bxf5', 'Nxf5'], ['Ne6', 'Rf7'], ['Qc3', 'a5'], ['b5', 'Qxa2'], ['Nxf4', 'Ne7'], ['Rd2', 'Qa4\n'], ['Ne6', 'Qb4'], ['Qd3', 'a4'], ['Rb2', 'Qa5'], ['f4', 'a3'], ['Ra2', 'Qb4'], ['Rag2', 'a2'], ['Rg8+', 'Nxg8\n'], ['hxg8=Q+', 'Rxg8'], ['Rxg8+', 'Kxg8'], ['Qg6+', 'Kh8'], ['Qh5+', 'Kg8'], ['Qg5+', 'Kh8']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Gulko, Boris F","Tsuboi, Edson Kenji",,,E60,"[['c4', 'Nf6'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['Nf3', 'g6'], ['b3', 'Bg7'], ['Bb2', 'O-O'], ['O-O', 'd6'], ['d4', 'cxd4\n'], ['Nxd4', 'Nxd4'], ['Qxd4', 'Qa5'], ['Nc3', 'Be6'], ['Bxb7', 'Rab8'], ['Bf3', 'Nd7'], ['Qd2', 'Ne5'], ['Rac1', 'Bxc4\n'], ['bxc4', 'Nxc4'], ['Qd5', 'Qxd5'], ['Nxd5', 'Nxb2'], ['Nxe7+', 'Kh8'], ['Rc7', 'a5'], ['Rfc1', 'Rb5\n'], ['Nc8', 'Be5'], ['Na7', 'Rb6'], ['Nc6', 'Bf6'], ['Nxa5', 'Na4'], ['Nc4', 'Ra6'], ['Bb7', '']]",1-0
Manila ol (Men),Manila,1992.??.??,?,"Gulko, Boris F","Zagrebelny, Sergey",,,A53,"[['c4', 'Nf6'], ['Nc3', 'd6'], ['d4', 'Nbd7'], ['e4', 'e5'], ['d5', 'Be7'], ['Be3', 'O-O'], ['f3', 'c6'], ['Nh3', 'a5'], ['Nf2', 'Nc5\n'], ['Qd2', 'cxd5'], ['cxd5', 'a4'], ['Bb5', 'Nfd7'], ['O-O', 'h6'], ['Rab1', 'Bg5'], ['Nfd1', 'Nb6'], ['b4', 'axb3\n'], ['axb3', 'Bd7'], ['Bxg5', 'Qxg5'], ['Qxg5', 'hxg5'], ['Ne3', 'Rfd8'], ['b4', 'Na6'], ['Bxd7', 'Rxd7\n'], ['Nb5', '']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Hertneck, Gerald","Gulko, Boris F",,,A04,"[['Nf3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['c3', 'Bg7'], ['d4', 'cxd4'], ['cxd4', 'd5'], ['Nc3', 'e6'], ['h4', 'h6\n'], ['a3', 'Nge7'], ['Bf4', 'Nf5'], ['e3', 'O-O'], ['b4', 'b6'], ['Bf1', 'Bb7'], ['g4', 'Nd6'], ['Bd3', 'Rc8'], ['h5', 'g5\n'], ['Bxd6', 'Qxd6'], ['Rc1', 'a5'], ['b5', 'Ne7'], ['Qa4', 'f5'], ['gxf5', 'Nxf5'], ['Ke2', 'Rf7'], ['Nb1', 'Rcf8\n'], ['Nbd2', 'Nh4'], ['Rh3', 'Nxf3'], ['Rxf3', 'Qh2'], ['Rxf7', 'Rxf7'], ['Rf1', 'Qxh5+'], ['f3', 'e5'], ['dxe5', 'Bxe5\n'], ['Qd1', 'Qh2+'], ['Rf2', 'Qh3'], ['Qg1', 'Qe6'], ['Qg4', 'Bc8'], ['Rg2', 'Qxg4'], ['fxg4', 'Re7'], ['Kf3', 'Rc7\n'], ['a4', 'Kg7'], ['Nf1', 'Rc3'], ['Rc2', 'Kf6'], ['Rxc3', 'Bxc3'], ['Ng3', 'Ke5'], ['Bg6', 'Bd7'], ['Bc2', 'Be1\n'], ['Ne2', 'Be8'], ['Nd4', 'h5'], ['Bf5', 'Bc3'], ['Ne6', 'Bd7'], ['Nc7', 'Bxf5'], ['gxf5', 'g4+'], ['Ke2', 'Kd6\n'], ['Na8', 'Kc5'], ['Nc7', 'Kd6'], ['Na8', 'Kc5'], ['Nc7', 'h4'], ['Ne8', 'h3'], ['Kf2', 'Be1+']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Ilinsky, Vladimir","Gulko, Boris F",,,E14,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['e3', 'Bb7'], ['Bd3', 'd5'], ['O-O', 'Bd6'], ['b3', 'O-O'], ['Bb2', 'Nbd7\n'], ['Nbd2', 'Ne4'], ['Qc2', 'f5'], ['cxd5', 'exd5'], ['Ne5', 'Qe7'], ['Ndf3', 'Ndf6'], ['Bb5', 'c5'], ['Bc6', 'Rac8\n'], ['Bxb7', 'Qxb7'], ['Qd3', 'Ng4'], ['Nxg4', 'fxg4'], ['Ne5', 'Bxe5'], ['dxe5', 'Rcd8'], ['Qe2', 'Qd7\n'], ['Rad1', 'Qe6'], ['f3', 'gxf3'], ['gxf3', 'Ng5'], ['Qg2', 'Nf7'], ['f4', 'Nh6'], ['h3', 'Nf5'], ['Rfe1', 'd4\n'], ['exd4', 'cxd4'], ['Qf2', 'Qh6'], ['Rd3', 'Ne7'], ['Bc1', 'Qg6+'], ['Rg3', 'Qe6'], ['Ba3', 'Rf5'], ['Bxe7', 'Qxe7\n'], ['Re4', 'Qf7'], ['e6', 'Qf6'], ['Rd3', 'Rfd5'], ['Kh2', 'Re8'], ['Rdxd4', 'Rxe6'], ['Rxe6', 'Qxd4'], ['Qxd4', 'Rxd4\n'], ['Re7', 'Rd2+'], ['Kg3', 'Rxa2'], ['Rb7', 'Ra3'], ['Kg4', 'h6'], ['h4', 'Rxb3'], ['Rxa7', 'Rb5'], ['h5', 'Rb1\n'], ['Rb7', 'b5'], ['Kf5', 'Kh7'], ['Rb8', 'b4'], ['Kg4', 'b3'], ['Kg3', 'g5'], ['Rb7+', 'Kg8'], ['fxg5', 'hxg5\n'], ['Kg2', 'g4'], ['Rb4', 'Kh7'], ['Rxg4', 'b2'], ['Rb4', '']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Ricardi, Pablo","Gulko, Boris F",,,E20,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'c5'], ['g3', 'cxd4'], ['Nxd4', 'O-O'], ['Bg2', 'd5'], ['cxd5', 'Nxd5\n'], ['Bd2', 'Bxc3'], ['bxc3', 'e5'], ['Nb5', 'Nc6'], ['c4', 'Nb6'], ['c5', 'Nc4'], ['Qc2', 'a6'], ['Qxc4', 'Be6\n'], ['Qc2', 'axb5'], ['O-O', 'Nd4'], ['Qe4', 'Rxa2'], ['Rxa2', 'Bxa2'], ['Qxe5', 'Bc4'], ['Be3', 'Nxe2+\n'], ['Kh1', 'b4'], ['Qe4', 'Qd3'], ['Qxb7', 'b3'], ['Qb4', 'Qc3'], ['Qb6', 'Nxg3+'], ['hxg3', 'Bxf1'], ['Bxf1', 'b2\n'], ['Kg2', 'Qc2'], ['Bd3', 'Qxd3'], ['Qxb2', 'Qd5+'], ['Kh2', 'h6'], ['Qb6', 'Ra8'], ['Qb2', 'Qe4'], ['Qc3', 'Ra4\n'], ['Qb2', 'Rb4'], ['Qe2', 'Rb1'], ['f3', 'Qe5'], ['Qd3', '']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Shabalov, Alexander","Gulko, Boris F",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Nf6'], ['Bd3', 'Be7'], ['O-O', 'O-O'], ['Bg5', 'Bg4'], ['Nbd2', 'Nbd7\n'], ['c3', 'c5'], ['h3', 'Bh5'], ['Qc2', 'c4'], ['Bf5', 'Bg6'], ['Rae1', 'Re8'], ['Ne5', 'Nxe5'], ['Rxe5', 'Bd6\n'], ['f4', 'Qc7'], ['Bxf6', 'gxf6'], ['Rxd5', 'Qc6'], ['Ne4', 'Be7'], ['Ra5', 'b6'], ['Bxg6', 'hxg6'], ['Ra6', 'f5\n'], ['Nd2', 'Qb7'], ['Qa4', 'b5'], ['Qa5', 'Bd8'], ['Qa3', 'Re2'], ['Nf3', 'Be7'], ['Qa5', 'Rxb2'], ['Re1', 'Kg7\n'], ['Re5', 'Bd8'], ['Qa3', 'Rb1+'], ['Kh2', 'b4'], ['cxb4', 'Bc7'], ['d5', 'Bxe5'], ['Nxe5', 'c3'], ['Nd3', 'Rc8\n'], ['Qa5', 'Qc7'], ['Qb5', 'Qc4'], ['Qb7', 'Qc7'], ['Qxc7', 'Rxc7'], ['d6', 'Rc4'], ['Rxa7', 'c2']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Horvath, Jozsef","Gulko, Boris F",,,D94,"[['d4', 'd5'], ['c4', 'c6'], ['Nc3', 'Nf6'], ['e3', 'g6'], ['Nf3', 'Bg7'], ['Be2', 'O-O'], ['O-O', 'Be6'], ['cxd5', 'cxd5\n'], ['Qb3', 'Qb6'], ['Qxb6', 'axb6'], ['b3', 'Bg4'], ['Bb2', 'Nc6'], ['Rfc1', 'Rfc8'], ['h3', 'Bxf3'], ['Bxf3', 'e6\n'], ['Be2', 'Bf8'], ['Na4', '']]",1/2-1/2
Moscow rapid,Moscow,1992.??.??,?,"Gulko, Boris F","Gurevich, Mikhail",,,D11,"[['Nf3', 'd5'], ['d4', 'Bf5'], ['c4', 'e6'], ['Nc3', 'c6'], ['Qb3', 'Qb6'], ['c5', 'Qc7'], ['Bf4', 'Qc8'], ['e3', 'Nf6\n'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['Qd1', 'Nbd7'], ['b4', 'a6'], ['a4', 'Ne4'], ['Qb3', 'Nxc3'], ['Qxc3', 'Be4\n'], ['b5', 'Bxf3'], ['Bxf3', 'axb5'], ['axb5', 'Rxa1'], ['Rxa1', 'e5'], ['Bg3', 'exd4'], ['exd4', 'Nf6'], ['bxc6', 'bxc6\n'], ['Ra7', 'Re8'], ['Qa5', 'Ne4'], ['Bg4', 'Bd8'], ['Bxc8', 'Bxa5'], ['Bd7', 'Rd8'], ['Bf4', 'Bc3'], ['Be3', 'Ng5\n'], ['Bxc6', 'Ne6'], ['Bd7', 'Nxd4'], ['c6', 'Nb5'], ['Rb7', 'Nd6'], ['Bf4', 'Nxb7'], ['cxb7', 'Bd4'], ['b8=Q', 'Rxb8\n'], ['Bxb8', 'Bc5'], ['Kf1', 'Kf8'], ['Bc6', 'd4'], ['Bb5', 'Ke7'], ['Ke2', 'Ke6'], ['Bc4+', 'Kf6'], ['Kd3', 'Bb6\n'], ['f3', 'g5'], ['Bg3', 'Kg6'], ['Bf2', 'Bc7'], ['Bxd4', 'Bd6'], ['g4', 'h5'], ['h3', '']]",1-0
Moscow rapid g/15,Moscow,1992.??.??,?,"Ivanov, Alexander","Gulko, Boris F",,,B57,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bc4', 'Qb6'], ['Nb3', 'e6'], ['Bg5', 'a6\n'], ['O-O', 'Bd7'], ['Kh1', 'Qc7'], ['Bxf6', 'gxf6'], ['Qh5', 'Rg8'], ['f4', 'Rg7'], ['f5', 'O-O-O'], ['fxe6', 'fxe6\n'], ['Rxf6', 'Nd4'], ['Bd3', 'Be7'], ['Rf7', 'Be8'], ['Rxg7', 'Bxh5'], ['Nxd4', 'Qb6'], ['Nxe6', 'Bf6'], ['Rc7+', 'Kb8\n'], ['Nd5', 'Qxb2'], ['Rf1', 'Re8'], ['Rxf6', 'Rxe6'], ['Rf8+', 'Re8'], ['Rxe8+', 'Bxe8'], ['h3', 'Bg6'], ['Rd7', 'Qxa2\n'], ['Kh2', 'Qb2'], ['Rd8+', 'Ka7'], ['Nc7', 'Qe5+'], ['g3', 'Bxe4'], ['Ra8+', 'Kb6'], ['Re8', 'Bxd3'], ['Rxe5', 'dxe5\n'], ['Nd5+', 'Kc5'], ['Ne3', 'Be4']]",0-1
Moscow rapid,Moscow,1992.??.??,?,"Yagupov, Igor","Gulko, Boris F",,,B30,"[['e4', 'c5'], ['c3', 'e6'], ['Nf3', 'Nc6'], ['Bb5', 'Qb6'], ['Ba4', 'Nf6'], ['e5', 'Nd5'], ['O-O', 'Qc7'], ['d4', 'cxd4\n'], ['cxd4', 'Be7'], ['Nc3', 'Nxc3'], ['bxc3', 'b6'], ['Bg5', 'Bb7'], ['Bc2', 'h6'], ['Bxe7', 'Nxe7'], ['Rc1', 'Rc8\n'], ['Bd3', 'O-O'], ['Re1', 'Nd5'], ['Be4', 'b5'], ['Qb3', 'a6'], ['Nd2', 'f5'], ['exf6', 'Rxf6'], ['c4', 'Nf4\n'], ['Bxb7', 'Qxb7'], ['Ne4', 'Rff8'], ['f3', 'Qc6'], ['c5', 'a5'], ['Nd6', 'Rb8'], ['a3', 'Qd5'], ['Qxd5', 'Nxd5\n'], ['Rb1', 'b4'], ['axb4', 'axb4'], ['Rb3', 'Ra8'], ['Nc4', 'Ra2'], ['Ne3', 'Nxe3'], ['Rexe3', 'Rb8'], ['Red3', 'Rc2\n'], ['f4', 'Ra8'], ['h3', 'Raa2'], ['Rg3', 'Rc4'], ['Rbd3', 'Re2'], ['Kh2', 'Re4'], ['d5', 'Rxc5'], ['dxe6', 'dxe6\n'], ['Rd8+', 'Kf7'], ['Rb8', 'Rcc4'], ['f5', 'exf5'], ['Rd3', 'Rcd4'], ['Rb3', 'f4'], ['Rb2', 'g5'], ['Rb6', 'Kg7\n'], ['Rc2', 'Rc4'], ['Rd2', 'Red4'], ['Ra2', 'Rc7'], ['Rb2', 'Rcd7'], ['R6xb4', 'Rxb4'], ['Rxb4', 'Rd2'], ['Kg1', 'Kg6\n'], ['Rb6+', 'Kh5']]",0-1
