Tashkent,Tashkent,1985.??.??,?,"Serper, Grigory","Egin, Vladimir",,,C62,"[['e4', 'e5'], ['Nf3', 'd6'], ['Nc3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'g6'], ['Bb5', 'Bd7'], ['O-O', 'Bg7'], ['Bxc6', 'bxc6\n'], ['f4', 'c5'], ['Nde2', 'f5'], ['exf5', 'gxf5'], ['Ng3', 'Ne7'], ['Re1', 'O-O'], ['Nh5', 'Bh8'], ['Be3', 'Bc6\n'], ['Bf2', 'Qe8'], ['Bh4', 'Qg6'], ['Ng3', 'Bd4+'], ['Kh1', 'Nc8'], ['Qd3', 'Qg4'], ['Bg5', 'h6'], ['Re6', 'hxg5\n'], ['Rg6+', 'Kh7'], ['Rxg5', 'Qxf4'], ['Nxf5', 'Bxg2+'], ['Rxg2', 'Qxf5'], ['Ne4', 'Ne7'], ['c3', 'Ng6\n'], ['Ng5+', 'Kh6']]",0-1
Helsinki op,Helsinki,1992.??.??,5,"Geller, Efim P","Serper, Grigory",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Be2', 'g6'], ['Nb3', 'Bg7'], ['O-O', 'O-O\n'], ['Re1', 'a6'], ['Bf1', 'b5'], ['Bg5', 'Nd7'], ['Qd2', 'Re8'], ['Rad1', 'Nb6'], ['Nc1', 'Bb7'], ['Bh6', 'Bh8\n'], ['b3', 'Rc8'], ['Nd5', 'Ne5'], ['h3', 'Nxd5'], ['exd5', 'Rc5'], ['c4', 'bxc4'], ['bxc4', 'Nxc4'], ['Qb4', 'Qc8\n'], ['Nb3', 'Rc7'], ['Re4', 'Ne5'], ['Re3', 'Nd7'], ['Na5', 'Ba8'], ['Nc4', 'Bg7'], ['Bxg7', 'Kxg7'], ['Ra3', 'Bb7\n'], ['Ne3', 'Nf6'], ['Qb6', 'Nd7'], ['Qd4+', 'f6'], ['Rb3', 'Nc5'], ['Ra3', 'Qd7'], ['Qf4', 'Bc8'], ['Qd4', 'Qd8\n'], ['Nc4', 'Bd7'], ['Re1', 'Bb5'], ['Ne3', 'Bxf1'], ['Rxf1', 'Qd7'], ['Re1', 'Rb8'], ['Nf1', 'Qe8'], ['Rae3', 'Qf7\n'], ['h4', 'h5'], ['Ng3', 'Rb5'], ['Qf4', 'Rb8'], ['Qd4', 'Re8'], ['Ne2', 'e5']]",1/2-1/2
Helsinki op,Helsinki,1992.??.??,6,"Serper, Grigory","Sherbakov, Ruslan",,,D27,"[['c4', 'c6'], ['d4', 'd5'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Bd3', 'dxc4'], ['Bxc4', 'c5'], ['O-O', 'a6'], ['Bd3', 'Nbd7\n'], ['Qe2', 'Qc7'], ['Rd1', 'b6'], ['Nc3', 'Bb7'], ['Bd2', 'Bd6'], ['Rac1', 'Qb8'], ['h3', 'h6']]",1/2-1/2
Helsinki op,Helsinki,1992.??.??,7,"Van Wely, Loek","Serper, Grigory",,,D31,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Nf3', 'dxc4'], ['e3', 'b5'], ['a4', 'c6'], ['Bd2', 'a5'], ['axb5', 'Bxc3\n'], ['Bxc3', 'cxb5'], ['b3', 'Bb7'], ['bxc4', 'b4'], ['Bb2', 'Nf6'], ['Bd3', 'Nbd7'], ['Qc2', 'O-O'], ['O-O', 'Qc7\n'], ['c5', 'h6'], ['e4', 'Bc6'], ['Rfb1', 'a4'], ['Bc1', 'Rfb8'], ['Nd2', 'b3'], ['Qc3', 'e5'], ['d5', 'Bxd5\n'], ['exd5', 'Nxd5'], ['Qc4', 'Qxc5'], ['Bb2', 'Nb4'], ['Be4', 'Qxc4'], ['Nxc4', 'Ra7'], ['Bf5', 'Nc2'], ['Bxc2', 'bxc2\n'], ['Rc1', 'Rc7'], ['Rxa4', 'Nb6'], ['Nxb6', 'Rxb6'], ['Ra2', 'Rd7'], ['Rf1', 'Rd2'], ['Bc1', 'Re2'], ['Be3', 'Rd6\n'], ['Raa1', 'f5'], ['Rfc1', 'f4'], ['Kf1', 'Rd1+'], ['Rxd1', 'cxd1=Q+']]",1-0
Helsinki op,Helsinki,1992.??.??,8,"Serper, Grigory","Kachiani Gersinska, Ketino",,,D53,"[['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'Be7'], ['Nf3', 'Nf6'], ['Bg5', 'Nbd7'], ['e3', 'h6'], ['Bf4', 'O-O'], ['cxd5', 'Nxd5\n'], ['Nxd5', 'exd5'], ['Bd3', 'Re8'], ['O-O', 'c6'], ['Qc2', 'a5'], ['h3', 'a4'], ['Rae1', 'Nf8'], ['Bh2', 'Be6\n'], ['Kh1', 'Qa5'], ['Ng1', 'Rac8'], ['Ne2', 'b6'], ['Nf4', 'c5'], ['dxc5', 'Bxc5'], ['Qe2', 'a3'], ['bxa3', 'Qxa3\n'], ['Nxe6', 'Nxe6'], ['Bb1', 'Nf8'], ['Qg4', 'Rcd8'], ['Rd1', 'Qb2'], ['Bc7', 'Rd7'], ['Bf4', 'Qf6'], ['Bc2', 'Ra8\n'], ['Bb3', 'd4'], ['exd4', 'Rxd4'], ['Rxd4', 'Qxd4'], ['Qf3', 'Ra7'], ['Bg3', 'Qb2'], ['Re1', 'Rd7'], ['Re4', 'Qf6\n'], ['Rf4', 'Qg6'], ['Rg4', 'Qb1+'], ['Kh2', 'Qb2'], ['Rf4', 'Ne6'], ['Rxf7', 'Rxf7'], ['Bxe6', 'Qf6'], ['Qd5', 'Ba3\n'], ['f3', 'Bb2'], ['a4', 'Bc3'], ['Bxf7+', '']]",1-0
Helsinki op,Helsinki,1992.??.??,9,"Erneste, Inguna","Serper, Grigory",,,B66,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'h6\n'], ['Be3', 'Be7'], ['f4', 'Nxd4'], ['Bxd4', 'b5'], ['Qe3', 'Qc7'], ['e5', 'dxe5'], ['Bxe5', 'Qa7'], ['Bd4', 'Qb8\n'], ['Be5', 'Ng4'], ['Qg3', 'Nxe5'], ['fxe5', 'O-O'], ['Ne4', 'Ra7'], ['Be2', 'Rd7'], ['Rxd7', 'Bxd7'], ['Rf1', 'Bc6\n'], ['Nf6+', 'Bxf6'], ['Rxf6', 'Be4'], ['Rf2', 'Qc7'], ['Bh5', 'Qa5'], ['Qe3', 'Bf5'], ['a3', 'b4'], ['Be2', 'Rc8\n'], ['Bf3', 'bxa3'], ['Qxa3', 'Qb6'], ['Rd2', 'Rc5'], ['Bd1', 'Rxe5'], ['Rd6', 'Qf2'], ['Qxa6', 'Re1'], ['Rd2', 'Rxd1+\n'], ['Kxd1', 'Qg1+'], ['Ke2', 'Bg4+'], ['Kd3', 'Qf1+']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Ribli, Zoltan",,,A30,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'Be7'], ['d4', 'cxd4'], ['Qxd4', 'd6\n'], ['Bg5', 'a6'], ['Bxf6', 'Bxf6'], ['Qf4', 'Bxf3'], ['Qxf3', 'Ra7'], ['Rfd1', 'O-O'], ['Rac1', 'Nd7']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Hector, Jonny","Serper, Grigory",,,B89,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Bc4', 'e6'], ['Be3', 'a6'], ['Qe2', 'Qc7\n'], ['a3', 'b5'], ['Nxc6', 'bxc4'], ['Qxc4', 'Bb7'], ['Ne5', 'Qxc4'], ['Nxc4', 'Nxe4'], ['Na4', 'Nf6'], ['O-O', 'Nd5\n'], ['Na5', 'Nxe3'], ['fxe3', 'Be4'], ['c4', 'Be7'], ['b4', 'Bd8'], ['Nc3', 'Bg6'], ['Nb7', 'Bc7'], ['Rad1', 'Ke7\n'], ['c5', 'dxc5'], ['Nxc5', 'Rhd8'], ['Ne2', 'Bb6'], ['Nd4', 'Bxc5'], ['Nc6+', 'Ke8'], ['bxc5', 'Rxd1'], ['Rxd1', 'Rc8\n'], ['Rd6', 'Be4'], ['Nd4', 'Bb7'], ['Rb6', 'Rc7'], ['c6', 'Bc8'], ['Nb3', 'Kd8'], ['a4', 'Ke7'], ['Na5', 'Kd6\n'], ['Kf2', 'Re7'], ['e4', 'Kc7'], ['Rb2', 'Re8'], ['Ke3', 'Rd8'], ['Rb1', 'e5'], ['Rc1', 'f6'], ['Rc4', 'Rd1\n'], ['Nb3', 'Rd6'], ['Rb4', 'Rxc6'], ['Kd3', 'Be6'], ['a5', 'Bd7'], ['Nd2', 'Rc5'], ['Nb3', 'Bb5+'], ['Ke3', 'Rc3+\n'], ['Kd2', 'Rc4'], ['Rxc4+', 'Bxc4'], ['Na1', 'Kc6'], ['Nc2', 'Kb5'], ['Kc3', 'Be6'], ['Nb4', 'Kxa5']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Lobron, Eric","Serper, Grigory",,,D38,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Bb4'], ['Bg5', 'Nbd7'], ['cxd5', 'exd5'], ['Rc1', 'h6'], ['Bxf6', 'Bxc3+\n'], ['bxc3', 'Nxf6'], ['e3', 'O-O'], ['Bd3', 'c5'], ['Ne5', 'Qa5'], ['O-O', 'Qxa2'], ['f4', 'Qa5'], ['g4', 'Ne4\n'], ['Bxe4', 'dxe4'], ['f5', 'Qd8'], ['Rf4', 'b6'], ['Qf1', 'f6'], ['Ng6', 'Re8'], ['Rd1', 'Bb7'], ['d5', 'Qd6\n'], ['c4', 'a6'], ['Qg2', 'b5'], ['Rxe4', 'b4'], ['Re6', 'Qd7'], ['h4', 'Rxe6'], ['fxe6', 'Qe8'], ['Nf4', 'a5\n'], ['g5', 'hxg5'], ['hxg5', 'fxg5'], ['Qxg5', 'Qd8'], ['e7', 'Qd6'], ['Ne6', '']]",1-0
Manila ol (Men),Manila,1992.??.??,?,"Ubilava, Elizbar","Serper, Grigory",,,D38,"[['c4', 'e6'], ['Nf3', 'd5'], ['d4', 'Nf6'], ['Bg5', 'Bb4+'], ['Nc3', 'Nbd7'], ['e3', 'c5'], ['cxd5', 'exd5'], ['Bd3', 'Qa5\n'], ['Qc2', 'c4'], ['Bf5', 'O-O'], ['O-O', 'Re8'], ['Bh4', 'g6'], ['Bh3', 'Bxc3'], ['bxc3', 'Ne4'], ['Rfc1', 'Nb6\n'], ['Bxc8', 'Raxc8'], ['Ne5', 'Re6'], ['f3', 'Nd6'], ['a4', 'Kg7'], ['Re1', 'Rce8'], ['e4', 'dxe4'], ['fxe4', 'f5\n'], ['exf5', 'Nxf5'], ['Bg5', 'Qd5'], ['Qf2', 'h6'], ['Bf4', 'h5'], ['h3', 'Rf6'], ['g4', 'hxg4'], ['hxg4', 'Rh8\n'], ['Nf3', 'Rh3'], ['Nh2', 'Ng3'], ['Qf3', 'Rxf4'], ['Re7+', 'Rf7'], ['Qxf7+', 'Qxf7'], ['Rxf7+', 'Kxf7\n'], ['Kg2', 'Rxh2+'], ['Kxh2', 'Ne2']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Akopian, Vladimir","Serper, Grigory",,,E22,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Bb4'], ['Qb3', 'Nc6'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['e3', 'dxc4\n'], ['Bxc4', 'O-O'], ['O-O', 'Bd6'], ['Bb5', 'Bd7'], ['Rfd1', 'a6'], ['Be2', 'Rab8'], ['Rac1', 'Rfc8'], ['Ne4', 'Qe7\n'], ['Nc5', 'Be8'], ['Qc3', 'e5'], ['dxe5', 'Nxe5'], ['Nd4', 'Bxc5'], ['Qxc5', 'Qf6'], ['f4', 'Nc6'], ['Bf3', 'b6\n'], ['Qc3', 'Nxd4'], ['Qxd4', 'Qe7'], ['e4', 'Rd8'], ['Qc3', 'c5'], ['e5', 'Qe6'], ['a3', 'Ba4'], ['Rxd8+', 'Rxd8\n'], ['b4', 'Qf5'], ['bxc5', 'bxc5'], ['Qa5', 'Rd4'], ['Qxa6', 'Qxf4'], ['Re1', 'Bd7'], ['Be4', 'Bf5'], ['Bxf5', 'Qxf5\n'], ['e6', '']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Adams, Michael","Serper, Grigory",,,B66,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'h6\n'], ['Be3', 'Be7'], ['f4', 'Nxd4'], ['Bxd4', 'b5'], ['Be2', 'b4'], ['Na4', 'Nxe4'], ['Qe3', 'Nf6'], ['Bf3', 'Rb8\n'], ['Ba7', 'Bd7'], ['Nb6', 'Bb5'], ['Kb1', 'O-O'], ['f5', 'Qc7'], ['Bxb8', 'Rxb8'], ['Na8', 'Qd8'], ['Qa7', 'd5\n'], ['Nc7', 'Bc6'], ['fxe6', 'Rb7'], ['Nxd5', 'Rxa7'], ['Nxf6+', 'Bxf6'], ['Rxd8+', 'Bxd8'], ['exf7+', 'Rxf7\n'], ['Bxc6', 'Rf2'], ['Re1', 'Bf6'], ['a3', 'bxa3'], ['bxa3', 'a5'], ['h3', 'Rf5'], ['Ka2', 'Rc5'], ['Ba4', 'Kf8\n'], ['Bb3', 'h5'], ['Re4', 'Re5'], ['Ra4', 'Rb5'], ['Rc4', 'Ke7'], ['Re4+', 'Re5'], ['Rxe5+', 'Bxe5'], ['Bc4', 'Kd6\n'], ['Kb3', 'Kc5'], ['Be2', '']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Alterman, Boris",,,A16,"[['c4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['g3', 'g6'], ['Bg2', 'Nb6'], ['d3', 'Bg7'], ['Be3', 'O-O'], ['Qd2', 'Nc6\n'], ['Bxc6', 'bxc6'], ['Bh6', 'c5'], ['Bxg7', 'Kxg7'], ['Nf3', 'Bb7'], ['Qe3', 'c4'], ['O-O-O', 'Bxf3'], ['exf3', 'cxd3\n'], ['Rxd3', 'Qe8'], ['h4', 'Rd8'], ['Rxd8', 'Qxd8'], ['h5', 'Nd5'], ['Qe5+', 'Nf6'], ['h6+', 'Kg8'], ['Rd1', 'Qe8\n'], ['Nd5', 'Qc6+'], ['Kb1', 'Qe6'], ['Nxe7+', 'Kh8'], ['Qxe6', 'fxe6'], ['Re1', 'Ng8'], ['Nxg8', 'Kxg8\n'], ['Rxe6', 'Rxf3'], ['Re8+', 'Kf7'], ['Rh8', 'Rxf2'], ['Rxh7+', 'Kf6'], ['Rxc7', 'a5'], ['Rc2', '']]",1-0
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Dolmatov, Sergey",,,A21,"[['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'e5'], ['d3', 'd6'], ['Nc3', 'Be7'], ['f4', 'exf4'], ['Bxf4', 'O-O'], ['Nf3', 'c6\n'], ['Qd2', 'Na6'], ['O-O', 'Nc5'], ['Nd4', 'Ng4'], ['h3', 'Ne5'], ['Rf2', 'Bf6'], ['Be3', 'g6'], ['Raf1', 'Bg7\n'], ['Nf3', 'Ne6'], ['Ng5', 'Qe7'], ['b3', 'Bd7'], ['d4', 'Nf7'], ['Nxf7', 'Rxf7'], ['d5', 'Nc7'], ['Bd4', 'Bxd4\n'], ['Qxd4', 'c5'], ['Qd3', 'Raf8'], ['Kh1', 'Ne8'], ['e4', 'fxe4'], ['Rxf7', 'Rxf7'], ['Qxe4', 'Qxe4'], ['Nxe4', 'Rxf1+\n'], ['Bxf1', 'Bf5'], ['Nc3', 'g5'], ['h4', 'g4'], ['Kg1', 'Kf7'], ['Kf2', 'Kf6'], ['Ke3', 'Ke5'], ['Bd3', 'Bxd3\n'], ['Kxd3', 'Ng7'], ['Nd1', 'Nf5'], ['Ne3', 'Nxg3'], ['Nxg4+', 'Kf5'], ['Nf2', 'Ke5'], ['Ng4+', 'Kf4'], ['Nh6', 'Nf5\n'], ['Nf7', 'h5'], ['b4', 'b6'], ['b5', 'Nxh4'], ['Nxd6', 'Ng6'], ['Nf7', 'h4'], ['Ke2', 'Ke4'], ['Nd6+', 'Ke5\n'], ['Nc8', 'Kd4'], ['Nd6', 'Ne5'], ['Kf2', 'Nxc4'], ['Nc8', 'Kxd5'], ['Nxa7', 'h3'], ['Kg3', 'Nd2'], ['Kxh3', 'c4\n'], ['Kg3', 'c3']]",0-1
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Ermenkov, Evgenij",,,E81,"[['c4', 'g6'], ['e4', 'Bg7'], ['d4', 'd6'], ['Nc3', 'Nf6'], ['Nge2', 'e5'], ['f3', 'O-O'], ['Bg5', 'c6'], ['Qd2', 'Qa5\n'], ['d5', 'cxd5'], ['Nxd5', 'Qxd2+'], ['Kxd2', 'Nxd5'], ['cxd5', 'f6'], ['Be3', 'f5'], ['Nc3', 'a6'], ['a4', 'Nd7\n'], ['h4', 'h5'], ['a5', 'Kh7'], ['g4', 'Bh6'], ['Be2', 'Bxe3+'], ['Kxe3', 'Rb8'], ['b4', 'b5'], ['gxf5', 'gxf5\n'], ['exf5', 'Nf6'], ['Bd3', 'Bd7'], ['Rhg1', 'Rbc8'], ['Kd2', 'Rxc3'], ['Kxc3', 'Nxd5+'], ['Kd2', 'Bxf5\n'], ['Be4', 'Nxb4'], ['Rg5', 'Bxe4'], ['fxe4', 'Rf2+'], ['Kc3', 'Nc6'], ['Rag1', 'Rf3+'], ['Kd2', 'Rh3'], ['Rg7+', 'Kh8\n'], ['Rg8+', 'Kh7'], ['R8g7+', 'Kh8'], ['Rg8+', 'Kh7'], ['R1g7+', 'Kh6'], ['Rg2', 'Kh7'], ['R2g7+', 'Kh6\n'], ['Rg2', 'Kh7'], ['R8g7+', 'Kh8'], ['R7g6', 'Kh7'], ['Rxd6', 'Nxa5'], ['Rd7+', 'Kh6']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Handoko, Edhi",,,A18,"[['c4', 'e6'], ['Nc3', 'Nf6'], ['e4', 'd5'], ['e5', 'd4'], ['exf6', 'dxc3'], ['bxc3', 'Qxf6'], ['d4', 'e5'], ['Nf3', 'exd4\n'], ['Bg5', 'Qg6'], ['Bd3', 'Qh5'], ['O-O', 'Bd6'], ['Re1+', 'Be6'], ['Re4', 'Bxh2+'], ['Kf1', 'h6'], ['Rh4', 'hxg5\n'], ['Rxh5', 'Rxh5'], ['Nxd4', 'Rh6'], ['Nxe6', 'fxe6'], ['Bg6+', 'Rxg6'], ['Qb1', 'Rf6'], ['Qxb7', 'Bg3\n'], ['f3', 'Rh6'], ['Rd1', 'Rh1+'], ['Ke2', 'Rxd1'], ['Kxd1', 'Kd7'], ['Qxa8', 'Nc6'], ['Kc2', 'g6'], ['Kb3', 'Bf2\n'], ['Ka4', 'Ne5'], ['Qe4', 'Kd6'], ['Qe2', 'Bh4']]",1-0
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Malisauskas, Vidmantas",,,A65,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Nge2', 'O-O'], ['Ng3', 'c5'], ['d5', 'e6'], ['Be2', 'exd5\n'], ['cxd5', 'a6'], ['a4', 'h5'], ['O-O', 'h4'], ['Nh1', 'Nh7'], ['f4', 'f5'], ['Nf2', 'Nd7'], ['Bd3', 'Kh8'], ['exf5', 'gxf5\n'], ['Qh5', 'Qf6'], ['Re1', 'Qh6'], ['Qxh6', 'Bxh6'], ['Re6', 'Rf6'], ['Bxf5', 'Ndf8'], ['Rxf6', 'Nxf6'], ['Bxc8', 'Rxc8\n'], ['Bd2', 'Ng6'], ['g3', 'Rg8'], ['Kh1', 'hxg3'], ['hxg3', 'Ne7'], ['Kg2', 'Nf5'], ['Nfe4', 'Nxe4'], ['Nxe4', 'Re8\n'], ['Bc3+', 'Bg7'], ['Kf3', 'Bd4'], ['Rh1+', 'Kg7'], ['Rh5', 'Nh6'], ['Rg5+', 'Kf8'], ['Bxd4', 'cxd4'], ['Rg6', 'Nf7\n'], ['Rf6', 'Re7'], ['Ng5', 'd3'], ['Rxf7+', '']]",1-0
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Timman, Jan H",,,A29,"[['c4', 'Nf6'], ['Nc3', 'e5'], ['Nf3', 'Nc6'], ['g3', 'Bb4'], ['Nd5', 'a5'], ['Bg2', 'O-O'], ['O-O', 'Re8'], ['d3', 'h6\n'], ['b3', 'd6'], ['Bb2', 'Bg4'], ['h3', 'Bh5'], ['e3', 'Bc5'], ['a3', 'Ba7'], ['Nc3', 'Nd7'], ['Qc2', 'Nc5'], ['Nh4', 'Ne6\n'], ['Nd5', 'Nb8'], ['b4', 'c6'], ['Nc3', 'Bb6'], ['Na4', 'Bc7'], ['f4', 'axb4'], ['axb4', 'exf4'], ['exf4', 'Nd7\n'], ['Qf2', 'd5'], ['f5', 'Nec5'], ['Nxc5', 'Rxa1'], ['g4', 'Nxc5'], ['Bxa1', 'Nxd3'], ['Qd4', 'Be5'], ['Qxd3', 'Bxa1\n'], ['Rxa1', 'Qxh4'], ['cxd5', 'Bxg4'], ['hxg4', 'Qxg4'], ['dxc6', 'bxc6'], ['Rf1', 'Qxb4'], ['Qg3', 'Qd4+\n'], ['Kh2', 'c5'], ['Rf4', 'Qf6'], ['Qh4', 'Qd6'], ['Qg3', 'Qf6'], ['Bf1', 'Rd8'], ['Qh4', 'Rd2+'], ['Kg1', 'Qe5\n'], ['f6', 'Rd4'], ['Rxd4', 'cxd4'], ['fxg7', 'Kxg7'], ['Qh3', 'Qf4'], ['Qh2', 'Qg5+'], ['Kh1', 'h5'], ['Qg1', 'Qxg1+\n'], ['Kxg1', 'Kg6'], ['Kf2', 'Kg5'], ['Kf3', '']]",1/2-1/2
Manila ol (Men),Manila,1992.??.??,?,"Serper, Grigory","Yermolinsky, Alex",,,A21,"[['c4', 'e5'], ['g3', 'd6'], ['Bg2', 'f5'], ['Nc3', 'Nf6'], ['d3', 'Be7'], ['f4', 'exf4'], ['gxf4', 'c6'], ['Nf3', 'Qb6\n'], ['e3', 'O-O'], ['O-O', 'Kh8'], ['Kh1', 'a5'], ['b3', 'Na6'], ['Na4', 'Qd8'], ['Bb2', 'Bd7'], ['Qd2', 'Rb8\n'], ['Nc3', 'Nc5'], ['Nd4', 'Ng4'], ['h3', 'Nh6'], ['Rf3', 'Bf6'], ['Nce2', 'Ra8'], ['Rg1', 'Ne6'], ['Rg3', 'Nxd4\n'], ['Nxd4', 'a4'], ['b4', 'a3'], ['Bc3', 'g6'], ['b5', 'Rc8'], ['bxc6', 'bxc6'], ['Rb1', 'c5'], ['Nc2', 'Bc6\n'], ['Nxa3', 'Bxg2+'], ['Rxg2', 'Ng8'], ['Rb7', 'd5'], ['Nb5', 'Rc6'], ['a4', 'Qc8'], ['Ra7', 'dxc4'], ['dxc4', 'Rd8\n'], ['Qe1', 'Qe6'], ['Rxg6', 'Rd7'], ['Bxf6+', 'Nxf6'], ['Ra8+', '']]",1-0
Alekhine op,Moscow,1992.??.??,?,"Serper, Grigory","Zaitsev, Igor A",,,A29,"[['c4', 'Nf6'], ['Nc3', 'e5'], ['Nf3', 'Nc6'], ['g3', 'Bb4'], ['Nd5', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'd6'], ['Ne1', 'Be6\n'], ['d3', 'Qd7'], ['f4', 'exf4'], ['gxf4', 'Bg4'], ['Nf3', 'Rab8'], ['Bd2', 'b5'], ['b3', 'bxc4'], ['bxc4', 'Nxd5\n'], ['cxd5', 'Nb4'], ['Qb3', 'c6'], ['Rab1', 'cxd5'], ['a3', 'Nc6'], ['Qxd5', 'Be6'], ['Qe4', 'd5'], ['Qa4', 'd4\n'], ['Rfc1', 'Bd5'], ['Ne5', 'Nxe5'], ['Qxd7', 'Nxd7'], ['Bxd5', 'Nf6'], ['Rxb8', 'Rxb8'], ['Bf3', 'Bxa3\n'], ['Rc7', 'g6'], ['Rxa7', 'Rb1+'], ['Kf2', 'Bb4'], ['Rb7', 'Bxd2'], ['Rxb1', 'Bxf4'], ['h3', 'Be3+'], ['Kg2', 'h5\n'], ['Rb7', 'Kg7'], ['Bc6', 'h4'], ['Kf3', 'Ng8'], ['Ke4', 'Kf6'], ['Be8', 'Nh6'], ['Ra7', 'g5'], ['Kf3', 'Kg6\n'], ['Bc6', 'f5'], ['Be8+', 'Kf6'], ['Ra6+', 'Ke5'], ['Bd7', 'Bd2'], ['e4', 'fxe4+'], ['Ke2', '']]",1-0
Alekhine op,Moscow,1992.??.??,?,"Serper, Grigory","Malaniuk, Vladimir P",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Bd3', 'Bd6'], ['Nf3', 'Ne7'], ['Bg5', 'Nbc6'], ['c3', 'Bg4'], ['Nbd2', 'Qd7\n'], ['Qc2', 'Bf5'], ['O-O-O', 'Bxd3'], ['Qxd3', 'Qf5']]",1/2-1/2
Alekhine op,Moscow,1992.??.??,?,"Serper, Grigory","Brodsky, Michail",,,E06,"[['c4', 'Nf6'], ['g3', 'e6'], ['Bg2', 'c5'], ['Nf3', 'Nc6'], ['O-O', 'd5'], ['cxd5', 'Nxd5'], ['d4', 'Be7'], ['dxc5', 'Bxc5\n'], ['a3', 'Bd7'], ['b4', 'Be7'], ['e4', 'Nb6'], ['Bb2', 'O-O'], ['Nbd2', 'Rc8'], ['Rc1', 'f6'], ['Qb3', 'Kh8\n'], ['e5', 'f5'], ['Rfd1', 'Qe8'], ['Nc4', 'Nxc4'], ['Rxc4', 'b5'], ['Rcc1', 'a5'], ['Nd4', 'Nxd4'], ['Bxd4', 'axb4\n'], ['axb4', 'Rxc1'], ['Rxc1', 'f4'], ['Bc5', 'fxg3'], ['hxg3', 'Qf7'], ['Bxe7', 'Qxe7'], ['Rc7', 'Qd8'], ['Qc2', 'Be8\n'], ['Rc8', 'Qe7'], ['Qc5', 'Qf7'], ['Qxf8+', '']]",1-0
Alekhine op,Moscow,1992.??.??,?,"Serper, Grigory","Aseev, Konstantin N",,,E05,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bf4', 'Nc6'], ['Rd1', 'Nb4'], ['Qc1', 'Nbd5'], ['Nbd2', 'Nxf4'], ['gxf4', 'c5'], ['dxc5', 'Qc7\n'], ['Nb3', 'Rac8'], ['Ne5', 'Bxg2']]",1/2-1/2
