Wch U12,Menorca,1996.??.??,1,"Sakinis, Robertas","Inarkiev, Ernesto",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['Nge2', 'e6'], ['O-O', 'Nge7'], ['d3', 'O-O'], ['Be3', 'd6\n'], ['Qd2', 'Nd4'], ['Nd1', 'd5'], ['Nxd4', 'cxd4'], ['Bh6', 'e5'], ['Bxg7', 'Kxg7'], ['f4', 'dxe4'], ['dxe4', 'f6\n'], ['c3', 'Nc6'], ['Nf2', 'Be6'], ['a3', 'Na5'], ['Qc2', 'Bb3'], ['Qb1', 'Bc4'], ['Rd1', 'Nb3'], ['Ra2', 'Be2\n'], ['Re1', 'd3'], ['a4', 'a5'], ['Ra3', 'Qb6'], ['Bh1', 'Rad8'], ['Kg2', 'Bf3+'], ['Kg1', 'Bxh1'], ['Kxh1', 'Nd2\n'], ['Qc1', 'Qxf2'], ['Rg1', 'Nf3'], ['Rg2', 'd2']]",0-1
TCh-CHN 2015,China CHN,2015.04.13,4.1,"Inarkiev,E","Xu,Xiangyu  CHN",,,D94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['e3', 'O-O'], ['Be2', 'b6'], ['O-O', 'Bb7'], ['b4', 'Nbd7\n'], ['Rb1', 'dxc4'], ['Bxc4', 'e5'], ['b5', 'Ne4'], ['Nxe4', 'Bxe4'], ['Ba3', 'Re8'], ['Rb3', 'Qf6'], ['Nd2', 'Bb7\n'], ['e4', 'Qd8'], ['Rf3', 'Bf6'], ['Qb3', 'Kg7'], ['Bxf7', 'Rh8'], ['Bd5', 'Bxd5'], ['exd5', 'exd4'], ['Ne4', 'Re8\n'], ['Nxf6', 'Nxf6'], ['d6', 'cxd6'], ['Bb2', 'Re4'], ['Qd3', 'Qe7'], ['Bxd4', 'Rf8'], ['h3', 'Rf7'], ['Rc1', 'Re6\n'], ['Rc6', 'Kg8'], ['Rc8+', 'Ne8'], ['Re3', 'Rxe3'], ['Bxe3', 'Qe5'], ['Bd4', 'Qe6'], ['Qc2', 'Re7'], ['a4', 'h5\n'], ['Kh2', 'Kh7'], ['Qc1', 'Qf5'], ['Rd8', 'h4'], ['Be3', 'Nf6'], ['Rxd6', 'Nd5'], ['Bd4', 'Rc7'], ['Rd8', 'g5\n'], ['Rxd5', '']]",1-0
TCh-RUS Men 2015,Sochi RUS,2015.05.01,1.3,"Inarkiev,E","Andreikin,D",,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'Nd6'], ['Bxc6', 'dxc6'], ['dxe5', 'Nf5'], ['Qxd8+', 'Kxd8\n'], ['Nc3', 'Ke8'], ['b3', 'Ne7'], ['Bb2', 'Ng6'], ['Ne4', 'c5'], ['Rfe1', 'Nf4'], ['Rad1', 'Ne6'], ['c4', 'b6\n'], ['Nfg5', 'Be7'], ['Nxe6', 'fxe6'], ['f3', 'Rf8'], ['Kf2', 'Bd7'], ['g3', 'Bc6'], ['h4', 'Kf7'], ['h5', 'h6\n'], ['Ke3', 'Kg8'], ['f4', 'Rf7'], ['Re2', 'Raf8'], ['Rh2', 'Bg5'], ['Re1', 'Be7'], ['Rd1', 'Bg5'], ['Re1', 'Be7\n'], ['Rd1', '']]",1/2-1/2
TCh-RUS Men 2015,Sochi RUS,2015.05.03,3.4,"Inarkiev,E","Vitiugov,N",,,E32,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['a3', 'Bxc3+'], ['Qxc3', 'b6'], ['Bg5', 'c5'], ['dxc5', 'bxc5\n'], ['e3', 'd6'], ['Rd1', 'Nbd7'], ['Bd3', 'Rb8'], ['Ne2', 'h6'], ['Bf4', 'Rb6'], ['e4', 'Bb7'], ['f3', 'd5'], ['exd5', 'exd5\n'], ['O-O', 'Re8'], ['b4', 'cxb4'], ['axb4', 'dxc4'], ['Bxc4', 'Qe7'], ['b5', 'Rc8'], ['Qd4', 'a6'], ['Nc3', 'axb5\n'], ['Bxb5', 'Qc5'], ['Qxc5', 'Nxc5'], ['Be3', 'Ba6'], ['Bxa6', 'Rxa6'], ['Nd5', 'Nxd5'], ['Rxd5', 'Ne6\n'], ['Re1', 'Rc3'], ['Kf2', 'Ra2+'], ['Re2', 'Rcc2'], ['Rdd2', 'Rxd2'], ['Rxd2', 'Rxd2+'], ['Bxd2', 'Kf8\n'], ['g4', 'Ke7'], ['h4', 'g5'], ['Bb4+', 'Ke8'], ['h5', 'f5'], ['Ke3', 'Kf7'], ['Bc3', 'fxg4'], ['fxg4', 'Nf4\n'], ['Ke4', 'Ne6'], ['Be5', 'Nc5+'], ['Kf5', 'Ne6'], ['Bc3', '']]",1/2-1/2
TCh-RUS Men 2015,Sochi RUS,2015.05.04,4.1,"Inarkiev,E","Aronian,L",,,C67,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Nxe4'], ['Re1', 'Nd6'], ['Nxe5', 'Be7'], ['Bf1', 'Nf5'], ['c3', 'Nxe5\n'], ['Rxe5', 'd6'], ['Re1', 'O-O'], ['d4', 'd5'], ['Nd2', 'c6'], ['Nf3', 'Nh4'], ['Nxh4', 'Bxh4'], ['Bd3', 'Bf6\n'], ['Bf4', 'Re8'], ['Qh5', 'g6'], ['Qf3', 'Bd7'], ['Rxe8+', 'Qxe8'], ['Bd2', 'Bg7'], ['Re1', 'Qf8'], ['Qg3', 'Re8\n'], ['Rxe8', 'Qxe8'], ['Kf1', 'Qc8'], ['Qd6', 'Bf8'], ['Qe5', 'Bg7'], ['Qd6', 'Bf8'], ['Qe5', 'Bg7'], ['Qd6', '']]",1/2-1/2
TCh-RUS Men 2015,Sochi RUS,2015.05.05,5.4,"Artemiev,V","Inarkiev,E",,,D35,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['cxd5', 'exd5'], ['Bf4', 'c6'], ['e3', 'Nh5'], ['Bg5', 'Be7\n'], ['Bxe7', 'Qxe7'], ['Be2', 'g6'], ['Nd2', 'Ng7'], ['a3', 'O-O'], ['b4', 'a6'], ['O-O', 'Nf5'], ['Qc1', 'Nb6\n'], ['Qb2', 'Nd6'], ['a4', 'Be6'], ['Rfc1', 'f5'], ['Re1', 'Qf6'], ['a5', 'Nd7'], ['f4', 'g5'], ['Nf3', 'h6'], ['Ne5', 'Kh8\n'], ['Na4', 'Rg8'], ['Bd3', 'Rg7'], ['Re2', 'Qe7'], ['Rf1', 'Nf6'], ['Nc5', 'Rag8'], ['Qb1', 'Bc8'], ['Qe1', 'Qe8\n'], ['Qg3', 'Qe7'], ['Bc2', 'Rh7'], ['Qh3', 'Qe8'], ['Bd3', 'Qe7'], ['Qg3', 'Qe8'], ['Qh3', 'Qe7'], ['Qg3', 'Rhg7\n'], ['Qh3', 'Rh7'], ['Kh1', 'Qe8'], ['Kg1', '']]",1/2-1/2
TCh-RUS Men 2015,Sochi RUS,2015.05.06,6.2,"Inarkiev,E","Shirov,A",,,D11,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['e3', 'Bg4'], ['h3', 'Bh5'], ['Nc3', 'e6'], ['g4', 'Bg6'], ['Ne5', 'Nbd7\n'], ['Nxg6', 'hxg6'], ['a3', 'Be7'], ['Bd2', 'dxc4'], ['Bxc4', 'c5'], ['d5', 'exd5'], ['Nxd5', 'Ne4'], ['Qc2', 'Nxd2\n'], ['Qxd2', 'Nb6'], ['Qc2', 'O-O'], ['O-O-O', 'Bh4'], ['f4', 'Nxd5'], ['Rxd5', 'Qe8'], ['Qd3', 'Rd8'], ['g5', 'Rxd5\n'], ['Bxd5', 'Kh7'], ['Qe2', 'f6'], ['gxf6', 'Rxf6'], ['Rh2', 'g5'], ['Qd3+', 'Kh6'], ['Re2', 'b5'], ['Kb1', 'c4\n'], ['Qd2', 'Qg6+'], ['Ka2', 'Qd3'], ['Qxd3', 'cxd3'], ['Rd2', 'gxf4'], ['exf4', 'Rxf4'], ['Rxd3', 'b4'], ['Kb3', 'bxa3\n'], ['bxa3', 'Bf6'], ['Rf3', 'Rxf3+'], ['Bxf3', 'Be7'], ['Bg4', 'Kg5']]",1/2-1/2
TCh-RUS Men 2015,Sochi RUS,2015.05.07,7.3,"Bukavshin,I","Inarkiev,E",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'Be7'], ['e3', 'h6'], ['Bh4', 'O-O'], ['Qc2', 'c5\n'], ['Rd1', 'Qa5'], ['cxd5', 'Nxd5'], ['Bxe7', 'Nxe7'], ['dxc5', 'Qxc5'], ['Rd2', 'b6'], ['Bd3', 'Nf6'], ['Ne4', 'Qxc2\n'], ['Nxf6+', 'gxf6'], ['Rxc2', 'Bb7'], ['Ke2', 'Rac8'], ['Rhc1', 'f5'], ['Nd4', 'Rxc2+'], ['Rxc2', 'Rc8\n'], ['f3', 'Rxc2+'], ['Nxc2', 'Nc6'], ['e4', 'fxe4'], ['Bxe4', 'f5'], ['Bxc6', 'Bxc6'], ['Nb4', 'Bb7'], ['Nd3', 'Kf7\n'], ['Ke3', 'Kf6'], ['Kf4', 'a5'], ['a3', 'b5'], ['Ne5', 'Bd5'], ['b4', 'axb4'], ['axb4', 'Ba2'], ['g4', 'fxg4\n'], ['fxg4', 'Bd5'], ['h4', 'Bg2'], ['Nd7+', 'Ke7'], ['Nc5', 'Bh3'], ['Ne4', 'Bf1'], ['g5', 'hxg5+'], ['Kxg5', 'Bd3\n'], ['Nf2', 'Bc2'], ['Ng4', 'Kf7'], ['Ne5+', 'Kg7'], ['Nc6', 'Bd3'], ['Nd4', 'Bc4'], ['h5', 'Kh7'], ['h6', 'Kh8\n'], ['Nc6', 'Kh7'], ['Ne5', 'Bb3'], ['Nd7', 'Kg8'], ['Kg6', 'Bc2+'], ['Kf6', 'Kh7'], ['Kg5', 'Kg8'], ['Nc5', 'Kf7\n'], ['Nd7', 'Kg8'], ['Ne5', 'Kh7'], ['Nc6', 'Bd3'], ['Nd4', 'Bc4'], ['Kh5', 'Kh8'], ['Kh4', 'Kg8'], ['Nf3', 'Kh7\n'], ['Kg5', 'Bb3'], ['Ne5', 'Bc2'], ['Nd7', '']]",1/2-1/2
TCh-RUS Rapid 2015,Sochi RUS,2015.05.08,1.8,"Inarkiev,E","Pasiev,R",,,D07,"[['d4', 'd5'], ['c4', 'Nc6'], ['Nf3', 'Bg4'], ['Nc3', 'e6'], ['e3', 'Nf6'], ['h3', 'Bh5'], ['Be2', 'a6'], ['O-O', 'dxc4\n'], ['Bxc4', 'Bd6'], ['Be2', 'O-O'], ['Nd2', 'Bxe2'], ['Qxe2', 'e5'], ['d5', 'Ne7'], ['e4', 'Ng6'], ['Nc4', 'b5\n'], ['Na5', 'Nd7'], ['Nc6', 'Qe8'], ['Be3', 'Ne7'], ['Na5', 'f5'], ['exf5', 'Nxf5'], ['a4', 'Nd4'], ['Qd1', 'Bb4\n'], ['Nc6', 'Nxc6'], ['dxc6', 'Nf6'], ['Qb3+', '']]",1-0
TCh-RUS Rapid 2015,Sochi RUS,2015.05.08,2.8,"Sharafiev,A","Inarkiev,E",,,A07,"[['Nf3', 'd5'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'e5'], ['d3', 'c5'], ['c4', 'd4'], ['b4', 'Ne7'], ['bxc5', 'Nd7'], ['Ba3', 'Qc7\n'], ['Qa4', 'O-O'], ['Nbd2', 'Nxc5'], ['Qb4', 'b6'], ['Nxd4', 'Bb7'], ['Bxb7', 'Qxb7'], ['N4b3', 'Nxb3'], ['Nxb3', 'Nc6\n'], ['Qd2', 'Rfe8'], ['Bb2', 'Rad8'], ['a4', 'Qd7'], ['Qe3', 'f5'], ['Rfd1', 'Qf7'], ['Qc1', 'f4'], ['Nd2', 'g5\n'], ['f3', 'fxg3'], ['hxg3', 'g4'], ['Rf1', 'Bh6'], ['Qe1', 'Qh5'], ['fxg4', 'Qh3'], ['Rf3', 'Nd4'], ['Bxd4', 'exd4\n'], ['Nf1', 'Qxg4'], ['Qf2', 'Re5'], ['Ra2', 'Rde8'], ['Nh2', 'Qd7'], ['Nf1', 'Qg4'], ['Nh2', 'Qe6'], ['Kf1', 'Be3\n'], ['Qg2', 'b5'], ['axb5', 'Rxb5'], ['Ra1', 'Rb2'], ['Re1', 'Reb8'], ['Rxe3', 'Qxe3'], ['Qd5+', 'Kh8'], ['Ng4', 'Rf8+\n'], ['Kg2', 'Qe7'], ['Qxd4+', 'Qg7'], ['Qe4', 'Rg8'], ['Rh1', 'Rb6'], ['Rh4', 'Rg6'], ['Kh3', 'Rg5'], ['d4', 'a5\n'], ['c5', 'a4'], ['c6', 'a3'], ['c7', 'Qxc7'], ['Ne5', 'Rxg3+'], ['Kh2', 'Rg2+']]",0-1
TCh-RUS Rapid 2015,Sochi RUS,2015.05.08,3.4,"Inarkiev,E","Maletin,P",,,B49,"[['e4', 'c5'], ['Nf3', 'e6'], ['Nc3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Qc7'], ['Be3', 'a6'], ['Be2', 'Nf6'], ['a3', 'b5\n'], ['Nxc6', 'dxc6'], ['f4', 'Be7'], ['e5', 'Nd5'], ['Nxd5', 'exd5'], ['O-O', 'O-O'], ['Bd3', 'f5'], ['exf6', 'Bxf6\n'], ['c3', 'Qe7'], ['Qf3', 'Qd6'], ['Rae1', 'd4'], ['cxd4', 'Bxd4'], ['Bxh7+', 'Kxh7'], ['Qe4+', 'Bf5'], ['Qxd4', 'Qxd4\n'], ['Bxd4', 'Rad8'], ['Bc3', 'Rf7'], ['Re5', 'Rd5'], ['Rfe1', 'Rxe5'], ['Rxe5', 'Bd7'], ['g3', 'g6'], ['Kg2', 'Kg8\n'], ['b4', 'Rf5'], ['Re7', 'Rf7'], ['Re3', 'Rh7'], ['h4', 'Kf7'], ['Be5', 'Be6'], ['Rc3', 'Bd5+'], ['Kh3', 'Ke6\n'], ['Re3', 'Rd7'], ['Kg4', 'Bc4'], ['Kg5', 'Kf7'], ['g4', 'Rd2'], ['h5', 'gxh5'], ['Kxh5', 'Rg2'], ['f5', 'Be2\n'], ['Bg3', 'Bd1'], ['Kh4', 'Rg1'], ['Re1', 'Rxe1'], ['Bxe1', 'Kf6'], ['Bc3+', 'Ke7'], ['Be5', '']]",1-0
TCh-RUS Rapid 2015,Sochi RUS,2015.05.08,4.4,"Brodsky,M","Inarkiev,E",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['e3', 'O-O'], ['Qc2', 'c6\n'], ['a3', 'b6'], ['cxd5', 'cxd5'], ['Bd3', 'Bb7'], ['O-O', 'Rc8'], ['Rac1', 'Ne4'], ['Bxe7', 'Qxe7'], ['Qb3', 'Ndf6\n'], ['h3', 'Nxc3'], ['Rxc3', 'Rxc3'], ['Qxc3', 'Rc8'], ['Qb4', 'Qd8'], ['Rb1', 'Rc7'], ['Qe1', 'Qc8'], ['Nd2', 'Ba6\n'], ['Bxa6', 'Qxa6'], ['Rc1', 'Rxc1'], ['Qxc1', 'Qe2'], ['b4', 'b5'], ['Nf3', 'Ne4'], ['Qf1', 'Qb2'], ['Ne5', 'a6\n'], ['f3', 'Nd6'], ['Qe1', 'Qxa3'], ['Nc6', 'Qd3'], ['Ne5', 'Qb3'], ['Nc6', 'Qc2'], ['Ne5', 'Nc4'], ['Nd7', 'Qd3\n'], ['Qg3', 'Qxe3+'], ['Kh2', 'g5'], ['Qb8+', 'Kh7'], ['Qf8', 'Qf4+'], ['Kh1', 'Kg6'], ['Qh8', 'Ne3'], ['Ne5+', 'Kh5\n'], ['Qg7', 'Kh4'], ['Qxh6+', 'Kg3'], ['Nd3', 'Qh4'], ['Qxh4+', 'gxh4'], ['Nc5', 'Nxg2'], ['Nxa6', 'Ne3\n'], ['Nc7', 'Nc2'], ['Nxb5', 'Nxb4'], ['Nd6', 'f5'], ['Kg1', 'Nc2'], ['Nb5', 'Kxf3']]",0-1
TCh-RUS Rapid 2015,Sochi RUS,2015.05.09,5.4,"Inarkiev,E","Fedoseev,Vl3",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'b5'], ['Bg2', 'bxc4'], ['Ne5', 'd6'], ['Bxa8', 'dxe5\n'], ['O-O', 'Qxd4'], ['bxc4', 'Bc5'], ['Qb3', 'Nbd7'], ['Be3', 'Qxa1'], ['Na3', 'Qxf1+'], ['Kxf1', 'O-O'], ['Bc6', 'Bb6\n'], ['Qc3', 'Nc5'], ['Qb4', 'Bb7'], ['Bxc5', 'a5'], ['Qb5', 'Bxc6'], ['Qxc6', 'Rb8'], ['Bxb6', 'cxb6'], ['Qc7', '']]",1-0
TCh-RUS Rapid 2015,Sochi RUS,2015.05.09,6.4,"Khismatullin,D","Inarkiev,E",,,D35,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['cxd5', 'exd5'], ['Bg5', 'c6'], ['e3', 'Be7'], ['Bd3', 'Nbd7'], ['Nf3', 'Ne4\n'], ['Bf4', 'Ndf6'], ['O-O', 'O-O'], ['Qc2', 'Bf5'], ['h3', 'Nxc3'], ['bxc3', 'Bxd3'], ['Qxd3', 'Bd6'], ['Bg5', 'h6\n'], ['Bxf6', 'Qxf6'], ['c4', 'Qe6'], ['Rfc1', 'f5'], ['Qb3', 'Rf7'], ['Rab1', 'Raf8'], ['cxd5', 'cxd5'], ['Rc3', 'g5\n'], ['Rd1', 'Rd8'], ['Rcd3', 'Rfd7'], ['Qb2', 'Re7'], ['Qb3', 'Red7'], ['Qb2', 'Re7'], ['g3', 'Qe4'], ['Ne5', 'Bxe5\n'], ['dxe5', 'Qxe5'], ['Qa3', 'b6'], ['Rd4', 'Rdd7'], ['Qb3', 'Kh7'], ['Rxd5', 'Rxd5'], ['Rxd5', 'Qe6'], ['Qd3', 'Qe4\n'], ['Qd1', 'Rc7'], ['Rd4', 'Qc6'], ['Qd3', 'Qf3'], ['Rd7+', 'Rxd7'], ['Qxd7+', 'Kg6'], ['Qe6+', 'Kg7'], ['Qe7+', 'Kg6\n'], ['Qxa7', 'Qc6'], ['Qa6', 'Qc1+'], ['Kg2', 'Qc6+'], ['Kg1', 'h5'], ['Qd3', 'g4'], ['h4', 'b5'], ['Qd8', 'Qc1+\n'], ['Kh2', 'Qc2'], ['Qg5+', 'Kf7'], ['Kg2', 'Qc6+'], ['Kg1', 'Qc1+'], ['Kh2', 'Qc2'], ['Qf4', 'Ke6'], ['a3', 'Kd7\n'], ['Qd4+', 'Kc6'], ['Qf6+', 'Kb7'], ['Kg2', 'Qe4+'], ['Kg1', 'Qb1+'], ['Kh2', 'Qc2'], ['Qe7+', 'Ka6'], ['Qd6+', 'Ka5\n'], ['Qb4+', 'Ka6'], ['Kg2', 'Qc6+'], ['Kf1', 'Qc1+'], ['Ke2', 'Qc2+'], ['Qd2', 'Qe4'], ['Qd3', 'Qf3+'], ['Ke1', 'Qh1+\n'], ['Kd2', 'Qf3'], ['Qe2', 'Qd5+'], ['Qd3', 'Qf3'], ['Qd6+', 'Ka5'], ['Qf4', 'Qd5+'], ['Qd4', 'Qa2+'], ['Ke1', 'Qxa3\n'], ['Qa7+', 'Kb4'], ['Qd4+', 'Kb3'], ['Qd5+', 'Ka4'], ['Qxf5', 'Qc1+'], ['Ke2', 'b4'], ['Qd7+', 'Ka3'], ['Qd3+', 'b3\n'], ['Qd6+', 'Ka2'], ['Qa6+', 'Kb1'], ['e4', 'Qc3'], ['Kf1', 'b2'], ['e5', 'Kc1'], ['Qh6+', 'Kd1'], ['Qg6', 'Qc2\n'], ['Qd6+', 'Qd2'], ['Qg6', 'Qe1+'], ['Kg2', 'Qxe5'], ['Qd3+', 'Kc1'], ['Qc4+', 'Kd2'], ['Qb4+', 'Qc3'], ['Qf4+', 'Kd1\n'], ['Qa4+', 'Kc1'], ['Qf4+', 'Kc2'], ['Qa4+', 'Qb3'], ['Qe4+', 'Qd3'], ['Qa4+', 'Kc1'], ['Qf4+', 'Kb1\n'], ['Qa4', 'Qd5+'], ['Kh2', 'Kc1'], ['Qf4+', 'Kd1'], ['Qb4', 'Qd2'], ['Qb3+', 'Ke1'], ['Kh1', 'Qc1\n'], ['Kh2', '']]",0-1
TCh-RUS Rapid 2015,Sochi RUS,2015.05.09,7.4,"Inarkiev,E","Popov,Iv RUS",,,A03,"[['f4', 'd5'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'c5'], ['O-O', 'Nc6'], ['d3', 'Nf6'], ['c3', 'O-O'], ['Qc2', '']]",1/2-1/2
TCh-RUS Rapid 2015,Sochi RUS,2015.05.09,8.4,"Palchun,G","Inarkiev,E",,,D02,"[['d4', 'Nf6'], ['Nf3', 'd5'], ['Bf4', 'c5'], ['e3', 'Nc6'], ['c3', 'e6'], ['Nbd2', 'Bd6'], ['Bg3', 'O-O'], ['Bd3', 'b6\n'], ['O-O', 'Bxg3'], ['hxg3', 'Bb7'], ['Qe2', 'Qc7'], ['dxc5', 'bxc5'], ['e4', 'g6'], ['Rfe1', 'Rae8'], ['Qe3', 'Qe7\n'], ['Qh6', 'Rd8'], ['Ng5', 'Ne5'], ['Bc2', 'Neg4'], ['Qh4', 'h6'], ['Ngf3', 'dxe4'], ['Nxe4', 'Kg7'], ['Rad1', 'Rxd1\n'], ['Rxd1', 'Bxe4'], ['Bxe4', 'Rd8'], ['Rxd8', 'Qxd8'], ['Bc2', 'g5'], ['Qh3', 'Qb6'], ['Nh2', 'Nxf2']]",0-1
TCh-RUS Rapid 2015,Sochi RUS,2015.05.09,9.4,"Inarkiev,E","Cherniaev,A1",,,A53,"[['d4', 'Nf6'], ['c4', 'd6'], ['Nf3', 'g6'], ['Nc3', 'Bf5'], ['e3', 'Bg7'], ['Bd3', 'Bxd3'], ['Qxd3', 'Nbd7'], ['e4', 'e5\n'], ['d5', 'Nc5'], ['Qe2', 'a5'], ['O-O', 'O-O'], ['g3', 'Qd7'], ['Kg2', 'Rfb8'], ['Rd1', 'h6'], ['Qc2', 'c6'], ['Be3', 'Na6\n'], ['Na4', 'Nb4'], ['Qe2', 'Qg4'], ['a3', 'Na6'], ['Nb6', 'Qxe4'], ['Nxa8', 'Rxa8'], ['dxc6', 'Qxc6'], ['b4', 'Nb8\n'], ['b5', 'Qc7'], ['Qd2', 'Nbd7'], ['Bxh6', 'Qxc4'], ['Bxg7', 'Kxg7'], ['Qxd6', 'e4'], ['Nd4', 'Re8'], ['Rac1', 'Qa4\n'], ['Rc7', 'Ne5'], ['Rdc1', '']]",1-0
TCh-RUS Blitz 2015,Sochi RUS,2015.05.10,1.22,"Dragomarezkij,E","Inarkiev,E",,,D35,"[['c4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bg5', 'c6'], ['e3', 'Be7'], ['Bd3', 'Nbd7'], ['Qc2', 'Nh5\n'], ['Bxe7', 'Qxe7'], ['Nge2', 'g6'], ['O-O', 'O-O'], ['Rab1', 'Ng7'], ['b4', 'a6'], ['Na4', 'Qd8'], ['Nc5', 'Nb6\n'], ['a4', 'Qe7'], ['b5', 'cxb5'], ['axb5', 'a5'], ['Ra1', 'Bf5'], ['Nf4', 'Bxd3'], ['Qxd3', 'Nf5'], ['Qc3', 'g5\n'], ['Nfd3', 'Nc4'], ['Nb2', 'Nxb2'], ['Qxb2', 'b6'], ['Na4', 'Qb7'], ['Qb3', 'Nd6'], ['Rfc1', 'Nc4'], ['Rc2', 'Rac8\n'], ['e4', 'Nd6'], ['Rc6', 'Rxc6'], ['bxc6', 'Qxc6'], ['exd5', 'Qc4'], ['Qxb6', 'Qxd5'], ['Qc5', 'Qxc5'], ['dxc5', 'Nb5\n'], ['Rb1', 'Nd4'], ['Rb7', 'Rc8'], ['Kf1', 'Rc6'], ['Rb5', 'Nxb5']]",0-1
TCh-RUS Blitz 2015,Sochi RUS,2015.05.10,2.2,"Inarkiev,E","Najer,E",,,A29,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'd6'], ['d3', 'O-O'], ['Rb1', '']]",1/2-1/2
TCh-RUS Blitz 2015,Sochi RUS,2015.05.10,3.14,"Kiriakov,P","Inarkiev,E",,,E32,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['a3', 'Bxc3+'], ['Qxc3', 'd5'], ['e3', 'b6'], ['b3', 'c5\n'], ['Nf3', 'Nc6'], ['Bb2', 'cxd4'], ['Nxd4', 'Bb7'], ['Be2', 'Nxd4'], ['Qxd4', 'dxc4'], ['Bxc4', 'Qe7'], ['O-O', 'Rfd8\n'], ['Qe5', 'Rac8'], ['Rac1', 'Rc5'], ['Qf4', 'Rf5'], ['Qh4', 'b5'], ['Be2', 'Rd2'], ['Bxf6', 'Qxf6'], ['Qxf6', 'gxf6\n'], ['Rfe1', 'Rfd5'], ['Kf1', 'a6'], ['Rc7', 'Rd7'], ['Rxd7', 'Rxd7'], ['a4', 'bxa4'], ['bxa4', 'a5'], ['Rb1', 'Be4\n'], ['Rb5', 'Ra7'], ['Rc5', 'Bd5'], ['f3', 'f5'], ['Kf2', 'Kf8'], ['Kg3', 'Ke7'], ['Kf4', 'Kf6'], ['e4', 'fxe4\n'], ['fxe4', 'e5+'], ['Ke3', 'Bb3'], ['Bb5', 'Be6'], ['Rc6', 'Ke7'], ['Rb6', 'Rc7'], ['Ra6', 'Rc3+'], ['Ke2', 'Bc4+\n'], ['Bxc4', 'Rxc4'], ['Rxa5', 'Rxe4+'], ['Kf3', 'Rf4+'], ['Ke3', 'Kf6'], ['Ra7', 'h5'], ['a5', 'Ra4'], ['a6', 'h4\n'], ['Ra8', 'Kf5'], ['a7', 'f6'], ['Kf3', 'Ra3+'], ['Ke2', 'Ke4'], ['Rf8', 'Rxa7'], ['Rxf6', 'Ra2+'], ['Kf1', 'Kd4\n'], ['Rh6', 'Ke3'], ['g3', 'hxg3'], ['hxg3', 'e4'], ['Rf6', 'Kd3'], ['Rd6+', 'Ke3'], ['g4', 'Rf2+'], ['Kg1', 'Rf4\n'], ['Ra6', 'Kf3'], ['g5', 'e3'], ['Kf1', 'Ke4+'], ['Ke2', 'Rf2+'], ['Ke1', 'Rg2'], ['g6', 'Kd3'], ['Rd6+', 'Ke4\n'], ['Re6+', '']]",1/2-1/2
